feature_set,protocol,split,split_seed,model,n_train,n_test,train_prevalence,test_prevalence,test_files,threshold,tp,fp,tn,fn,accuracy,balanced_accuracy,precision,recall,f1,f1_macro,mcc,fpr,fnr,tnr,roc_auc,pr_auc,pr_auc_benign,brier,clean_balanced_accuracy,clean_roc_auc,clean_fpr,clean_recall,clean_f1_macro,clean_n
shared18,random,random,101,majority,240000,60000,0.6084583333333333,0.6036,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",0.5,36216,23784,0,0,0.6036,0.5,0.6036,1.0,0.752806186081317,0.3764030930406585,0.0,1.0,0.0,0.0,0.5,0.6036,0.3964,0.3964,0.5,0.5,1.0,1.0,0.4400646439116857,46081
shared18,random,random,101,stratified,240000,60000,0.6084583333333333,0.6036,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",0.5,21951,14487,9297,14265,0.5208,0.4985031787077735,0.6024205499753005,0.6061133200795229,0.6042612932529523,0.4984935917538364,-0.0029985361933301,0.6091069626639758,0.3938866799204771,0.3908930373360242,0.4985031787077736,0.6028851196296615,0.3956870158778124,0.4792,0.499660816147212,0.499660816147212,0.6067916877850988,0.6061133200795229,0.480657582746852,46081
shared18,random,random,101,logreg,240000,60000,0.6084583333333333,0.6036,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",0.5,27956,8419,15365,8260,0.7220166666666666,0.7089732738226989,0.7685498281786941,0.7719240114866357,0.7702332245044151,0.7092111934498704,0.4184330898990974,0.3539774638412378,0.2280759885133642,0.6460225361587622,0.8162395612450424,0.859624216388438,0.7609983567078062,0.1555675671702885,0.860670571379405,0.9661236332637726,0.0505828687278256,0.7719240114866357,0.7729736289262753,46081
shared18,random,random,101,tree,240000,60000,0.6084583333333333,0.6036,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",0.5,29300,7257,16527,6916,0.7637833333333334,0.751956795497895,0.8014880870968625,0.8090346808040645,0.8052437030217251,0.7525699744066636,0.5051924977232299,0.3051210898082744,0.1909653191959354,0.6948789101917255,0.8655371827319894,0.8869535266666992,0.7909747428756981,0.1383699665331361,0.8940257033011706,0.988804100273059,0.0209832742017232,0.8090346808040645,0.8111041417959057,46081
shared18,random,random,101,rf,240000,60000,0.6084583333333333,0.6036,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",0.5,31469,10062,13722,4747,0.7531833333333333,0.7229339096043762,0.7577231465652163,0.8689253368676828,0.8095231970365416,0.7295196038670034,0.4724881621214715,0.4230575176589303,0.1310746631323172,0.5769424823410696,0.8438640421504683,0.8854045328551912,0.7884713072933374,0.1515988994722037,0.9243765052305976,0.989594650377848,0.0201723264064875,0.8689253368676828,0.8617084401462138,46081
shared18,random,random,101,xgboost,240000,60000,0.6084583333333333,0.6036,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",0.5,29293,7245,16539,6923,0.7638666666666667,0.7521124235637859,0.801713284799387,0.8088413960680362,0.8052615663743574,0.7526921640448174,0.5054311810092998,0.3046165489404642,0.1911586039319637,0.6953834510595358,0.8655646386889635,0.8922637863245421,0.8119318335095538,0.1381716430187225,0.8941824821191676,0.9894672470330912,0.0204764318297009,0.8088413960680362,0.811102333992488,46081
shared18,random,random,101,hgb,240000,60000,0.6084583333333333,0.6036,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",0.5,29284,7233,16551,6932,0.7639166666666667,0.7522404395245301,0.8019278692116001,0.8085928871217142,0.805246586831287,0.7527830243061168,0.5056069839086699,0.3041120080726538,0.1914071128782858,0.6958879919273461,0.8656345913289556,0.8922433911909982,0.8116316722966901,0.1379977553298847,0.8941089118832088,0.9895108470089526,0.0203750633552965,0.8085928871217142,0.8109329332060586,46081
shared18,random,random,101,mlp,240000,60000,0.6084583333333333,0.6036,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",0.5,18204,226,23558,18012,0.6960333333333333,0.7465742878751708,0.9877373846988604,0.5026507620941021,0.6662518757091095,0.6935935450400369,0.5228989769876841,0.0095021863437605,0.4973492379058979,0.9904978136562396,0.8657362815204299,0.8920561958296624,0.8131191652698162,0.1398208439350128,0.739870743439347,0.9877393856156856,0.022909275215408,0.5026507620941021,0.5900563142273023,46081
shared18,file_disjoint,file_disjoint,101,majority,240000,58007,0.6204916666666667,0.3647835606047546,"8,11,16,20",0.5,21160,36847,0,0,0.3647835606047546,0.5,0.3647835606047546,1.0,0.5345661702477043,0.2672830851238521,0.0,1.0,0.0,0.0,0.5,0.3647835606047546,0.6352164393952454,0.6352164393952454,0.5,0.5,1.0,1.0,0.2672830851238521,58007
shared18,file_disjoint,file_disjoint,101,stratified,240000,58007,0.6204916666666667,0.3647835606047546,"8,11,16,20",0.5,13217,22695,14152,7943,0.4718223662661402,0.504348307693239,0.3680385386500334,0.6246219281663516,0.4631693299691617,0.4716851027030159,0.0086206966518566,0.6159253127798735,0.3753780718336484,0.3840746872201264,0.5043483076932391,0.3668166912675358,0.6372483721708051,0.5281776337338597,0.504348307693239,0.5043483076932391,0.6159253127798735,0.6246219281663516,0.4716851027030159,58007
shared18,file_disjoint,file_disjoint,101,logreg,240000,58007,0.6204916666666667,0.3647835606047546,"8,11,16,20",0.5,21154,1906,34941,6,0.9670384608754116,0.973994516383412,0.9173460537727668,0.9997164461247636,0.9567616463138852,0.9650649471784484,0.932454416772992,0.0517274133579395,0.0002835538752362,0.9482725866420604,0.9926067215153164,0.9742613714825604,0.9970345830651216,0.0250228257878838,0.973994516383412,0.9926067215153164,0.0517274133579395,0.9997164461247636,0.9650649471784484,58007
shared18,file_disjoint,file_disjoint,101,tree,240000,58007,0.6204916666666667,0.3647835606047546,"8,11,16,20",0.5,21153,829,36018,7,0.9855879462823453,0.9885853738262594,0.9622873259939952,0.9996691871455576,0.9806221315655278,0.984574980592293,0.9696025743734308,0.0224984394930387,0.0003308128544423,0.9775015605069612,0.9986108692035316,0.9963565437051248,0.9991363806830444,0.0104044158100388,0.9885853738262594,0.9986108692035316,0.0224984394930387,0.9996691871455576,0.984574980592293,58007
shared18,file_disjoint,file_disjoint,101,rf,240000,58007,0.6204916666666667,0.3647835606047546,"8,11,16,20",0.5,21152,743,36104,8,0.9870532866722982,0.9897287321511326,0.9660653117150034,0.9996219281663516,0.982557194286378,0.9861318708996822,0.9726268032519306,0.0201644638640866,0.0003780718336483,0.9798355361359132,0.9998651938483886,0.999756933832364,0.9999208434797524,0.0092773132953641,0.9897287321511326,0.9998651938483886,0.0201644638640866,0.9996219281663516,0.9861318708996822,58007
