train_frac,model,direction,temporal_f1,control_mean,control_sd,control_min,control_max,delta,z,percentile_in_control,outside_control_range,n_control
0.4,hgb,forward,0.4331138712088025,0.768111698225039,0.07822990521471962,0.5322930968695068,0.8577807404023798,-0.3349978270162365,-4.282222074752096,0.0,True,20
0.4,hgb,reverse,0.4948442466418164,0.768111698225039,0.07822990521471962,0.5322930968695068,0.8577807404023798,-0.2732674515832226,-3.493132847766828,0.0,True,20
0.4,logreg,forward,0.40914491488552435,0.6976476056121561,0.08841960840155072,0.5584931610212509,0.8433018867924529,-0.28850269072663176,-3.2628813443328024,0.0,True,20
0.4,logreg,reverse,0.567173786927313,0.6976476056121561,0.08841960840155072,0.5584931610212509,0.8433018867924529,-0.1304738186848431,-1.475620861068582,0.05,False,20
0.4,majority,forward,0.4784533648170012,0.4280763494493146,0.02873355161437445,0.37717342844404816,0.4705704799275581,0.05037701536768657,1.7532470765808363,1.0,True,20
0.4,majority,reverse,0.3356732610082961,0.4280763494493146,0.02873355161437445,0.37717342844404816,0.4705704799275581,-0.09240308844101852,-3.215860318318335,0.0,True,20
0.4,mlp,forward,0.44382548036862285,0.7472279194747434,0.07224681999702236,0.6028906535476662,0.8701695371708913,-0.3034024391061206,-4.1995265551982115,0.0,True,20
0.4,mlp,reverse,0.5059617891477921,0.7472279194747434,0.07224681999702236,0.6028906535476662,0.8701695371708913,-0.24126613032695132,-3.339470586205664,0.0,True,20
0.4,rf,forward,0.4976375820754078,0.7596836466483727,0.08022570239983341,0.5742652632366552,0.9258480515839642,-0.2620460645729649,-3.266360489646633,0.0,True,20
0.4,rf,reverse,0.3356732610082961,0.7596836466483727,0.08022570239983341,0.5742652632366552,0.9258480515839642,-0.42401038564007665,-5.285218738589157,0.0,True,20
0.4,stratified,forward,0.41152247573135065,0.47287204860332377,0.02682487311207389,0.4196833061315563,0.49928331008134547,-0.061349572871973124,-2.2870405617821783,0.0,True,20
0.4,stratified,reverse,0.39365448475326714,0.47287204860332377,0.02682487311207389,0.4196833061315563,0.49928331008134547,-0.07921756385005663,-2.953138436818952,0.0,True,20
0.4,tree,forward,0.4424832962138085,0.7379478489008187,0.09395561283855404,0.5224948062065832,0.849331079714882,-0.29546455268701016,-3.1447248733794466,0.0,True,20
0.4,tree,reverse,0.3880009668938336,0.7379478489008187,0.09395561283855404,0.5224948062065832,0.849331079714882,-0.34994688200698504,-3.724597939755939,0.0,True,20
0.4,xgboost,forward,0.45314620587049476,0.7606474683673526,0.0852706886807414,0.515018190637885,0.888506107269905,-0.3075012624968579,-3.6061777763770753,0.0,True,20
0.4,xgboost,reverse,0.42004076940169455,0.7606474683673526,0.0852706886807414,0.515018190637885,0.888506107269905,-0.3406066989656581,-3.994417123109092,0.0,True,20
0.5,hgb,forward,0.4605274773780622,0.7798689736228883,0.08043892556447467,0.544449173964719,0.9157807271154416,-0.3193414962448261,-3.9699870927398515,0.0,True,20
0.5,hgb,reverse,0.5247592007076152,0.7798689736228883,0.08043892556447467,0.544449173964719,0.9157807271154416,-0.25510977291527315,-3.1714716615750116,0.0,True,20
0.5,logreg,forward,0.390117112243639,0.6956964339791536,0.08920784949913746,0.5018741598884363,0.8282896486255675,-0.3055793217355146,-3.4254757115120147,0.0,True,20
