seed,model,poison_rate,f1_macro,recall,fpr,f1_drop,alerts_per_hour,false_alerts_per_hour,ppv_deploy
101,logreg,0.0,0.49696374450206243,0.9631883176148464,0.06666666666666667,0.0,16463.256906267663,16000.0,0.02813883722432205
101,logreg,0.01,0.4855798441618363,0.9311428861170267,0.06666666666666667,0.011383900340226127,16447.84427388394,16000.0,0.027228144091504595
101,logreg,0.05,0.483947209184151,0.9259540952574113,0.06666666666666667,0.013016535317911415,16445.348663049655,16000.0,0.027080524236636677
101,logreg,0.1,0.48474157419319164,0.9284893350910997,0.06666666666666667,0.012222170308870794,16446.56801687748,16000.0,0.027152656798622932
101,logreg,0.25,0.3273058778475929,0.48563364094243316,0.13333333333333333,0.16965786665446952,32233.571290232834,32000.0,0.007246211973527381
101,tree,0.0,0.4305338633649855,0.7537606057533043,0.26666666666666666,0.0,64362.530151063715,64000.0,0.005632627403130795
101,tree,0.01,0.4319631894890255,0.7590339046073759,0.5333333333333333,-0.001429326124040009,128365.06640702559,128000.0,0.0028439700710162297
101,tree,0.05,0.39385956966324476,0.6485312510563499,0.3333333333333333,0.036674293701740746,80311.91883818341,80000.0,0.0038838424320540134
101,tree,0.1,0.4069376914090018,0.6847006726836359,0.3333333333333333,0.02359617195598368,80329.31495279373,80000.0,0.004099561324371529
101,tree,0.25,0.40025336345916807,0.6658722915187777,0.26666666666666666,0.030280499905817437,64320.25921836575,64000.0,0.004979134447802401
101,rf,0.0,0.44764710462663926,0.8088260149410135,0.6,0.0,144389.0145162041,144000.0,0.0026942113117645623
101,rf,0.01,0.44756369491652465,0.8085555893587534,0.6,8.340971011461251e-05,144388.8844517958,144000.0,0.0026933129462997007
101,rf,0.05,0.44698046868382346,0.8075583950241693,0.8,0.0006666359428157964,192388.4048392902,192000.0,0.0020188578392478064
101,rf,0.1,0.44444039986537437,0.7984822364195653,0.6,0.003206704761264889,144384.03955258656,144000.0,0.0026598476796785577
101,rf,0.25,0.45601881457131027,0.8366967515126931,0.6666666666666666,-0.008371709944671013,160402.41927928466,160000.0,0.002508810534733829
101,xgboost,0.0,0.4478928520318936,0.807541493425278,0.13333333333333333,0.0,32388.396710264664,32000.0,0.011991847380996495
101,xgboost,0.01,0.42376964275327283,0.7329716391170604,0.13333333333333333,0.024123209278620772,32352.53144967554,32000.0,0.010896564623510336
101,xgboost,0.05,0.38936993201156994,0.6361930838657337,0.2,0.058522920020323665,48305.98464955466,48000.0,0.00633430105554183
101,xgboost,0.1,0.4058314424003008,0.6811006321197985,0.13333333333333333,0.04206140963159283,32327.58347035822,32000.0,0.010133249540863063
101,xgboost,0.25,0.20731928979211225,0.2612818172599128,0.4666666666666667,0.24057356223978135,112125.66660549575,112000.0,0.0011207657381239614
101,hgb,0.0,0.433089786481453,0.7608930804854139,0.06666666666666667,0.0,16365.960599832664,16000.0,0.022361082785229594
101,hgb,0.01,0.41280016729912156,0.7007233884325457,0.06666666666666667,0.020289619182331464,16337.021268985593,16000.0,0.02062929731415595
101,hgb,0.05,0.3737913648586357,0.5957813609167427,0.26666666666666666,0.05929842162281734,64286.548149539114,64000.0,0.0044573578421502015
101,hgb,0.1,0.39067997809893495,0.6394212892539635,0.06666666666666667,0.042409808382518066,16307.53729342876,16000.0,0.018858598198802486
101,hgb,0.25,0.39931848138547316,0.662846905317243,0.06666666666666667,0.033771305095979864,16318.804122797872,16000.0,0.019535997883110393
101,mlp,0.0,0.5530501238513108,0.9990535104620897,0.7333333333333333,0.0,176480.50669841864,176000.0,0.0027227182616817924
101,mlp,0.01,0.4997717821280049,0.999340837643241,1.0,0.05327834172330592,240480.64489185245,240000.0,0.001998684310201403
101,mlp,0.05,0.5156151945896577,0.9992056248521111,0.9333333333333333,0.03743492926165315,224480.5798596483,224000.0,0.0021408527185237235
101,mlp,0.1,0.5568807937742438,0.999138018456546,0.7333333333333333,-0.0038306699229330166,176480.54734354623,176000.0,0.0027229479440064068
101,mlp,0.25,0.5804253810705424,0.9992901328465673,0.6666666666666666,-0.02737525721923162,160480.6205047759,160000.0,0.0029948818945500083
102,logreg,0.0,0.7370443526953776,0.9435277142462432,0.18531202435312025,0.0,44928.68674939635,44474.88584474886,0.010100471157296599
102,logreg,0.01,0.722483317019785,0.9360062627596052,0.1796042617960426,0.014561035675592637,43555.20620392058,43105.02283105023,0.010335925647157846
102,logreg,0.05,0.7124793582066549,0.9257678787971818,0.13660578386605784,0.024564994488722736,33230.64722787657,32785.38812785388,0.01339904988817591
102,logreg,0.1,0.7107956802165721,0.9245705865197169,0.1343226788432268,0.026248672478805468,32682.126170399944,32237.44292237443,0.013606313301252193
102,logreg,0.25,0.7053410527614318,0.9212703578061922,0.1324200913242009,0.03170329993394583,32223.91788148254,31780.821917808218,0.013750530438415306
102,tree,0.0,0.7834000730505555,0.9490690285047662,0.04452054794520548,0.0,11141.39757266323,10684.931506849314,0.04097026991783422
102,tree,0.01,0.7692035956206797,0.942959767909497,0.0410958904109589,0.014196477429875731,10316.541442714864,9863.013698630137,0.04396121962026251
102,tree,0.05,0.7590959780605466,0.9395520898890202,0.05136986301369863,0.02430409499000885,12780.655903995817,12328.767123287671,0.0353572448943614
102,tree,0.1,0.769632346896284,0.9442184597909343,0.05251141552511415,0.013767726154271465,13056.872852980952,12602.739726027397,0.034781155646305816
102,tree,0.25,0.7208949766126964,0.9261976760249896,0.10121765601217655,0.06250509643785906,24737.70325904662,24292.237442922375,0.01800756567654824
102,rf,0.0,0.8611160263202562,0.978402689302654,0.10730593607305935,0.0,26223.999097279007,25753.424657534244,0.01794441946093531
102,rf,0.01,0.8102434650428194,0.9640198320720831,0.10768645357686453,0.05087256127743678,26308.40569150821,25844.74885844749,0.01762390463707878
