seed,model,attack,eps,f1_macro,recall,fpr,precision,f1_drop,recall_drop,fpr_rise,alerts_per_hour,false_alerts_per_hour,ppv_deploy
101,logreg,gaussian_noise,0.0,0.5122572986767602,0.6999243379571248,0.17793964620187305,0.9878265821883676,0.0,0.0,0.0,43042.15204458121,42705.51508844953,0.007821099553363624
101,logreg,gaussian_noise,0.01,0.5097183004120196,0.6955359394703657,0.1768990634755463,0.9878214771831794,0.0025389982647405773,0.004388398486759093,-0.0010405827263267609,42790.301537684,42455.77523413111,0.007817806641495038
101,logreg,gaussian_noise,0.05,0.5411673068476878,0.7428499369482976,0.16545265348595214,0.9893188230552197,-0.028910008170927592,-0.042925598991172764,-0.012486992715920908,40065.91937143331,39708.63683662852,0.008917367688298502
101,logreg,gaussian_noise,0.1,0.546716038876858,0.7555611601513241,0.18730489073881373,0.9881258658222838,-0.03445874020009787,-0.0556368221941993,0.009365244536940681,45316.56992648627,44953.17377731529,0.008019056820948459
101,logreg,gaussian_noise,0.25,0.5126070764997703,0.7125851197982346,0.23621227887617066,0.9841855928661001,-0.0003497778230101556,-0.012660781841109747,0.05827263267429761,57033.67324040436,56690.94693028096,0.006009192300814352
101,logreg,gaussian_noise,0.5,0.4658613430095445,0.6455485498108449,0.3059313215400624,0.9775435380384968,0.04639595566721566,0.05437578814627997,0.12799167533818936,73734.00144206909,73423.51716961498,0.004210869698941448
101,logreg,missing_telemetry,0.0,0.5122572986767602,0.6999243379571248,0.17793964620187305,0.9878265821883676,0.0,0.0,0.0,43042.15204458121,42705.51508844953,0.007821099553363624
101,logreg,missing_telemetry,0.01,0.10849129656645505,0.06552332912988651,0.0,1.0,0.4037660021103051,0.6344010088272383,-0.17793964620187305,31.514226435215956,0.0,1.0
101,logreg,missing_telemetry,0.05,0.5361080195258665,0.9749810844892812,0.9146722164412071,0.9565023752969121,-0.023850720849106333,-0.2750567465321564,0.736732570239334,219990.2607240008,219521.33194588972,0.0021315888101946204
101,logreg,missing_telemetry,0.1,0.5046004115172251,0.6824716267339218,0.15400624349635797,0.9891797046351806,0.007656887159535053,0.01745271122320302,-0.023933402705515083,37289.74130569133,36961.49843912591,0.008802497820367431
101,logreg,missing_telemetry,0.25,0.4881682302824358,1.0,1.0,0.9537669585297797,0.024089068394324398,-0.30007566204287517,0.8220603537981269,240480.9619238477,240000.0,0.002
