domain,model,calibrator,oracle,brier,ece,f1_macro,recall,fpr,pr_auc,roc_auc,ppv_deploy,alerts_per_hour,mean_score,n
source_test,hgb,isotonic,False,0.0338816234390165,0.04034935688375764,0.7358209290333018,0.9964471540586667,0.5996705611743073,0.9971486240513954,0.9562346681151016,0.004190245335664219,144400.18782206235,0.9448538768777015,10
source_test,hgb,platt,False,0.048877910161418514,0.07843005209877582,0.5757739904462342,0.9767549314088223,0.7315662345887997,0.9979849861225449,0.9566443879328063,0.003829102458340555,176045.67823225004,0.9222663992517115,10
source_test,hgb,raw,False,0.06571602297144244,0.08232637641682465,0.7483655691609707,0.9170422854617858,0.12145463126614879,0.9979849861225449,0.9566443879328063,0.026391664220657023,29590.1739257411,0.8571692029334235,10
source_test,hgb,temperature,False,0.0751406998523138,0.14325173707966227,0.7483655691609707,0.9170422854617858,0.12145463126614879,0.9979849861225449,0.9566443879328063,0.026391664220657023,29590.1739257411,0.7959292741318332,10
source_test,logreg,isotonic,False,0.048603448351764784,0.08657979203298193,0.5658792354465321,0.9991653963728249,0.8786209906283547,0.9911391905109767,0.9171188398878097,0.0024821622812874317,211349.59826208666,0.9132009785756715,10
source_test,logreg,platt,False,0.05197679318045127,0.08608475857661954,0.5232525872129515,0.9946749698227547,0.9015336610957707,0.9935850231631036,0.9263644145303536,0.002493785741435462,216846.47945007408,0.9183408246399452,10
source_test,logreg,raw,False,0.10228531792432345,0.18518384304297403,0.6635491582462263,0.8379244649588967,0.14552722163327927,0.9935852141739527,0.9263644172995426,0.017382160001488643,35329.542954692704,0.7545577331204456,10
source_test,logreg,temperature,False,0.13042909488105175,0.25802261715958175,0.6635491582462263,0.8379244649588967,0.14552722163327927,0.9935850178894908,0.9263644182364448,0.017382160001488643,35329.542954692704,0.6814019646864697,10
source_test,mlp,isotonic,False,0.03799918829463422,0.04589630115003767,0.6456443184927445,0.99866309502993,0.7623266556347058,0.9959849077048067,0.9596387165596951,0.003174523320405763,183438.71627579068,0.9515664160251618,10
source_test,mlp,platt,False,0.04295955141789099,0.07278630416902761,0.670009713574123,0.9979493382083096,0.7157755312131865,0.9969639544662485,0.9630792262427009,0.0034422677018710207,172266.10312477197,0.931081748386873,10
source_test,mlp,raw,False,0.03212431881111115,0.02748701350221931,0.7470575722732657,0.9920656569721684,0.5717209179912177,0.9969673263561557,0.963073385157521,0.004231060287323688,137690.1661248528,0.9483265340328216,10
source_test,mlp,temperature,False,0.045686016919547975,0.06837532029664427,0.7470575722732657,0.9920656569721684,0.5717209179912177,0.9969639544662485,0.9630792265839411,0.004231060287323688,137690.1661248528,0.9048501348621846,10
source_test,rf,isotonic,False,0.042156553884938205,0.049686671122054826,0.631780392165038,0.9940585182848054,0.7281367883386577,0.9937499012853863,0.9346910565585844,0.004176555934861212,175230.9334986493,0.9592390284161514,10
source_test,rf,platt,False,0.05138152243610235,0.0846620607703863,0.5914987532320215,0.9934829412350622,0.7768914940926492,0.9952779537818243,0.9304777367301937,0.0034504209631767923,186931.78604896212,0.9336364972139922,10
source_test,rf,raw,False,0.04354613818009077,0.05925008630852367,0.7835793249961225,0.9749591471976702,0.34095150137994323,0.9952779532098708,0.9304777367301937,0.008767056193777614,82297.27855829548,0.8931836022301332,10
source_test,rf,temperature,False,0.052368359519706885,0.08759016713683643,0.7835793249961225,0.9749591471976702,0.34095150137994323,0.9952779535125312,0.9304777367301937,0.008767056193777614,82297.27855829548,0.8696674061573761,10
source_test,tree,isotonic,False,0.0588032039216135,0.10109809140707367,0.6198643620058103,0.9920080769686873,0.760647582997567,0.9739635371148865,0.8064966879365485,0.0030967957638547133,183032.5380325874,0.9113106022108639,10
source_test,tree,platt,False,0.07673906992102404,0.12749346826656555,0.47889947124142146,0.9768414909258241,0.9167682926829268,0.9659797974144894,0.7275840388012079,0.002709989260280372,220494.2138066724,0.893084606654823,10
source_test,tree,raw,False,0.0953723476725168,0.10119051573038138,0.6862756136493903,0.9066149958196021,0.2769779301169415,0.9751362216565969,0.822233467238207,0.012907555906106594,66910.75052064452,0.8755987178507508,10
source_test,tree,temperature,False,0.08867492795399352,0.1643050107059914,0.6862756136493903,0.9066149958196021,0.2769779301169415,0.9751361951485015,0.8222349279871948,0.012907555906106594,66910.75052064452,0.806115731397694,10
source_test,xgboost,isotonic,False,0.035695395432412624,0.041793971728062415,0.7156350206862939,0.9978900843053348,0.6365707198793761,0.9973840581900012,0.9643174962889389,0.004145462654640785,153256.9199057863,0.9524425208568573,10
source_test,xgboost,platt,False,0.04536704832634537,0.07077794043992602,0.5815353405768799,0.9820150090005253,0.7364069904742878,0.9979383748317086,0.9641112227282292,0.003686943341351457,177209.98954180526,0.9332774728631502,10
source_test,xgboost,raw,False,0.059664623253047465,0.0764513056650237,0.7538479647436358,0.9156827615194427,0.11157729310924433,0.9979383748317086,0.9641112227282292,0.026663666677927238,27218.9588888332,0.8658063590526581,10
source_test,xgboost,temperature,False,0.0700942464779122,0.13909062782019985,0.7538479647436358,0.9156827615194427,0.11157729310924433,0.9979383748317086,0.9641112227282292,0.026663666677927238,27218.9588888332,0.8041706509084644,10
target,hgb,isotonic,False,0.31386644834569666,0.31094699587430724,0.39926580398697054,0.9716778228903763,0.9713243297553461,0.633759013659698,0.5495243652295525,0.0020011040144325113,233585.17917634052,0.8689843153689658,10
target,hgb,isotonic+prior_ORACLE,True,0.31346485464793344,0.3382423349573206,0.503816172404114,0.5953330813530529,0.4993875278396437,0.633759013659698,0.5495243652295525,0.003920404858592288,120139.3392256522,0.5678480993063022,10
target,hgb,platt,False,0.30641561658275923,0.29800242316037673,0.42882270055037025,0.9544392558182382,0.9194760286015707,0.6577137709193488,0.569346180483846,0.0021118610227375554,221133.29580505108,0.8593502940641657,10
target,hgb,platt+prior_ORACLE,True,0.31588762219663463,0.30432632791171355,0.5071243916583303,0.5741683634693621,0.46755237202136746,0.6577137709193488,0.569346180483846,0.0025056981098275123,112488.7224058349,0.5723016585798476,10
target,hgb,raw,False,0.32503098691415866,0.3219834713022207,0.5486168340250409,0.611139018604544,0.469286174791098,0.6577137709193488,0.569346180483846,0.003932427046036739,112922.61654798996,0.5738344922091969,10
target,hgb,temperature,False,0.28281393191369597,0.2677542913304864,0.5486168340250409,0.611139018604544,0.469286174791098,0.6577137709193488,0.569346180483846,0.003932427046036739,112922.61654798996,0.5835360837298784,10
target,logreg,isotonic,False,0.25379547107866407,0.2916424040511143,0.39109420202507,0.9998447476336206,0.9874740442420082,0.7235796802265468,0.65115495688192,0.002025347129203642,237474.65787145286,0.782693410422532,10
target,logreg,isotonic+prior_ORACLE,True,0.3228030908862112,0.3936890639756104,0.42704667024874643,0.16149307799331575,0.013361982350084563,0.7235796802265468,0.65115495688192,0.01969877422301519,3284.547785500047,0.297457995267456,10
target,logreg,platt,False,0.24653181321500264,0.19877012182671489,0.4152105766515781,0.9651378508249644,0.9366015958604752,0.7845425811934101,0.6908676228791604,0.002081416841376563,225248.57756402506,0.753915981030168,10
target,logreg,platt+prior_ORACLE,True,0.3244882719774579,0.33450183526260885,0.4777479969845184,0.22040051317274328,0.020766908920407924,0.7845425811934665,0.6908676228791604,0.020791284719770205,5090.062395730483,0.29389044436428613,10
target,logreg,raw,False,0.3764494784232279,0.39582581334694084,0.53820150311417,0.32762692829264395,0.08080425172061557,0.7845425023223935,0.6908675023787139,0.022125059935206935,19550.59649068368,0.23208848015692088,10
target,logreg,temperature,False,0.3443099093643359,0.3610136533936742,0.53820150311417,0.32762692829264395,0.08080425172061557,0.7845425064947402,0.6908675023890644,0.022125059935206935,19550.59649068368,0.28022002746160124,10
target,mlp,isotonic,False,0.3449985682964325,0.3420356612138615,0.40723086687202176,0.9753715015721672,0.9644732655692684,0.6322887758765469,0.5377018182133799,0.002023008731561279,231942.70029048677,0.901463919878006,10
target,mlp,isotonic+prior_ORACLE,True,0.330674546460772,0.3511706996059004,0.45452780530034864,0.6198972299780668,0.5836334293417285,0.6322887758765469,0.5377018182133799,0.007425442908757726,140370.17000633295,0.6529986162769548,10
target,mlp,platt,False,0.3551203575573855,0.3426850995007221,0.4104576225819156,0.9671603312592376,0.958744159954452,0.653930103581563,0.56381562092582,0.0020177004422751127,230563.76568266004,0.9099593572506597,10
target,mlp,platt+prior_ORACLE,True,0.32391243199248654,0.31267842881823704,0.38849128471083194,0.6243410241508197,0.634012509000787,0.653930103581563,0.56381562092582,0.001972875036447885,152463.2864203015,0.6736307063280733,10
target,mlp,raw,False,0.3694680750370026,0.36209735085638856,0.42129930228280016,0.9290984389415202,0.9349276587906292,0.6539303038406314,0.5638152997991079,0.001987706840179868,224829.4990823882,0.8974722385406494,10
target,mlp,temperature,False,0.3317034294223516,0.3156651696800922,0.42129930228280016,0.9290984389415202,0.9349276587906292,0.6539301036056578,0.5638156209261036,0.001987706840179868,224829.4990823882,0.8448109274366429,10
target,rf,isotonic,False,0.28262724081138807,0.2764390375559159,0.4698512625364703,0.9779028196051496,0.8817168896629101,0.6694840513593641,0.6087293167380542,0.0022710270926628385,212082.38754055178,0.8366325611531362,10
target,rf,isotonic+prior_ORACLE,True,0.2980508672042072,0.33603952234225315,0.470664908374153,0.436127469508354,0.3228887921362426,0.6694840513593641,0.6087293167380542,0.010855232622707668,77703.07081947579,0.47573586906662674,10
target,rf,platt,False,0.2973295335659486,0.30047684671900055,0.504361993676602,0.9677343315003799,0.8390429023561129,0.6730900718390026,0.5971455401700578,0.0023513948393743623,201835.739931319,0.8553368394088796,10
target,rf,platt+prior_ORACLE,True,0.29729454910749165,0.30125098444561277,0.4880367285717776,0.6089504479423643,0.48728942344725956,0.6730900718403833,0.5971455401700578,0.002188565883264077,117242.34360631257,0.5658677219746207,10
target,rf,raw,False,0.25345740198327293,0.251382257663625,0.5793709018127691,0.8063757784632726,0.6254979737763116,0.6730900684209686,0.5971455401628267,0.002628930479220103,150507.34975206867,0.6477611127176403,10
target,rf,temperature,False,0.25747529034537775,0.2519629684574818,0.5793709018127691,0.8063757784632726,0.6254979737763116,0.6730900715156853,0.5971455401683563,0.002628930479220103,150507.34975206867,0.6536455365726217,10
target,tree,isotonic,False,0.3303608662172225,0.326937016348513,0.40507022268926035,0.9678795588448466,0.9605621096170269,0.6235547059982035,0.5287012607503377,0.0020274661138011876,231000.41952276137,0.8738733888413446,10
target,tree,isotonic+prior_ORACLE,True,0.33404117257208116,0.3409089513753506,0.4431908881015998,0.5273161526133471,0.46383504697154915,0.6235547059982035,0.5287012607503377,0.0022886269502556786,111574.03026440868,0.5913830306322447,10
target,tree,platt,False,0.3181115450212898,0.326896441171762,0.3948572413751848,0.9762837785662322,0.965792613493645,0.6380595151634478,0.5504879126147996,0.002031817689373712,232259.78256283532,0.8653807042620884,10
target,tree,platt+prior_ORACLE,True,0.3392268955641676,0.35577934587855997,0.4357173597846199,0.5075000711234663,0.4562982484049768,0.6380595151634478,0.5504879126147996,0.002221037328912307,109755.66782775482,0.5752415499611013,10
target,tree,raw,False,0.3897612023856704,0.37535107483076013,0.5382175282801314,0.6976941094867867,0.5891900547582766,0.6371294470171264,0.5490275598329131,0.002355151285277124,141741.17744314234,0.6751701038473795,10
target,tree,temperature,False,0.3076029707771316,0.3059523293318948,0.5382175282801314,0.6976941094867867,0.5891900547582766,0.6371294586646019,0.5490275599351413,0.002355151285277124,141741.17744314234,0.687915847081409,10
target,xgboost,isotonic,False,0.31240532994270326,0.3188274655577756,0.3936196499170469,0.9626184544396622,0.9744622553041846,0.655190527184104,0.579911592338372,0.0019752697587016436,234333.92409678292,0.8662890136241913,10
target,xgboost,isotonic+prior_ORACLE,True,0.292809198849799,0.31209266796137447,0.49255440929630573,0.49674958985467776,0.37513898889763386,0.655190527184104,0.579911592338372,0.06542851183820267,90272.27497383919,0.5164663664067424,10
target,xgboost,platt,False,0.3057456647838802,0.29594793151208576,0.44978615326073595,0.9647253347205795,0.8940889947586115,0.6665486056255459,0.5802126478721469,0.002214337874240813,215045.3548950386,0.8654890991154579,10
target,xgboost,platt+prior_ORACLE,True,0.3042935987100689,0.3057944073175626,0.5176589380026616,0.6175917458846608,0.49318472964147564,0.6665486056255459,0.5802126478721469,0.0025016988050892354,118661.3732282073,0.5878628847089395,10
target,xgboost,raw,False,0.31481351554393766,0.3185716167674443,0.5550974711787714,0.6453652562544622,0.49096928010449287,0.6665486056255459,0.5802126478721469,0.005718949810452864,118143.02334031087,0.5619526550173759,10
target,xgboost,temperature,False,0.26699640560651855,0.2693980305148716,0.5550974711787714,0.6453652562544622,0.49096928010449287,0.666548605601296,0.5802126478220961,0.005718949810452864,118143.02334031087,0.5578573263736557,10
