surface,pi,n_models,ppv_min,ppv_max,ppv_ratio,corpus_precision_min,corpus_precision_max,corpus_precision_range,collapse_factor,best_model,false_alerts_per_hour_median
d_a_radio_heldout,0.0001,6,0.00027603189607885417,0.0003880245227945882,1.4057234990109297,0.9075653692182225,0.9324099515929294,0.02484458237470688,2630.830996167006,mlp,61656.63716814159
d_a_radio_heldout,0.0005,6,0.0013791882587751414,0.0019378897516029682,1.405094438176272,0.9075653692182225,0.9324099515929294,0.02484458237470688,526.7037391768571,mlp,61656.63716814159
d_a_radio_heldout,0.001,6,0.0027559523045358834,0.0038702117814879426,1.4043101453962594,0.9075653692182225,0.9324099515929294,0.02484458237470688,263.68781953835423,mlp,61656.63716814159
d_a_radio_heldout,0.002,6,0.0055022332785356915,0.007718248380359511,1.4027483004889183,0.9075653692182225,0.9324099515929294,0.02484458237470688,132.17983894024655,mlp,61656.63716814159
d_a_radio_heldout,0.005,6,0.01368355463858784,0.019131196700577013,1.3981160017168885,0.9075653692182225,0.9324099515929294,0.02484458237470688,53.27498468207603,mlp,61656.63716814159
d_a_radio_heldout,0.01,6,0.02713033764969382,0.03772659249721368,1.3905684840468415,0.9075653692182225,0.9324099515929294,0.02484458237470688,26.973258702902744,mlp,61656.63716814159
d_a_radio_heldout,0.05,6,0.12687053623435887,0.16962989583128515,1.3370314406013069,0.9075653692182225,0.9324099515929294,0.02484458237470688,5.930991498189728,mlp,61656.63716814159
d_a_radio_heldout,0.1,6,0.23474626093494902,0.3013161873425033,1.2835824781294456,0.9075653692182225,0.9324099515929294,0.02484458237470688,3.29977472934119,mlp,61656.63716814159
d_a_radio_heldout,0.2,6,0.4083544784217124,0.49247359064543755,1.205995321880257,0.9075653692182225,0.9324099515929294,0.02484458237470688,1.9830296505459897,mlp,61656.63716814159
d_a_radio_heldout,0.5,6,0.7340994812996029,0.7951391967389181,1.083149105801375,0.9075653692182225,0.9324099515929294,0.02484458237470688,1.1909660431182216,mlp,61656.63716814159
