surface,model,pi,tpr,fpr,corpus_precision,ppv,ppv_sd,npv,fdr,alerts_per_hour,false_alerts_per_hour,alerts_per_day,alerts_per_100k_benign,missed_per_hour,n_seeds
d_a_radio_heldout,hgb,0.0001,0.9445829822870028,0.2569140615076151,0.9281301010019396,0.10161955992007862,0.3072514857602352,0.9999905171322905,0.8983804400799213,61682.04702062839,61659.374761827625,1480369.1284950813,25700.85292526183,1.33014143925586,20
d_a_radio_heldout,hgb,0.0005,0.9445829822870028,0.2569140615076151,0.9281301010019396,0.10790961133975656,0.30536970234866023,0.9999525714899209,0.8920903886602435,61772.781423032655,61659.374761827625,1482546.754152784,25738.658926263608,6.653368809964652,20
d_a_radio_heldout,hgb,0.001,0.9445829822870028,0.2569140615076151,0.9281301010019396,0.11537687203702837,0.30358917837948807,0.999905107525638,0.8846231279629716,61886.301604419095,61659.374761827625,1485271.2385060582,25785.95900184129,13.313397648768108,20
d_a_radio_heldout,hgb,0.002,0.9445829822870028,0.2569140615076151,0.9281301010019396,0.12914912897271097,0.30154556273717054,0.9998100730650265,0.8708508710272891,62113.68321022217,61659.374761827625,1490728.3970453322,25880.70133759257,26.65347545314497,20
d_a_radio_heldout,hgb,0.005,0.9445829822870028,0.2569140615076151,0.9281301010019396,0.16334378773710606,0.30259149335029767,0.9995241143642547,0.836656212262894,62798.57031835466,61659.374761827625,1507165.687640512,26166.070965981107,66.83459422673036,20
d_a_radio_heldout,hgb,0.01,0.9445829822870028,0.2569140615076151,0.9281301010019396,0.20533094166616933,0.3122020923284159,0.9990446448866184,0.7946690583338307,63949.272900705204,61659.374761827625,1534782.549616925,26645.530375293834,134.34428536484185,20
d_a_radio_heldout,hgb,0.05,0.9445829822870028,0.2569140615076151,0.9281301010019396,0.3612468690954545,0.34020949268654965,0.9950745155285826,0.6387531309045456,73590.9492749266,61659.374761827625,1766182.7825982384,30662.89553121942,700.004434269439,20
d_a_radio_heldout,hgb,0.1,0.9445829822870028,0.2569140615076151,0.9281301010019396,0.46279228725189964,0.320249691787027,0.9897481638113723,0.5372077127481003,86848.25428948102,61659.374761827625,2084358.1029475448,36186.77262061709,1477.78713901326,20
d_a_radio_heldout,hgb,0.2,0.9445829822870028,0.2569140615076151,0.9281301010019396,0.59568877613161,0.26892639337399593,0.9776616813893408,0.40431122386839,118334.35369904779,61659.374761827625,2840024.4887771467,49305.98070793658,3325.0210627798356,20
d_a_radio_heldout,hgb,0.5,0.9445829822870028,0.2569140615076151,0.9281301010019396,0.8155728167388713,0.14805147486847695,0.9226687950435248,0.18442718326112878,288359.2905107083,61659.374761827625,6920622.9722569985,120149.70437946178,13300.084251119342,20
d_a_radio_heldout,logreg,0.0001,0.7980259269916067,0.21772444383303227,0.9296671209480127,0.05173046100254699,0.22321468402262074,0.9999690270935349,0.948269538997453,52273.0210576293,52253.86651992774,1254552.5053831034,21780.42544067888,4.847862538455287,20
d_a_radio_heldout,logreg,0.0005,0.7980259269916067,0.21772444383303227,0.9296671209480127,0.0584691187926368,0.22197217017156237,0.9998451095494121,0.9415308812073633,52349.67753667511,52253.86651992774,1256392.2608802025,21812.365640281296,24.249013267641025,20
d_a_radio_heldout,logreg,0.001,0.7980259269916067,0.21772444383303227,0.9296671209480127,0.06650801201440257,0.2210598305612896,0.9996901542462183,0.9334919879855974,52445.584460346145,52253.86651992774,1258694.0270483077,21852.326858477558,48.52229982183625,20
d_a_radio_heldout,logreg,0.002,0.7980259269916067,0.21772444383303227,0.9296671209480127,0.08145559437407833,0.22088589053999788,0.9993800487018933,0.9185444056259217,52637.68660505397,52253.86651992774,1263304.4785212951,21932.369418772483,97.14183872147177,20
d_a_radio_heldout,logreg,0.005,0.7980259269916067,0.21772444383303227,0.9296671209480127,0.11932919850550157,0.2276414396348775,0.998448165701886,0.8806708014944984,53216.30984896284,52253.86651992774,1277191.4363751083,22173.462437067854,243.5868217186654,20
