surface,pi,kendall_tau_vs_primary,p,best_model
d_a_radio_heldout,0.0001,0.9999999999999999,0.002777777777777778,mlp
d_a_radio_heldout,0.0005,0.9999999999999999,0.002777777777777778,mlp
d_a_radio_heldout,0.001,0.9999999999999999,0.002777777777777778,mlp
d_a_radio_heldout,0.002,0.9999999999999999,0.002777777777777778,mlp
d_a_radio_heldout,0.005,0.9999999999999999,0.002777777777777778,mlp
d_a_radio_heldout,0.01,0.9999999999999999,0.002777777777777778,mlp
d_a_radio_heldout,0.05,0.9999999999999999,0.002777777777777778,mlp
d_a_radio_heldout,0.1,0.9999999999999999,0.002777777777777778,mlp
d_a_radio_heldout,0.2,0.9999999999999999,0.002777777777777778,mlp
d_a_radio_heldout,0.5,0.9999999999999999,0.002777777777777778,mlp
