layer,model,random_f1_macro,random_lo,random_hi,random_n_splits,random_pr_auc_benign,random_balanced_accuracy,random_fpr,random_recall,group_disjoint_f1_macro,group_disjoint_lo,group_disjoint_hi,group_disjoint_n_splits,group_disjoint_pr_auc_benign,group_disjoint_balanced_accuracy,group_disjoint_fpr,group_disjoint_recall,leakage_delta,delta_mean,delta_lo,delta_hi,delta_excludes_zero
radio,hgb,0.982308006550835,0.9793860919236798,0.9852299211779901,20,0.9958540004264531,0.9764317619892389,0.044297294851469465,0.997160818829947,0.8439483796239365,0.7894307248188959,0.8984660344289772,20,0.8443795723196581,0.8438344603896939,0.25691406150761514,0.9445829822870028,0.1383596269268984,0.13835962692689835,0.08244800509868071,0.19427124875511598,True
radio,logreg,0.8361967011234872,0.8300132413653837,0.8423801608815907,20,0.8931358145409088,0.8682523886916049,0.13473451995203445,0.8712392973352442,0.743517978319484,0.6875657197379222,0.7994702369010457,20,0.7492915254135021,0.7901507415792871,0.2177244438330323,0.7980259269916067,0.09267872280400324,0.09267872280400324,0.036811033699147684,0.1485464119088588,True
radio,majority,0.4312017522404947,0.4284231024138936,0.43398040206709576,20,0.24172597864768686,0.5,1.0,1.0,0.43352331509110076,0.4291160157146043,0.43793061446759723,20,0.23424118223583879,0.5,1.0,1.0,-0.002321562850606085,-0.002321562850606082,-0.00797284859601614,0.003329722894803977,False
radio,mlp,0.9593594880442584,0.9539323420879099,0.9647866340006069,20,0.9800495710400228,0.9513616335782707,0.0864968201252846,0.9892200872818261,0.8489696725485902,0.7964173073254215,0.901522037771759,20,0.820771723867229,0.8519122592675987,0.23585633297787517,0.9396808515130728,0.11038981549566818,0.11038981549566809,0.05637022647014373,0.16440940452119246,True
radio,rf,0.9704012605946545,0.9661731729443056,0.9746293482450034,20,0.9918732978221056,0.9587506139790187,0.0802644379703116,0.9977656659283488,0.8530539404663905,0.7944560523637698,0.9116518285690112,20,0.8471972489686388,0.8464474085632283,0.26149482104216254,0.9543896381686189,0.11734732012826399,0.11734732012826403,0.05749357379937926,0.17720106645714878,True
radio,stratified,0.49780291307713365,0.49600413175581365,0.49960169439845364,20,0.24129207764210808,0.4985160529764287,0.7783406381734608,0.7753727441263182,0.5071164867966855,0.5062436042136115,0.5079893693797596,20,0.23754494577819427,0.5080356027368497,0.7611609460394927,0.7772321515131921,-0.009313573719551882,-0.009313573719551872,-0.01118134168384558,-0.007445805755258163,True
radio,tree,0.9500972391577965,0.9434715230384181,0.956722955277175,20,0.8847859684822834,0.9489847250314479,0.07940078650648043,0.9773702365693764,0.7819979325266574,0.7232838901864385,0.8407119748668763,20,0.5771404327005137,0.7900221842571526,0.3298937663539249,0.90993813486823,0.16809930663113914,0.16809930663113926,0.1097673705146977,0.2264312427475808,True
radio,xgboost,0.976985810192535,0.9736089724846168,0.9803626479004534,20,0.9935772099558651,0.9727061521800389,0.047695774355482126,0.9931080787155595,0.8374744661724429,0.7825076016751981,0.8924413306696878,20,0.8374983568402768,0.8413704121182437,0.2476454864106281,0.9303863106471155,0.13951134402009213,0.13951134402009216,0.0838731696911705,0.19514951834901384,True
