layer,model,predictor,pearson_r,p,r_squared,n,fpr_min,fpr_max,fpr_sd
radio,hgb,test_prevalence,0.05049697256016363,0.7569859886148257,0.0025499442377419188,40,0.0,0.8767123287671232,0.2453440069988257
radio,hgb,benign_frac_test,-0.05049697256016333,0.7569859886148279,0.002549944237741889,40,0.0,0.8767123287671232,0.2453440069988257
radio,hgb,n_test_groups,-0.2121987624236683,0.1886663286424085,0.04502831477413643,40,0.0,0.8767123287671232,0.2453440069988257
radio,hgb,train_prevalence,-0.07016908713973138,0.6670161365211454,0.004923700790023217,40,0.0,0.8767123287671232,0.2453440069988257
radio,hgb,n_benign_test,0.15156066800173434,0.3505275601889864,0.022970636085131942,40,0.0,0.8767123287671232,0.2453440069988257
radio,logreg,test_prevalence,0.035326453362027485,0.8286706936886454,0.001247958307139503,40,0.0,0.8698630136986302,0.23596003209777885
radio,logreg,benign_frac_test,-0.03532645336202728,0.8286706936886459,0.0012479583071394883,40,0.0,0.8698630136986302,0.23596003209777885
radio,logreg,n_test_groups,-0.2526514970688293,0.11574711306601843,0.06383277897112065,40,0.0,0.8698630136986302,0.23596003209777885
radio,logreg,train_prevalence,-0.053547972764387275,0.7427880017166415,0.002867385387175561,40,0.0,0.8698630136986302,0.23596003209777885
radio,logreg,n_benign_test,0.1660610550005253,0.30579234770251007,0.027576273987887485,40,0.0,0.8698630136986302,0.23596003209777885
radio,mlp,test_prevalence,-0.00018527700094243815,0.9990946918887056,3.4327567078224226e-08,40,0.0088495575221238,0.8904109589041096,0.23698368765633882
radio,mlp,benign_frac_test,0.00018527700094264458,0.9990946918887041,3.4327567078300724e-08,40,0.0088495575221238,0.8904109589041096,0.23698368765633882
radio,mlp,n_test_groups,-0.23612682021383313,0.142409950498837,0.05575587522429588,40,0.0088495575221238,0.8904109589041096,0.23698368765633882
radio,mlp,train_prevalence,-0.01806554093108991,0.9118999583595648,0.00032636376913288496,40,0.0088495575221238,0.8904109589041096,0.23698368765633882
radio,mlp,n_benign_test,0.2042497266963283,0.20615706636973347,0.0417179508555248,40,0.0088495575221238,0.8904109589041096,0.23698368765633882
radio,rf,test_prevalence,0.054109380047151386,0.7401844324820478,0.0029278250090870647,40,0.0,0.8561643835616438,0.243582876552851
radio,rf,benign_frac_test,-0.0541093800471511,0.7401844324820493,0.002927825009087034,40,0.0,0.8561643835616438,0.243582876552851
radio,rf,n_test_groups,-0.19259731603296176,0.23378969426132593,0.03709372614310055,40,0.0,0.8561643835616438,0.243582876552851
radio,rf,train_prevalence,-0.07435217790085794,0.6484151014784143,0.0055282463586008275,40,0.0,0.8561643835616438,0.243582876552851
radio,rf,n_benign_test,0.14756730525693826,0.36351302982941924,0.021776109580794397,40,0.0,0.8561643835616438,0.243582876552851
radio,stratified,test_prevalence,-0.5980703459834406,4.590424280370281e-05,0.3576881387447523,40,0.7123287671232876,0.8013698630136986,0.014262730420934025
radio,stratified,benign_frac_test,0.5980703459834408,4.5904242803702084e-05,0.3576881387447526,40,0.7123287671232876,0.8013698630136986,0.014262730420934025
radio,stratified,n_test_groups,0.010318532017151806,0.9496133453002119,0.00010647210298898692,40,0.7123287671232876,0.8013698630136986,0.014262730420934025
radio,stratified,train_prevalence,0.6015274844631191,4.038222539851159e-05,0.361835314564528,40,0.7123287671232876,0.8013698630136986,0.014262730420934025
radio,stratified,n_benign_test,0.53656467521449,0.000358176502829712,0.2879016506880312,40,0.7123287671232876,0.8013698630136986,0.014262730420934025
radio,tree,test_prevalence,0.19559176972984682,0.22645967387236632,0.038256140386053426,40,0.0267857142857142,0.8676470588235294,0.2629682283688915
radio,tree,benign_frac_test,-0.19559176972984665,0.22645967387236696,0.03825614038605336,40,0.0267857142857142,0.8676470588235294,0.2629682283688915
radio,tree,n_test_groups,-0.15418006144391538,0.34216534805499055,0.023771491346849524,40,0.0267857142857142,0.8676470588235294,0.2629682283688915
radio,tree,train_prevalence,-0.21123954836581682,0.19071930495354758,0.04462214679379426,40,0.0267857142857142,0.8676470588235294,0.2629682283688915
radio,tree,n_benign_test,-0.010161868751072188,0.9503773963394035,0.00010326357651401744,40,0.0267857142857142,0.8676470588235294,0.2629682283688915
radio,xgboost,test_prevalence,0.05008942741975552,0.7588886102558853,0.0025089507392389563,40,0.0,0.8424657534246576,0.23921902505372006
radio,xgboost,benign_frac_test,-0.05008942741975524,0.7588886102558874,0.0025089507392389286,40,0.0,0.8424657534246576,0.23921902505372006
radio,xgboost,n_test_groups,-0.19255676942924127,0.23389004143875947,0.03707810945302598,40,0.0,0.8424657534246576,0.23921902505372006
radio,xgboost,train_prevalence,-0.07029816178752177,0.666439158028403,0.004941831550704586,40,0.0,0.8424657534246576,0.23921902505372006
radio,xgboost,n_benign_test,0.15172183608855525,0.3500094816114083,0.023019515546082423,40,0.0,0.8424657534246576,0.23921902505372006
