grouping,n_groups,largest_group_share,top5_share,gini,nmi_category,nmi_binary,cramers_v_category,purity_category,purity_binary,nmi_category_null_mean,nmi_category_null_p95,nmi_excess_over_null,nmi_category_sizematched_null,layer,n_rows_used
src_ip,152,0.33908,0.9446100000000001,0.9732900438596491,0.1276118290384344,0.09706807797990356,0.3502369713009103,0.4354266666666667,0.96186,0.0006167335152991956,0.0006503492637338219,0.1269950955231352,0.0005825892167901195,network,300000
dst_ip,1083,0.837,0.8851633333333333,0.9763630470914128,0.1755634789365682,0.21727782677074342,0.4330401037502508,0.43993333333333334,0.9748033333333334,0.0059552771077555165,0.0060942132655108314,0.1696082018288127,0.005882631591651616,network,300000
src_ip__dst_ip,2768,0.29517,0.83874,0.9695095905587668,0.17548658878946152,0.12183203548800067,0.49783307751123307,0.4934,0.9809566666666667,0.009588180814842789,0.009742943839187368,0.16589840797461874,0.009672414257896788,network,300000
attack_type_ORACLE,15,0.309,0.7855166666666666,0.592768,0.6196900009330977,0.18103739198918548,0.910734646845126,0.8099866666666666,1.0,6.523558267989454e-05,8.39143266863517e-05,0.6196247653504178,7.612519577618452e-05,network,300000
dst_port,17047,0.5548033333333333,0.8338866666666667,0.9360507702234998,0.25980167460701964,0.032075308594942856,0.5725164206136844,0.5225366666666666,0.9468633333333333,0.04710846066390366,0.04732995900190578,0.21269321394311597,0.0468768544506499,network,300000
session,30,0.12713675213675213,0.4013532763532764,0.3724121557454891,0.6805192360251041,0.29482318380205086,1.0,1.0,1.0,0.01059544787980893,0.012788918949905087,0.6699237881452952,0.011438305057918055,radio,2808
