feature,robust,univariate_domain_auc,w1_source_quantile,median_d_a,median_d_b
proto_tcp,True,0.80204,0.60408,1.0,0.0
proto_udp,True,0.7893049999999999,0.57861,0.0,1.0
tot_pkts,False,0.8777638747000001,0.37970237259954215,2.1972246170043945,1.0986123085021973
dst_pkts,False,0.8160196536,0.36826058949619533,1.0986123085021973,0.0
src_byte_ratio,True,0.80001569,0.3558283039078326,0.5,1.0
dst_bytes,False,0.7992587921500001,0.35148976931869985,4.394449234008789,0.0
src_pkt_ratio,True,0.7885748488000001,0.3471214463412517,0.5,1.0
tot_bytes,False,0.84084472075,0.3409532527889032,5.7714409828186035,4.442651271820068
dst_mean_pkt_size,True,0.7605858356,0.3144722391918301,3.7135720252990723,0.0
src_pkts,False,0.77484380465,0.274757582994476,1.6094379425048828,0.6931471824645996
src_bytes,False,0.7134527908499999,0.2221458141587721,5.105945587158203,4.317488193511963
duration,False,0.6351574916,0.1802762430143729,0.0022574500180780888,0.0
bytes_per_s,False,0.67342988085,0.17848614839521226,11.289793968200684,10.645448684692383
pkts_per_s,False,0.6672586241,0.17345897323784124,7.258398532867432,6.908754825592041
mean_pkt_size,True,0.59804248285,0.1661164086222649,3.761200189590454,3.761200189590454
src_mean_pkt_size,True,0.581965161,0.14986093341507015,3.7135720252990723,3.761200189590454
proto_icmp,True,0.51092,0.02184000000000008,0.0,0.0
proto_other,True,0.5018149999999999,0.003629999999999911,0.0,0.0
