protocol,direction,train_frac,model,f1_macro,f1_sd,recall,fpr,brier,ece,ppv_deploy,false_alerts_per_hour,n
random_sessions,n/a,0.4,hgb,0.7681116982250389,0.07822990521471959,0.8875174974645125,0.30430442793626883,0.16098032856740058,0.15768067443304656,0.10633240461297819,73033.06270470451,20
random_sessions,n/a,0.4,logreg,0.697647605612156,0.08841960840155073,0.7613414966265215,0.2606822313670821,0.21832611700189072,0.2231363558624686,0.016266336947159097,62563.735528099685,20
random_sessions,n/a,0.4,majority,0.4280763494493147,0.02873355161437446,1.0,1.0,0.24739797295922825,0.24739797295922825,0.002,240000.0,20
random_sessions,n/a,0.4,mlp,0.7241122923425338,0.0805485834698877,0.8117023486451975,0.2777137712641967,0.18414400443434714,0.18860473386231943,0.061690225013321734,66651.30510340721,20
random_sessions,n/a,0.4,rf,0.7596836466483726,0.08022570239983341,0.8994119289376155,0.3333092184863485,0.1371125231844101,0.1509418326233964,0.1065780794401467,79994.21243672362,20
random_sessions,n/a,0.4,stratified,0.47287204860332377,0.026824873112073877,0.7569979257657756,0.7550752359709328,0.3893539001222456,0.365883401373012,0.0020123763587592248,181218.05663302387,20
random_sessions,n/a,0.4,tree,0.7379478489008188,0.09395561283855405,0.8558398324006466,0.3159232242028002,0.20178385516877423,0.1966254256704207,0.06291681966455795,75821.57380867205,20
random_sessions,n/a,0.4,xgboost,0.7606474683673526,0.08527068868074139,0.8734397171779819,0.29539084228727114,0.15712209306657315,0.16250926631298548,0.07437800382350979,70893.80214894508,20
random_sessions,n/a,0.5,hgb,0.7798689736228882,0.08043892556447466,0.9070080469880644,0.2855574763541532,0.1482571545059682,0.1496075367738246,0.20500799834078703,68533.79432499676,20
random_sessions,n/a,0.5,logreg,0.6956964339791536,0.08920784949913747,0.7768736694104719,0.25359067541752034,0.20783014901099972,0.2146055245403952,0.061269109649550416,60861.76210020488,20
random_sessions,n/a,0.5,majority,0.4268035576771309,0.03920700482003975,1.0,1.0,0.24793020402261226,0.24793020402261226,0.002,240000.0,20
random_sessions,n/a,0.5,mlp,0.7284850569086868,0.09981362575709578,0.8283338917095155,0.2573941980041791,0.17628208473324775,0.1886092741472438,0.06842439263209818,61774.60752100298,20
random_sessions,n/a,0.5,rf,0.7726710541837785,0.0876388126408389,0.9146757011977366,0.30815885964517736,0.12889003339363528,0.15386126158628008,0.16504998848578462,73958.12631484256,20
random_sessions,n/a,0.5,stratified,0.47414111292594807,0.032469707523855286,0.7460366604000489,0.7344541634354924,0.3963565326249344,0.37443940997329656,0.002038762807623859,176268.99922451816,20
random_sessions,n/a,0.5,tree,0.7372021708592313,0.08857173264473661,0.8731471298714901,0.32427970364115677,0.19355797470184416,0.1887885474756882,0.05660893880588953,77827.1288738776,20
random_sessions,n/a,0.5,xgboost,0.7666848299174643,0.08315913558476255,0.8881800189533211,0.2788548493484438,0.1460623439401388,0.15429306830455355,0.20519062131283855,66925.1638436265,20
random_sessions,n/a,0.6,hgb,0.7765991930084588,0.06941026321459355,0.913034683320723,0.2979971482199131,0.14280782376720236,0.1393426419956098,0.20517158914414013,71519.31557277913,20
random_sessions,n/a,0.6,logreg,0.668226679930714,0.10082362041146602,0.7508995238056505,0.2744310188784979,0.220511795286705,0.2304782263607695,0.06539849654751952,65863.4445308395,20
random_sessions,n/a,0.6,majority,0.42561357819404033,0.04619479081483675,1.0,1.0,0.2490119908300908,0.2490119908300908,0.002,240000.0,20
random_sessions,n/a,0.6,mlp,0.7253511615263334,0.0962290615903395,0.8377662221566989,0.2852795153311932,0.16937534976750612,0.17902027175362592,0.10974859302887614,68467.08367948637,20
random_sessions,n/a,0.6,rf,0.7669368964659412,0.08323599708182738,0.9192368105274449,0.3260849432731034,0.12344136789426279,0.1431486927231499,0.20462192056816128,78260.38638554481,20
random_sessions,n/a,0.6,stratified,0.4765585815067837,0.029323044626284232,0.7464931809546131,0.7361352007350674,0.3937270663266111,0.37496558269944846,0.0020344792680796284,176672.44817641616,20
random_sessions,n/a,0.6,tree,0.7575967738733614,0.07378892258949983,0.8843344526624307,0.28529840706314913,0.1743493874667147,0.16694147374080048,0.20522795198266075,68471.6176951558,20
random_sessions,n/a,0.6,xgboost,0.7607396757251934,0.07747305921079678,0.8882992093466193,0.28213757302046005,0.14417968252673746,0.15126141849206906,0.20590408442979644,67713.01752491042,20
random_sessions,n/a,0.7,hgb,0.7871235174728464,0.12202511880345181,0.9310238034276261,0.21786261272808677,0.12777395315612158,0.1324749249280046,0.2853490060355662,52287.027054740814,20
random_sessions,n/a,0.7,logreg,0.6742714069502164,0.12872769827532446,0.7679106843667932,0.20271147477420817,0.20815544952982376,0.23631234746049823,0.22976461529488262,48650.75394580996,20
random_sessions,n/a,0.7,majority,0.4185919744572102,0.06525776538602321,1.0,1.0,0.2610234695313826,0.2610234695313826,0.002,240000.0,20
random_sessions,n/a,0.7,mlp,0.7306673338742853,0.1148244295259582,0.8559403323013763,0.21786334752189415,0.16510800458490849,0.1868028977574538,0.26637718863834053,52287.2034052546,20
random_sessions,n/a,0.7,rf,0.787467512074101,0.12036603185365612,0.9424957446067938,0.24477423219584066,0.11358663366317305,0.15716514426016392,0.3188815431633882,58745.815727001755,20
random_sessions,n/a,0.7,stratified,0.46404900172834207,0.04138692164519467,0.750948909529189,0.747020886426703,0.40356290930100275,0.38382096301543955,0.0020100863837907075,179285.0127424087,20
random_sessions,n/a,0.7,tree,0.7562617023539225,0.10667569297804899,0.8966900814807544,0.23775636223467173,0.1645681415049401,0.16072641606217822,0.12227945591820447,57061.526936321214,20
random_sessions,n/a,0.7,xgboost,0.7822328594309825,0.12167681551865821,0.9189434943379771,0.20809483847409327,0.12685242388397455,0.14354082172138113,0.4175607227513579,49942.76123378238,20
temporal,forward,0.4,hgb,0.4331138712088025,,0.7779148673658236,0.9452054794520548,0.26772706511340505,0.2714384496731268,0.0016466056237414296,226849.31506849316,1
temporal,forward,0.4,logreg,0.40914491488552435,,0.7075879086983343,0.9383561643835616,0.31436830089818457,0.3277033448901747,0.0015088857269683791,225205.4794520548,1
temporal,forward,0.4,majority,0.4784533648170012,,1.0,1.0,0.08262591963780419,0.08262591963780419,0.002,240000.0,1
temporal,forward,0.4,mlp,0.4433957391396074,,0.8192473781616286,0.958904109589041,0.23810793459415436,0.23858171430551114,0.0017092138268741154,230136.98630136985,1
temporal,forward,0.4,rf,0.4976375820754078,,0.8710672424429364,0.8698630136986302,0.16978470801021334,0.24080376570206868,0.0020027632326937166,208767.12328767125,1
temporal,forward,0.4,stratified,0.41152247573135065,,0.5157310302282542,0.4452054794520548,0.4810413129598189,0.47198641765704585,0.0023160886853082815,106849.31506849315,1
temporal,forward,0.4,tree,0.4424832962138085,,0.6107341147439852,0.5684931506849316,0.40407470288624786,0.38822863610639496,0.0021482875150652487,136438.3561643836,1
temporal,forward,0.4,xgboost,0.45314620587049476,,0.8143121529919802,0.9246575342465754,0.2112191766500473,0.22466196737030278,0.0017617475087274926,221917.80821917808,1
temporal,forward,0.5,hgb,0.4605274773780622,,0.8343815513626834,0.9246575342465754,0.2261380472613437,0.22767805208002218,0.0018050888607397304,221917.80821917808,1
temporal,forward,0.5,logreg,0.390117112243639,,0.6359189378057303,0.8972602739726028,0.38012868877919503,0.39255313142628534,0.0014182943683305348,215342.46575342468,1
temporal,forward,0.5,majority,0.4757313829787234,,1.0,1.0,0.09258084971464807,0.09258084971464807,0.002,240000.0,1
temporal,forward,0.5,mlp,0.4613551446949529,,0.8176100628930818,0.9041095890410958,0.24416641891002655,0.24461707806562932,0.0018089987106356925,216986.301369863,1
temporal,forward,0.5,rf,0.5010919704453607,,0.9203354297693921,0.9178082191780822,0.13613591975448713,0.19378052466012474,0.002005496011536718,220273.97260273973,1
temporal,forward,0.5,stratified,0.4214697100785451,,0.5800139762403913,0.6232876712328768,0.43880786303107167,0.424857324032974,0.0018614022152713963,149589.04109589042,1
temporal,forward,0.5,tree,0.487657850025256,,0.6547868623340322,0.4931506849315068,0.3589093214965124,0.3500317057704503,0.0026537848762467806,118356.16438356164,1
