direction,model,level,split_seed,model_seed,domain,n_train,threshold,tp,fp,tn,fn,accuracy,balanced_accuracy,precision,recall,f1,f1_macro,mcc,fpr,fnr,tnr,roc_auc,pr_auc,pr_auc_benign,brier
b_to_a,majority,1,101,11,source_heldout,240000,0.5,36552,23448,0,0,0.6092,0.5,0.6092,1.0,0.7571464081531195,0.37857320407655976,0.0,1.0,0.0,0.0,0.5,0.6092,0.3908,0.3908
b_to_a,majority,1,101,11,target,240000,0.5,1552136,88046,0,0,0.9463193718745847,0.5,0.9463193718745847,1.0,0.9724194143565897,0.48620970717829487,0.0,1.0,0.0,0.0,0.5,0.9463193718745847,0.05368062812541535,0.05368062812541535
b_to_a,stratified,1,101,11,source_heldout,240000,0.5,22206,14146,9302,14346,0.5251333333333333,0.5021128323961511,0.6108604753521126,0.6075180564674983,0.6091846812246242,0.502103806554218,0.004219316995850375,0.6032923916751962,0.39248194353250165,0.39670760832480384,0.502112832396151,0.6102087687587276,0.391812597512291,0.47486666666666666
b_to_a,stratified,1,101,11,target,240000,0.5,942790,53515,34531,609346,0.5958613129518553,0.4998036369497738,0.9462865287236338,0.607414556456393,0.7398954890460482,0.41712620455228944,-0.00018126412361803537,0.6078072825568452,0.392585443543607,0.3921927174431547,0.49980363694977387,0.9462994224666172,0.05366069691200048,0.40413868704814465
b_to_a,logreg,2,101,11,source_heldout,240000,0.5,28113,8364,15084,8439,0.71995,0.7062096220289239,0.7707048276996463,0.7691234405778069,0.7699133221049173,0.7060909779714086,0.4121843385758069,0.35670419651995905,0.23087655942219304,0.6432958034800409,0.8131963860565457,0.8606845407043089,0.7538260920707041,0.15676377244947434
b_to_a,logreg,2,101,11,target,240000,0.5,1197564,23003,65043,354572,0.7697968883940929,0.7551487594540862,0.9811538407969411,0.7715586778478175,0.8638242177398733,0.5600350097821596,0.2635948031348406,0.2612611589396452,0.22844132215218255,0.7387388410603548,0.8283969634977699,0.9808878015285706,0.4276674161343637,0.1726608245054094
b_to_a,tree,2,101,11,source_heldout,240000,0.5,29551,7183,16265,7001,0.7636,0.7510636127989054,0.8044590842271465,0.8084646530969578,0.8064568949048931,0.7514110051439309,0.5028370527454383,0.30633742749914705,0.19153534690304225,0.693662572500853,0.8643134275494393,0.8868673393270752,0.7817251408719907,0.1390191355625265
b_to_a,tree,2,101,11,target,240000,0.5,649731,18483,69563,902405,0.43854523461420747,0.6043400343470711,0.9723396995573275,0.41860442641624185,0.5852509739455491,0.3582500919308223,0.09572313277164067,0.2099243577220998,0.5813955735837582,0.7900756422779002,0.6164674606289651,0.9603981979710101,0.06922856077546341,0.5622321740925975
b_to_a,rf,2,101,11,source_heldout,240000,0.5,31862,9961,13487,4690,0.7558166666666667,0.7234386484458815,0.7618296152834565,0.871689647625301,0.8130653907496013,0.7305447073868127,0.4744911013495894,0.42481235073353807,0.12831035237469907,0.5751876492664619,0.8436943208514592,0.8876226693230678,0.7841285097031732,0.15266489283050796
b_to_a,rf,2,101,11,target,240000,0.5,583629,7039,81007,968507,0.40522088402384615,0.648034908760685,0.9880829840113228,0.376016663488251,0.5447339094009531,0.3435781435608444,0.1390106254985917,0.07994684596688095,0.623983336511749,0.920053154033119,0.8636970362089457,0.9842847337265217,0.5582624303167001,0.339736558281927
