attack,model,eps,f1_macro,f1_drop,recall,recall_drop,fpr,fpr_rise,false_alerts_per_hour,ppv_deploy,n
evasion_constrained,hgb,0.0,0.6160452335425184,0.0,0.8448849952808445,0.0,0.10195845196961639,0.0,24470.028472707934,0.02963810195379472,5
evasion_constrained,hgb,0.01,0.606815382820342,0.009229850722176369,0.8327831649893657,0.012101830291478887,0.10195845196961639,0.0,24470.028472707934,0.029282653069262567,5
evasion_constrained,hgb,0.05,0.611652959476473,0.004392274066045365,0.8392281285753331,0.005656866705511421,0.10195845196961639,0.0,24470.028472707934,0.02943719385367724,5
evasion_constrained,hgb,0.1,0.6039938115161464,0.012051422026372017,0.8301041768132148,0.014780818467629686,0.10195845196961639,0.0,24470.028472707934,0.029307395063566177,5
evasion_constrained,hgb,0.25,0.5682080487846186,0.04783718475789987,0.7841323404842525,0.060752654796592045,0.10195845196961639,0.0,24470.028472707934,0.02870068783755415,5
evasion_constrained,hgb,0.5,0.5540200532284765,0.06202518031404188,0.7668210477919255,0.07806394748891894,0.10195845196961639,0.0,24470.028472707934,0.02864118642584909,5
evasion_constrained,logreg,0.0,0.5932431059675991,0.0,0.8610308119445259,0.0,0.18356098400776238,0.0,44054.63616186297,0.012001829573077811,5
evasion_constrained,logreg,0.01,0.5944642171337529,-0.001221111166153832,0.8624033588892972,-0.0013725469447713357,0.18356098400776238,0.0,44054.63616186297,0.01201506979397415,5
evasion_constrained,logreg,0.05,0.5994773533264594,-0.006234247358860368,0.8700568769923972,-0.009026065047871379,0.18356098400776238,0.0,44054.63616186297,0.012083399552903874,5
evasion_constrained,logreg,0.1,0.5991002154114818,-0.005857109443882802,0.8720438855085124,-0.011013073563986486,0.18356098400776238,0.0,44054.63616186297,0.012082931512360154,5
evasion_constrained,logreg,0.25,0.5885956151359164,0.0046474908316826435,0.860628278950859,0.0004025329936669042,0.18356098400776238,0.0,44054.63616186297,0.011851327369524883,5
evasion_constrained,logreg,0.5,0.5795663340907514,0.013676771876847604,0.8400081526505515,0.02102265929397438,0.18356098400776238,0.0,44054.63616186297,0.011378253870141913,5
evasion_constrained,mlp,0.0,0.700036070449301,0.0,0.9516921643108198,0.0,0.45284118450077393,0.0,108681.88428018575,0.004727885854196758,5
evasion_constrained,mlp,0.01,0.7001473874480453,-0.00011131699874418199,0.951685650926587,6.513384232742503e-06,0.45284118450077393,0.0,108681.88428018575,0.00472783256716578,5
evasion_constrained,mlp,0.05,0.7013227476394504,-0.0012866771901493435,0.9525361011024367,-0.0008439367916169838,0.45284118450077393,0.0,108681.88428018575,0.00473338322142153,5
evasion_constrained,mlp,0.1,0.702321990973572,-0.0022859205242709455,0.9542782059594972,-0.002586041648677351,0.45284118450077393,0.0,108681.88428018575,0.00474500256489827,5
evasion_constrained,mlp,0.25,0.6968104935555285,0.0032255768937725195,0.9532081236109295,-0.0015159593001097926,0.45284118450077393,0.0,108681.88428018575,0.004744076959107173,5
evasion_constrained,mlp,0.5,0.6870023314064625,0.013033739042838555,0.9506392940652308,0.0010528702455889106,0.45284118450077393,0.0,108681.88428018575,0.004736193406266293,5
evasion_constrained,rf,0.0,0.6768009007658111,0.0,0.9049184138133273,0.0,0.3019516192825963,0.0,72468.38862782312,0.00846785641676583,5
evasion_constrained,rf,0.01,0.682741117757657,-0.005940216991845859,0.9055573588514274,-0.0006389450381001583,0.3019516192825963,0.0,72468.38862782312,0.008479497706691628,5
evasion_constrained,rf,0.05,0.687783581832142,-0.010982681066330857,0.9077671557742703,-0.0028487419609429356,0.3019516192825963,0.0,72468.38862782312,0.008500987159401088,5
evasion_constrained,rf,0.1,0.6929834853931773,-0.016182584627366103,0.9112626359194145,-0.006344222106087249,0.3019516192825963,0.0,72468.38862782312,0.008539439546778318,5
evasion_constrained,rf,0.25,0.7097648673414836,-0.03296396657567237,0.9238941085045778,-0.0189756946912504,0.3019516192825963,0.0,72468.38862782312,0.008649038936204017,5
evasion_constrained,rf,0.5,0.7335262179387562,-0.056725317172945044,0.9500714620505792,-0.04515304823725199,0.3019516192825963,0.0,72468.38862782312,0.008789474338186363,5
evasion_constrained,tree,0.0,0.6254424044543221,0.0,0.8630260310026531,0.0,0.20223647745288123,0.0,48536.75458869149,0.013912843990617544,5
evasion_constrained,tree,0.01,0.6010534849861011,0.02438891946822097,0.8319525848989662,0.031073446103686987,0.20223647745288123,0.0,48536.75458869149,0.013585659842473185,5
evasion_constrained,tree,0.05,0.5939481779341497,0.031494226520172405,0.8203130538718136,0.042712977130839394,0.20223647745288123,0.0,48536.75458869149,0.013547902098691823,5
evasion_constrained,tree,0.1,0.5630920864284588,0.06235031802586334,0.7904074958238615,0.07261853517879154,0.20223647745288123,0.0,48536.75458869149,0.013202322801436872,5
evasion_constrained,tree,0.25,0.516380828993271,0.10906157546105115,0.7424655912143068,0.1205604397883463,0.20223647745288123,0.0,48536.75458869149,0.01216607891681659,5
