model,split_seed,tau,tp,fp,fn,tn
stratified,101,0.58,332,129,90,38
stratified,101,0.59,332,129,90,38
stratified,101,0.6,332,129,90,38
stratified,101,0.61,332,129,90,38
stratified,101,0.62,332,129,90,38
stratified,101,0.63,332,129,90,38
stratified,101,0.64,332,129,90,38
stratified,101,0.65,332,129,90,38
stratified,101,0.66,332,129,90,38
stratified,101,0.67,332,129,90,38
stratified,101,0.68,332,129,90,38
stratified,101,0.69,332,129,90,38
stratified,101,0.7,332,129,90,38
stratified,101,0.71,332,129,90,38
stratified,101,0.72,332,129,90,38
stratified,101,0.73,332,129,90,38
stratified,101,0.74,332,129,90,38
stratified,101,0.75,332,129,90,38
stratified,101,0.76,332,129,90,38
stratified,101,0.77,332,129,90,38
stratified,101,0.78,332,129,90,38
stratified,101,0.79,332,129,90,38
stratified,101,0.8,332,129,90,38
stratified,101,0.81,332,129,90,38
stratified,101,0.82,332,129,90,38
stratified,101,0.83,332,129,90,38
stratified,101,0.84,332,129,90,38
stratified,101,0.85,332,129,90,38
stratified,101,0.86,332,129,90,38
stratified,101,0.87,332,129,90,38
stratified,101,0.88,332,129,90,38
stratified,101,0.89,332,129,90,38
stratified,101,0.9,332,129,90,38
stratified,101,0.91,332,129,90,38
stratified,101,0.92,332,129,90,38
stratified,101,0.93,332,129,90,38
stratified,101,0.94,332,129,90,38
stratified,101,0.95,332,129,90,38
stratified,101,0.96,332,129,90,38
stratified,101,0.97,332,129,90,38
stratified,101,0.98,332,129,90,38
stratified,101,0.99,332,129,90,38
stratified,101,0.995,332,129,90,38
stratified,101,0.999,332,129,90,38
stratified,101,0.9995,332,129,90,38
logreg,101,0.01,422,167,0,0
logreg,101,0.02,422,167,0,0
logreg,101,0.03,422,167,0,0
logreg,101,0.04,422,161,0,6
logreg,101,0.05,421,154,1,13
logreg,101,0.06,419,139,3,28
logreg,101,0.07,419,132,3,35
logreg,101,0.08,417,116,5,51
logreg,101,0.09,417,107,5,60
logreg,101,0.1,416,97,6,70
logreg,101,0.11,415,87,7,80
logreg,101,0.12,415,74,7,93
logreg,101,0.13,415,63,7,104
logreg,101,0.14,415,50,7,117
logreg,101,0.15,412,42,10,125
logreg,101,0.16,412,35,10,132
logreg,101,0.17,410,32,12,135
logreg,101,0.18,409,26,13,141
logreg,101,0.19,405,23,17,144
logreg,101,0.2,403,20,19,147
logreg,101,0.21,401,18,21,149
logreg,101,0.22,399,16,23,151
logreg,101,0.23,398,15,24,152
logreg,101,0.24,397,13,25,154
logreg,101,0.25,397,12,25,155
logreg,101,0.26,397,12,25,155
logreg,101,0.27,396,10,26,157
logreg,101,0.28,394,10,28,157
logreg,101,0.29,392,10,30,157
logreg,101,0.3,388,9,34,158
logreg,101,0.31,388,8,34,159
logreg,101,0.32,388,8,34,159
logreg,101,0.33,387,8,35,159
logreg,101,0.34,386,7,36,160
logreg,101,0.35,385,6,37,161
logreg,101,0.36,383,6,39,161
logreg,101,0.37,381,6,41,161
logreg,101,0.38,381,5,41,162
logreg,101,0.39,379,5,43,162
logreg,101,0.4,379,4,43,163
logreg,101,0.41,378,4,44,163
logreg,101,0.42,376,4,46,163
logreg,101,0.43,372,4,50,163
logreg,101,0.44,371,4,51,163
logreg,101,0.45,370,3,52,164
logreg,101,0.46,369,3,53,164
logreg,101,0.47,369,3,53,164
logreg,101,0.48,365,3,57,164
logreg,101,0.49,364,3,58,164
logreg,101,0.5,363,3,59,164
logreg,101,0.51,356,3,66,164
logreg,101,0.52,353,3,69,164
logreg,101,0.53,353,3,69,164
logreg,101,0.54,350,2,72,165
logreg,101,0.55,350,2,72,165
