protocol,direction,train_frac,rep,n_train_sessions,n_test_sessions,test_categories,unseen_test_categories,n_unseen_attack_categories,benign_test_sessions,n_benign_train_sessions
random_sessions,n/a,0.6,0,18,12,"benign,bruteforce,ddos,dos,web",,0,"1,2,5,29",6
random_sessions,n/a,0.6,1,18,12,"benign,bruteforce,ddos,dos,probe,web",,0,"3,6,29",7
random_sessions,n/a,0.6,2,18,12,"benign,bruteforce,ddos,dos,probe,web",,0,"1,4,29",7
random_sessions,n/a,0.6,3,18,12,"benign,bruteforce,ddos,dos,probe,web",,0,"1,3",8
random_sessions,n/a,0.6,4,18,12,"benign,bruteforce,ddos,dos,probe,web",,0,"0,1,2",7
random_sessions,n/a,0.6,5,18,12,"benign,bruteforce,dos,web",,0,"0,2,5,6,29",5
random_sessions,n/a,0.6,6,18,12,"benign,bruteforce,ddos,dos,probe,web",,0,"0,5,29",7
random_sessions,n/a,0.6,7,18,12,"benign,bruteforce,ddos,dos,probe,web",,0,"0,1,3,7,8",5
random_sessions,n/a,0.6,8,18,12,"benign,ddos,dos,probe,web",,0,"2,3,4",7
random_sessions,n/a,0.6,9,18,12,"benign,bruteforce,ddos,dos,probe,web",,0,"1,2,4,5",6
random_sessions,n/a,0.6,10,18,12,"benign,bruteforce,ddos,dos,probe,web",,0,"0,2,5",7
random_sessions,n/a,0.6,11,18,12,"benign,bruteforce,ddos,dos,probe,web",,0,"0,1,2,7,8,29",4
random_sessions,n/a,0.6,12,18,12,"benign,bruteforce,ddos,dos,probe,web",,0,"0,7,8,29",6
random_sessions,n/a,0.6,13,18,12,"benign,ddos,dos,web",,0,"0,1,4,5,6,7",4
random_sessions,n/a,0.6,14,18,12,"benign,bruteforce,dos,probe,web",,0,"0,2,3,5,6,8",4
random_sessions,n/a,0.6,15,18,12,"benign,bruteforce,ddos,dos,probe,web",,0,"0,1,4,8",6
random_sessions,n/a,0.6,16,18,12,"benign,bruteforce,ddos,dos,probe,web",,0,"3,6",8
random_sessions,n/a,0.6,17,18,12,"benign,ddos,dos,probe,web",,0,"0,4,5,8",6
random_sessions,n/a,0.6,18,18,12,"benign,bruteforce,ddos,dos,probe,web",,0,"0,2,4,8,29",5
random_sessions,n/a,0.6,19,18,12,"benign,ddos,dos,probe,web",,0,"2,3,6,8",6
temporal,forward,0.7,0,21,9,"benign,ddos,dos,web",ddos,1,29,9
temporal,reverse,0.7,0,9,21,"benign,bruteforce,dos,probe,web","bruteforce,probe",2,"0,1,2,3,4,5,6,7,8",1
random_sessions,n/a,0.7,0,21,9,"benign,bruteforce,ddos,dos,web",,0,"1,2,5",7
random_sessions,n/a,0.7,1,21,9,"benign,bruteforce,ddos,dos,probe,web",,0,"3,6",8
random_sessions,n/a,0.7,2,21,9,"benign,bruteforce,ddos,dos,probe,web",,0,"4,29",8
random_sessions,n/a,0.7,3,21,9,"benign,bruteforce,ddos,dos,probe,web",,0,1,9
random_sessions,n/a,0.7,4,21,9,"benign,bruteforce,ddos,dos,probe,web",,0,0,9
random_sessions,n/a,0.7,5,21,9,"benign,bruteforce,dos,web",,0,"2,5,6,29",6
random_sessions,n/a,0.7,6,21,9,"benign,bruteforce,ddos,probe,web",,0,"0,5",8
random_sessions,n/a,0.7,7,21,9,"benign,bruteforce,dos,probe,web",,0,"0,1,3,7,8",5
random_sessions,n/a,0.7,8,21,9,"benign,ddos,dos,probe,web",,0,"2,3",8
random_sessions,n/a,0.7,9,21,9,"benign,bruteforce,ddos,dos,probe,web",,0,"2,4",8
random_sessions,n/a,0.7,10,21,9,"benign,bruteforce,dos,probe,web",,0,"0,2,5",7
random_sessions,n/a,0.7,11,21,9,"benign,bruteforce,probe,web",,0,"0,1,2,7,29",5
random_sessions,n/a,0.7,12,21,9,"benign,ddos,dos,probe",,0,"0,7,8",7
random_sessions,n/a,0.7,13,21,9,"benign,ddos,dos",,0,"0,1,5,6,7",5
random_sessions,n/a,0.7,14,21,9,"benign,bruteforce,dos,probe,web",,0,"0,2,6,8",6
random_sessions,n/a,0.7,15,21,9,"benign,bruteforce,ddos,dos,web",,0,"1,4,8",7
random_sessions,n/a,0.7,16,21,9,"benign,bruteforce,ddos,dos,probe,web",,0,3,9
random_sessions,n/a,0.7,17,21,9,"benign,ddos,probe,web",,0,"0,4,5,8",6
random_sessions,n/a,0.7,18,21,9,"benign,bruteforce,dos,probe,web",,0,"0,2,4,8,29",5
random_sessions,n/a,0.7,19,21,9,"benign,ddos,dos,probe,web",,0,"2,3,6",7
