protocol,direction,rep,model,model_seed,test_sessions,n_train,n_test,train_prevalence,test_prevalence,n_unseen_test_categories,balanced_accuracy,roc_auc,f1_macro,recall,fpr,false_alerts_per_benign_ue_hour,det_benign,det_bruteforce,det_ddos,det_dos,det_probe,det_web
time_stratified,forward,0,logreg,11,"11,14,21,22,28,29",2309,499,0.7769597228237333,0.7074148296593187,0,0.5732275214404905,0.5602856144980403,0.5644476289734236,0.9546742209631728,0.8082191780821918,181.84931506849315,0.1917808219178082,1.0,0.9230769230769231,0.9801980198019802,0.8936170212765957,1.0
time_stratified,forward,0,logreg,12,"11,14,21,22,28,29",2309,499,0.7769597228237333,0.7074148296593187,0,0.5732275214404905,0.5602856144980403,0.5644476289734236,0.9546742209631728,0.8082191780821918,181.84931506849315,0.1917808219178082,1.0,0.9230769230769231,0.9801980198019802,0.8936170212765957,1.0
time_stratified,forward,0,logreg,13,"11,14,21,22,28,29",2309,499,0.7769597228237333,0.7074148296593187,0,0.5732275214404905,0.5602856144980403,0.5644476289734236,0.9546742209631728,0.8082191780821918,181.84931506849315,0.1917808219178082,1.0,0.9230769230769231,0.9801980198019802,0.8936170212765957,1.0
time_stratified,forward,0,logreg,14,"11,14,21,22,28,29",2309,499,0.7769597228237333,0.7074148296593187,0,0.5732275214404905,0.5602856144980403,0.5644476289734236,0.9546742209631728,0.8082191780821918,181.84931506849315,0.1917808219178082,1.0,0.9230769230769231,0.9801980198019802,0.8936170212765957,1.0
time_stratified,forward,0,logreg,15,"11,14,21,22,28,29",2309,499,0.7769597228237333,0.7074148296593187,0,0.5732275214404905,0.5602856144980403,0.5644476289734236,0.9546742209631728,0.8082191780821918,181.84931506849315,0.1917808219178082,1.0,0.9230769230769231,0.9801980198019802,0.8936170212765957,1.0
time_stratified,forward,0,tree,11,"11,14,21,22,28,29",2309,499,0.7769597228237333,0.7074148296593187,0,0.524350964336994,0.5243509643369941,0.5070874697486047,0.8980169971671388,0.8493150684931506,191.0958904109589,0.15068493150684936,1.0,0.6153846153846154,0.9504950495049505,0.8936170212765957,0.9824561403508771
time_stratified,forward,0,tree,12,"11,14,21,22,28,29",2309,499,0.7769597228237333,0.7074148296593187,0,0.5180934456129458,0.5180934456129458,0.4996647494848214,0.8923512747875354,0.8561643835616438,192.63698630136986,0.14383561643835618,1.0,0.6153846153846154,0.9504950495049505,0.8936170212765957,0.9473684210526315
time_stratified,forward,0,tree,13,"11,14,21,22,28,29",2309,499,0.7769597228237333,0.7074148296593187,0,0.525767394931895,0.525767394931895,0.5083743842364532,0.9008498583569405,0.8493150684931506,191.0958904109589,0.15068493150684936,1.0,0.6153846153846154,0.9603960396039604,0.8936170212765957,0.9824561403508771
time_stratified,forward,0,tree,14,"11,14,21,22,28,29",2309,499,0.7769597228237333,0.7074148296593187,0,0.5180934456129458,0.5180934456129458,0.4996647494848214,0.8923512747875354,0.8561643835616438,192.63698630136986,0.14383561643835618,1.0,0.6153846153846154,0.9603960396039604,0.8936170212765957,0.9298245614035088
time_stratified,forward,0,tree,15,"11,14,21,22,28,29",2309,499,0.7769597228237333,0.7074148296593187,0,0.5195098762078466,0.5195098762078467,0.5009260631204623,0.8951841359773371,0.8561643835616438,192.63698630136986,0.14383561643835618,1.0,0.6153846153846154,0.9504950495049505,0.8936170212765957,0.9649122807017544
time_stratified,forward,0,rf,11,"11,14,21,22,28,29",2309,499,0.7769597228237333,0.7074148296593187,0,0.5620027940548721,0.6543812332647755,0.540592567793773,0.9801699716713881,0.8561643835616438,192.63698630136986,0.14383561643835618,1.0,0.9423076923076923,1.0,0.9574468085106383,1.0
time_stratified,forward,0,rf,12,"11,14,21,22,28,29",2309,499,0.7769597228237333,0.7074148296593187,0,0.5668438821840196,0.6443498001474641,0.5475532864635644,0.9830028328611898,0.8493150684931506,191.0958904109589,0.15068493150684936,1.0,0.9615384615384616,1.0,0.9574468085106383,1.0
time_stratified,forward,0,rf,13,"11,14,21,22,28,29",2309,499,0.7769597228237333,0.7074148296593187,0,0.5620027940548721,0.6700104777057706,0.540592567793773,0.9801699716713881,0.8561643835616438,192.63698630136986,0.14383561643835618,1.0,0.9423076923076923,1.0,0.9574468085106383,1.0
time_stratified,forward,0,rf,14,"11,14,21,22,28,29",2309,499,0.7769597228237333,0.7074148296593187,0,0.5585781365206255,0.6723582599247158,0.5350008758101243,0.9801699716713881,0.863013698630137,194.17808219178082,0.136986301369863,1.0,0.9230769230769231,1.0,0.9680851063829787,1.0
time_stratified,forward,0,rf,15,"11,14,21,22,28,29",2309,499,0.7769597228237333,0.7074148296593187,0,0.5585781365206255,0.6622395125926501,0.5350008758101243,0.9801699716713881,0.863013698630137,194.17808219178082,0.136986301369863,1.0,0.9423076923076923,1.0,0.9574468085106383,1.0
time_stratified,forward,0,xgboost,11,"11,14,21,22,28,29",2309,499,0.7769597228237333,0.7074148296593187,0,0.5637781830882067,0.4781423415732082,0.548325455094036,0.9631728045325779,0.8356164383561644,188.013698630137,0.1643835616438356,1.0,0.8269230769230769,1.0,0.9574468085106383,1.0
time_stratified,forward,0,xgboost,12,"11,14,21,22,28,29",2309,499,0.7769597228237333,0.7074148296593187,0,0.5666110442780085,0.444167410454422,0.5512013362456636,0.9688385269121813,0.8356164383561644,188.013698630137,0.1643835616438356,1.0,0.8653846153846154,1.0,0.9574468085106383,1.0
time_stratified,forward,0,xgboost,13,"11,14,21,22,28,29",2309,499,0.7769597228237333,0.7074148296593187,0,0.5694439054678102,0.48140207225736353,0.5541026323149228,0.9745042492917847,0.8356164383561644,188.013698630137,0.1643835616438356,1.0,0.8846153846153846,1.0,0.9680851063829787,1.0
