model,source_f1,target_f1,target_above_floor,brier_target,delta_f1,ppv_deploy_target,false_alerts_per_hour,p99_latency_ms,worst_case_f1_drop,drift_delta,cpu_under_load,ram_under_load,integration_complexity,pareto_efficient,wins_on,n_wins
logreg,0.62585111071249,0.529686892829439,0.10568866250552245,0.3898254005319373,0.096164217883051,0.0231821656458094,5620.208650802954,2.9367603333333325,0.2403939254837745,-0.18020144236057464,,,,True,ppv_deploy_target;false_alerts_per_hour,2
tree,0.6193467130816102,0.5182320479490825,0.09423381762516592,0.4195638106962022,0.1011146651325277,0.0022342099453793,133989.5088500762,1.887498,0.1624132947917846,-0.32342098466969993,,,,True,p99_latency_ms,1
rf,0.7008916059796942,0.5715713158997412,0.1475730855758246,0.2709236218268247,0.1293202900799532,0.0025964690072234,129843.15186630274,173.23366699999985,0.1749265842883726,-0.32559276809084076,,,,True,target_f1;target_above_floor;brier_target,3
xgboost,0.6460834124538932,0.5324471379374055,0.10844890761348891,0.325409933924675,0.1136362745164877,0.0025746675748326,102889.79687526166,3.28772,0.1820076578997277,-0.3190825244697763,,,,True,-,0
hgb,0.6473952666135607,0.5366296183370594,0.11263138801314276,0.3254032628037395,0.1107656482765013,0.0025724360052257,111104.09096237252,64.90283999999998,0.1081042317588897,-0.2931096557728763,,,,True,worst_case_f1_drop,1
mlp,0.7225704833522921,0.4223229245778752,-0.0016753057460414111,0.3374302953481674,0.300247558774417,0.0019844717541396,212382.58787280004,3.526844333333333,0.2687546901465126,-0.17133138137761214,,,,True,source_f1;drift_delta,2
