axis_x,axis_y,model,x,y,efficient
target_f1,false_alerts_per_hour,logreg,0.529686892829439,5620.208650802954,True
target_f1,false_alerts_per_hour,tree,0.5182320479490825,133989.5088500762,False
target_f1,false_alerts_per_hour,rf,0.5715713158997412,129843.15186630274,True
target_f1,false_alerts_per_hour,xgboost,0.5324471379374055,102889.79687526166,True
target_f1,false_alerts_per_hour,hgb,0.5366296183370594,111104.09096237252,True
target_f1,false_alerts_per_hour,mlp,0.4223229245778752,212382.58787280004,False
target_above_floor,ppv_deploy_target,logreg,0.10568866250552245,0.0231821656458094,True
target_above_floor,ppv_deploy_target,tree,0.09423381762516592,0.0022342099453793,False
target_above_floor,ppv_deploy_target,rf,0.1475730855758246,0.0025964690072234,True
target_above_floor,ppv_deploy_target,xgboost,0.10844890761348891,0.0025746675748326,False
target_above_floor,ppv_deploy_target,hgb,0.11263138801314276,0.0025724360052257,False
target_above_floor,ppv_deploy_target,mlp,-0.0016753057460414111,0.0019844717541396,False
source_f1,target_f1,logreg,0.62585111071249,0.529686892829439,False
source_f1,target_f1,tree,0.6193467130816102,0.5182320479490825,False
source_f1,target_f1,rf,0.7008916059796942,0.5715713158997412,True
source_f1,target_f1,xgboost,0.6460834124538932,0.5324471379374055,False
source_f1,target_f1,hgb,0.6473952666135607,0.5366296183370594,False
source_f1,target_f1,mlp,0.7225704833522921,0.4223229245778752,True
target_f1,p99_latency_ms,logreg,0.529686892829439,2.9367603333333325,True
target_f1,p99_latency_ms,tree,0.5182320479490825,1.887498,True
target_f1,p99_latency_ms,rf,0.5715713158997412,173.23366699999985,True
target_f1,p99_latency_ms,xgboost,0.5324471379374055,3.28772,True
target_f1,p99_latency_ms,hgb,0.5366296183370594,64.90283999999998,True
target_f1,p99_latency_ms,mlp,0.4223229245778752,3.526844333333333,False
target_f1,worst_case_f1_drop,logreg,0.529686892829439,0.3348242938713475,True
target_f1,worst_case_f1_drop,tree,0.5182320479490825,0.3968863475427396,False
