seed,model,calibrator,domain,oracle,brier,ece,f1_macro,recall,fpr,precision,pr_auc,roc_auc,ppv_deploy,alerts_per_hour,mean_score
101,logreg,raw,source_test,False,0.06677246534249939,0.1261704274239111,0.7503516500502357,0.935231209519506,0.228643216080402,0.9855555555555555,0.9913953565681313,0.9008408134966139,0.008130451852396232,55324.18246106939,0.8172713801645499
101,logreg,raw,target,False,0.26480449279141255,0.27968468347590997,0.5407398876783108,0.29524773319352493,0.032834033859704945,0.9328579255555937,0.767454122048261,0.6762761007842566,0.01770130766195876,8022.171044097616,0.37835581296791293
101,logreg,platt,source_test,False,0.040986915853083505,0.04068636841852329,0.48544896168470314,1.0,1.0,0.943441807588461,0.9913953565681313,0.9008408134966139,0.002,240480.9619238477,0.9663110904421819
101,logreg,platt,target,False,0.3038941333927055,0.2993281450647361,0.37775697758799454,1.0,1.0,0.6070891339587742,0.7674541467545858,0.6762761007644065,0.002,240480.9619238477,0.8933903701635323
101,logreg,platt+prior_ORACLE,target,True,0.22687950379740507,0.22913089536911327,0.5435077924225099,0.29939592469311915,0.033830400053586084,0.9318524890159469,0.7674541467545858,0.6762761007644065,0.0174262272421356,8263.294052793222,0.4665535272859333
101,logreg,isotonic,source_test,False,0.048189977802125805,0.07675612563181676,0.48544896168470314,1.0,1.0,0.943441807588461,0.9892883882055751,0.8991578240653486,0.002,240480.9619238477,0.9255898073369796
101,logreg,isotonic,target,False,0.28212819929407695,0.30205318335709,0.37775697758799454,1.0,1.0,0.6070891339587742,0.7132444708684931,0.6413234036407092,0.002,240480.9619238477,0.8391021773890159
101,logreg,isotonic+prior_ORACLE,target,True,0.2981596518087473,0.38227765738334035,0.4245475306123157,0.14739762623737898,0.018905839208265652,0.9233497971722933,0.7132444708684931,0.6413234036407092,0.015383707078201561,4608.29405586947,0.357101895326996
101,logreg,temperature,source_test,False,0.06529735818392704,0.11245379158117877,0.7503516500502357,0.935231209519506,0.228643216080402,0.9855555555555555,0.9913953565681313,0.9008408134966139,0.008130451852396232,55324.18246106939,0.8310146055221413
101,logreg,temperature,target,False,0.27441436944181863,0.29050275574146833,0.5407398876783108,0.29524773319352493,0.032834033859704945,0.9328579255555937,0.7674541468096411,0.6762761008324641,0.01770130766195876,8022.171044097616,0.36313625229787794
101,tree,raw,source_test,False,0.1989457665754938,0.20117099307755948,0.5885984183567601,0.7953004970628107,0.22738693467336685,0.9831486826180058,0.9800268109315,0.813316989753709,0.006960361329479293,54955.3735787124,0.7679920025171543
101,tree,raw,target,False,0.43735882354821604,0.4399989131493626,0.39703585152097354,0.8768778288512002,0.9444253730093608,0.5892543715906691,0.5908307625502537,0.4654735817185339,0.0018572209189355207,227083.83436979025,0.9091612486746194
101,tree,platt,source_test,False,0.061332803844717176,0.07745430668276564,0.48544896168470314,1.0,1.0,0.943441807588461,0.9800268008438968,0.8133168951399564,0.002,240480.9619238477,0.8974838096794918
