seed,model,calibrator,domain,tau,recall,fpr,ppv_deploy,alerts_per_hour
101,logreg,raw,source_test,0.05,0.9917909323693327,0.5540201005025126,0.003574693535157348,133441.83779549008
101,logreg,raw,source_test,0.1,0.9868203042626902,0.48115577889447236,0.004093270934502765,115952.00992670353
101,logreg,raw,source_test,0.15000000000000002,0.9824521765326103,0.4221105527638191,0.0046426260301177195,101779.05475223006
101,logreg,raw,source_test,0.2,0.9697996686247929,0.30778894472361806,0.006274726554737822,74335.78344803698
101,logreg,raw,source_test,0.25,0.9667871667419792,0.2876884422110553,0.006689489058781659,69510.21394632074
101,logreg,raw,source_test,0.3,0.9555655972284983,0.2613065326633166,0.007275094025151484,63173.158507201675
101,logreg,raw,source_test,0.35000000000000003,0.9470552794095496,0.2537688442211055,0.007423360163817302,61360.02014224026
101,logreg,raw,source_test,0.4,0.9451724657327911,0.24623115577889448,0.0076337772972377115,59550.06935442139
101,logreg,raw,source_test,0.45,0.9367374604609128,0.23618090452261306,0.00788559226651611,57133.95213655062
101,logreg,raw,source_test,0.5,0.935231209519506,0.228643216080402,0.008130451852396232,55324.18246106939
101,logreg,raw,source_test,0.55,0.9305618316011447,0.228643216080402,0.008090186926596505,55321.9366680826
101,logreg,raw,source_test,0.6000000000000001,0.9112818195511372,0.21482412060301506,0.008429324871027244,51996.08080182236
101,logreg,raw,source_test,0.6500000000000001,0.900436812773008,0.21105527638190955,0.008477330799568538,51086.34215343288
101,logreg,raw,source_test,0.7000000000000001,0.8678264798915499,0.20979899497487436,0.008221360628897266,50769.15028730446
101,logreg,raw,source_test,0.7500000000000001,0.8611236632022895,0.20728643216080403,0.00825645246784558,50162.91141231752
101,logreg,raw,source_test,0.8,0.812547070341919,0.19974874371859297,0.008086077743442837,48330.50269463077
101,logreg,raw,source_test,0.8500000000000001,0.5834463021539389,0.11809045226130653,0.009804076564814445,28622.32399865935
101,logreg,raw,source_test,0.9000000000000001,0.5661244163277602,0.05402010050251256,0.020569770980244605,13237.108409017168
101,logreg,raw,source_test,0.9500000000000001,0.4953306220816388,0.038944723618090454,0.02485508017621236,9584.96883727877
101,logreg,raw,source_test,0.95,0.4953306220816388,0.038944723618090454,0.02485508017621236,9584.96883727877
101,logreg,raw,source_test,0.99,0.014158758849224282,0.001256281407035176,0.022087059452103725,308.3173615838607
101,logreg,raw,source_test,0.995,0.010920319325199579,0.0,1.0,5.252257791679156
101,logreg,raw,source_test,0.999,0.001882813676758548,0.0,1.0,0.9055616882205441
101,logreg,raw,target,0.05,0.9996071275196334,0.9497693286668788,0.0021047262791642684,228425.41184719463
101,logreg,raw,target,0.1,0.9955442841795671,0.875018838856607,0.0022748541223956884,210483.34021978028
101,logreg,raw,target,0.15000000000000002,0.9831295137999846,0.8645067568699031,0.00227380475861036,207954.46951112544
101,logreg,raw,target,0.2,0.965072281762724,0.861339735753638,0.0022403236428960647,207185.69960216183
101,logreg,raw,target,0.25,0.6623044274019072,0.5657224910829413,0.002340647132138071,136091.94107148197
101,logreg,raw,target,0.3,0.6180317630626713,0.3315889947586115,0.0037212684520774968,79878.60848782837
101,logreg,raw,target,0.35000000000000003,0.3033571630813666,0.03438928613292697,0.01737081546676387,8399.331916671066
101,logreg,raw,target,0.4,0.3005528664111641,0.033872264179379406,0.017471146828931354,8273.89788789811
101,logreg,raw,target,0.45,0.2971118453762296,0.033336403369224846,0.017547380506977437,8143.636293364054
101,logreg,raw,target,0.5,0.29524773319352493,0.032834033859704945,0.01770130766195876,8022.171044097616
101,logreg,raw,target,0.55,0.29512309778596035,0.032329571143895376,0.017965099788275898,7901.040047417918
101,logreg,raw,target,0.6000000000000001,0.29475461049403034,0.03045196510206474,0.019028352722780688,7450.237369021724
101,logreg,raw,target,0.6500000000000001,0.2449194137258807,0.025145687157760773,0.019145371731050458,6152.761830275836
101,logreg,raw,target,0.7000000000000001,0.2295147482974397,0.023644858248070062,0.019081230690116035,5785.153834429371
101,logreg,raw,target,0.7500000000000001,0.1980510815508438,0.02301480315488052,0.01695288979875917,5618.8077863741355
101,logreg,raw,target,0.8,0.17576572878522476,0.020643200428688648,0.016776785365221283,5038.9047259483095
101,logreg,raw,target,0.8500000000000001,0.15591212119980546,0.01943332719326155,0.01582359363323083,4738.986320146206
101,logreg,raw,target,0.9000000000000001,0.1453641724683094,0.018085302342716478,0.015852266245292675,4410.387194300841
101,logreg,raw,target,0.9500000000000001,0.13546785016114546,0.014746638310698796,0.01807674412244501,3604.348072400727
101,logreg,raw,target,0.95,0.13546785016114546,0.014746638310698796,0.01807674412244501,3604.348072400727
101,logreg,raw,target,0.99,1.8966257672867277e-05,1.8838856606996332e-05,0.0020134981168674015,4.530447633457653
101,logreg,raw,target,0.995,1.4902059600110004e-05,1.2559237737997555e-05,0.0023721984204058085,3.021384380373975
101,logreg,raw,target,0.999,0.0,4.186412579332518e-06,0.0,1.0047390190398044
101,logreg,platt,source_test,0.05,1.0,1.0,0.002,240480.9619238477
101,logreg,platt,source_test,0.1,1.0,1.0,0.002,240480.9619238477
101,logreg,platt,source_test,0.15000000000000002,1.0,1.0,0.002,240480.9619238477
101,logreg,platt,source_test,0.2,1.0,1.0,0.002,240480.9619238477
101,logreg,platt,source_test,0.25,1.0,1.0,0.002,240480.9619238477
101,logreg,platt,source_test,0.3,1.0,1.0,0.002,240480.9619238477
101,logreg,platt,source_test,0.35000000000000003,1.0,1.0,0.002,240480.9619238477
101,logreg,platt,source_test,0.4,1.0,1.0,0.002,240480.9619238477
101,logreg,platt,source_test,0.45,1.0,1.0,0.002,240480.9619238477
101,logreg,platt,source_test,0.5,1.0,1.0,0.002,240480.9619238477
101,logreg,platt,source_test,0.55,1.0,1.0,0.002,240480.9619238477
101,logreg,platt,source_test,0.6000000000000001,1.0,1.0,0.002,240480.9619238477
101,logreg,platt,source_test,0.6500000000000001,1.0,1.0,0.002,240480.9619238477
101,logreg,platt,source_test,0.7000000000000001,1.0,1.0,0.002,240480.9619238477
101,logreg,platt,source_test,0.7500000000000001,0.9951799969874981,0.5829145728643216,0.0034096739130826596,140378.14117336302
101,logreg,platt,source_test,0.8,0.9862931164331977,0.47613065326633164,0.004134092400560686,114745.72621867704
101,logreg,platt,source_test,0.8500000000000001,0.9690465431540894,0.3027638190954774,0.0063732855266167695,73129.39107260792
101,logreg,platt,source_test,0.9000000000000001,0.9478084048802531,0.2550251256281407,0.007392892993637956,61661.889904603995
101,logreg,platt,source_test,0.9500000000000001,0.930411206507004,0.228643216080402,0.008088888003593815,55321.864223147546
101,logreg,platt,source_test,0.95,0.930411206507004,0.228643216080402,0.008088888003593815,55321.864223147546
101,logreg,platt,source_test,0.99,0.0,0.0,,0.0
