feature_set,protocol,split,model,n_train,n_test,test_prevalence,threshold,tp,fp,tn,fn,accuracy,balanced_accuracy,precision,recall,f1,f1_macro,mcc,fpr,fnr,tnr,roc_auc,pr_auc,pr_auc_benign,brier,det_background,det_benign,det_icmp_flood,det_pfcp_deletion,det_syn_flood
shared18,random,seed101,majority,27597,11828,0.021305377071356105,0.5,0,0,11576,252,0.9786946229286438,0.5,0.0,0.0,0.0,0.4946163049051444,0.0,0.0,1.0,1.0,0.5,0.021305377071356105,0.9786946229286438,0.021305377071356105,1.0,1.0,0.0,0.0,0.0
shared18,random,seed101,stratified,27597,11828,0.021305377071356105,0.5,5,218,11358,247,0.9606865065945215,0.5005046017485547,0.02242152466367713,0.01984126984126984,0.021052631578947368,0.5004965500330353,0.0010714780343719743,0.01883206634416033,0.9801587301587301,0.9811679336558397,0.5005046017485547,0.021327522856918028,0.9787156667541138,0.039313493405478524,0.9806129722024234,0.9820214865161149,0.0,0.04,0.022222222222222223
shared18,random,seed101,logreg,27597,11828,0.021305377071356105,0.5,250,224,11352,2,0.9808927967534663,0.98635655598337,0.5274261603375527,0.9920634920634921,0.6887052341597796,0.8394245752133394,0.7161445377493316,0.019350380096751902,0.007936507936507936,0.9806496199032481,0.9887405592852208,0.6104744001553827,0.9995011358479844,0.017465881636674514,0.9726300784034212,0.992983994737996,1.0,0.92,1.0
shared18,random,seed101,tree,27597,11828,0.021305377071356105,0.5,252,189,11387,0,0.9840209671964829,0.9918365583966828,0.5714285714285714,1.0,0.7272727272727273,0.8595210476933248,0.7497325682414518,0.016326883206634415,0.0,0.9836731167933656,0.9946968824387622,0.7286168154352621,0.9997907904820741,0.015128718344946258,0.97320028510335,0.9997807498355624,1.0,1.0,1.0
shared18,random,seed101,rf,27597,11828,0.021305377071356105,0.5,251,187,11389,1,0.9841055123435914,0.9899388170379877,0.5730593607305936,0.996031746031746,0.7275362318840579,0.8596751088881232,0.7492943486606303,0.01615411195577056,0.003968253968253968,0.9838458880442295,0.9944067021533332,0.7145524327352165,0.9997849196892881,0.015008631012341055,0.9734853884533143,0.9997807498355624,1.0,0.96,1.0
shared18,random,seed101,xgboost,27597,11828,0.021305377071356105,0.5,251,189,11387,1,0.9839364220493744,0.9898524314125559,0.5704545454545454,0.996031746031746,0.7254335260115607,0.8585798530597779,0.7475232856720911,0.016326883206634415,0.003968253968253968,0.9836731167933656,0.9947306482487029,0.7286794154625073,0.9997918082330961,0.0150443185120821,0.97320028510335,0.9997807498355624,1.0,0.96,1.0
shared18,random,seed101,hgb,27597,11828,0.021305377071356105,0.5,251,187,11389,1,0.9841055123435914,0.9899388170379877,0.5730593607305936,0.996031746031746,0.7275362318840579,0.8596751088881232,0.7492943486606303,0.01615411195577056,0.003968253968253968,0.9838458880442295,0.9947491594541527,0.7312708659569769,0.999792170284165,0.01500754527202162,0.9734853884533143,0.9997807498355624,1.0,0.96,1.0
shared18,random,seed101,mlp,27597,11828,0.021305377071356105,0.5,250,188,11388,2,0.9839364220493744,0.9879114972411448,0.5707762557077626,0.9920634920634921,0.7246376811594203,0.8581822908975714,0.7461938405688526,0.01624049758120249,0.007936507936507936,0.9837595024187975,0.9933448788407323,0.6778277086495,0.999762681729033,0.01523433905094862,0.97320028510335,1.0,1.0,0.92,1.0
shared18,random,seed102,majority,27597,11828,0.021305377071356105,0.5,0,0,11576,252,0.9786946229286438,0.5,0.0,0.0,0.0,0.4946163049051444,0.0,0.0,1.0,1.0,0.5,0.021305377071356105,0.9786946229286438,0.021305377071356105,1.0,1.0,0.0,0.0,0.0
shared18,random,seed102,stratified,27597,11828,0.021305377071356105,0.5,4,219,11357,248,0.9605174163003044,0.4984772819517118,0.017937219730941704,0.015873015873015872,0.016842105263157894,0.49834814809769346,-0.0032333596662230367,0.01891845196959226,0.9841269841269841,0.9810815480304077,0.49847728195171176,0.021251914256428896,0.9786311253452822,0.039482583699695636,0.9810271041369473,0.9811651335961454,0.021739130434782608,0.038461538461538464,0.011111111111111112
