model,split_seed,domain,n_train,n_eval,train_prevalence,threshold,tp,fp,tn,fn,accuracy,balanced_accuracy,precision,recall,f1,f1_macro,mcc,fpr,fnr,tnr,roc_auc,pr_auc,pr_auc_benign,brier
logreg,116,source_heldout,211234,88766,0.9235776437505326,0.5,82656,10,13,6087,0.931313791316495,0.7483130328956749,0.9998790312825103,0.9314086744870018,0.9644301057704088,0.48433819513573517,0.03159599975707184,0.43478260869565216,0.06859132551299821,0.5652173913043478,0.687314467913942,0.9995870563872477,0.03500162395472281,0.05651410103412187
logreg,116,target,211234,1215889,0.9235776437505326,0.5,217306,15347,462389,520847,0.5590107320651803,0.631133552602678,0.9340348072021423,0.29439154213286406,0.447681617130508,0.5403348960631664,0.32563253308182877,0.03212443692750808,0.705608457867136,0.9678755630724919,0.672135538319219,0.7669913143391904,0.5197943822418383,0.3771774210536576
tree,116,source_heldout,211234,88766,0.9235776437505326,0.5,70455,5,18,18288,0.7939188428001712,0.7882652348819674,0.999929037751916,0.7939217741117609,0.8850963863746286,0.44353024349011316,0.022934284068041478,0.21739130434782608,0.20607822588823907,0.782608695652174,0.8153468565065022,0.999944308710955,0.0017164760439737727,0.19672871506576367
tree,116,target,211234,1215889,0.9235776437505326,0.5,305707,271384,206352,432446,0.42113959415703245,0.4230442855140073,0.5297379442756862,0.41415126674280267,0.4648673554108591,0.4172484706270961,-0.15053383465661885,0.5680626957147881,0.5858487332571973,0.43193730428521193,0.43057205867822007,0.5667890002293177,0.37049599417194523,0.5566280373549378
rf,116,source_heldout,211234,88766,0.9235776437505326,0.5,71443,17,6,17300,0.8049140436653673,0.5329623059063079,0.9997621046739434,0.8050550465952244,0.8919058943964845,0.44629918760449766,0.0026782350951235685,0.7391304347826086,0.19494495340477558,0.2608695652173913,0.792909079417899,0.9999384829132147,0.017653563505498966,0.08725614778613804
rf,116,target,211234,1215889,0.9235776437505326,0.5,405969,173790,303946,332184,0.5838649745165883,0.5931005773593168,0.7002375124836354,0.5499794757997326,0.6160790705297471,0.5809143694011161,0.18207606572124244,0.3637783210810992,0.45002052420026745,0.6362216789189008,0.55711128557923,0.619066592975879,0.48734055207379534,0.3019615647694703
xgboost,116,source_heldout,211234,88766,0.9235776437505326,0.5,71429,11,12,17314,0.8048239190681117,0.6633182090540883,0.9998460246360582,0.804897287673394,0.8918424551918743,0.44661291011366155,0.013264036172917031,0.4782608695652174,0.19510271232660603,0.5217391304347826,0.8253312324940265,0.9999485564419479,0.0020595086127911605,0.12374322861433029
xgboost,116,target,211234,1215889,0.9235776437505326,0.5,308430,142926,334810,429723,0.5290285544157403,0.5593333008516678,0.6833408661898812,0.41784020386017534,0.5185837181559786,0.5288067548050822,0.11996041419575618,0.29917360215683975,0.5821597961398247,0.7008263978431603,0.5952737491000081,0.6620339973381001,0.4748395915063662,0.3389226496219635
hgb,116,source_heldout,211234,88766,0.9235776437505326,0.5,71656,10,13,17087,0.8073924700898993,0.6863363136051392,0.9998604638182681,0.8074552359059306,0.8934162048264125,0.44746731516798055,0.015209110957792468,0.43478260869565216,0.1925447640940694,0.5652173913043478,0.7943649199030518,0.9999289509522733,0.0032280347044658366,0.09788066309151404
hgb,116,target,211234,1215889,0.9235776437505326,0.5,313773,147136,330600,424380,0.529960382896794,0.5585462699957107,0.6807699567593604,0.425078540627756,0.5233640962685833,0.5298703413015743,0.11787483238746606,0.3079860006363347,0.5749214593722439,0.6920139993636653,0.5784484213856133,0.6648616052378981,0.460751719128774,0.3458917019530839
mlp,116,source_heldout,211234,88766,0.9235776437505326,0.5,72135,0,23,16608,0.8129013360971543,0.9064264223657077,1.0,0.8128528447314154,0.8967664938649162,0.4497642965301524,0.03352823572563614,0.0,0.18714715526858455,1.0,0.9870542146863757,0.9999966217842821,0.010162991190962624,0.09124982357025146
mlp,116,target,211234,1215889,0.9235776437505326,0.5,294865,140896,336840,443288,0.5195416686885069,0.5522694307595203,0.6766667967073694,0.39946325490785783,0.5023621832604432,0.5189683881901042,0.10647259349042731,0.29492439338881726,0.6005367450921422,0.7050756066111827,0.6269354931110291,0.7272683638529467,0.5368832074747669,0.3239428997039795
majority,117,source_heldout,197029,102971,0.9394454623431069,0.5,98764,4207,0,0,0.9591438366141923,0.5,0.9591438366141923,1.0,0.9791459092373659,0.48957295461868294,0.0,1.0,0.0,0.0,0.5,0.9591438366141923,0.04085616338580766,0.04085616338580766
majority,117,target,197029,1215889,0.9394454623431069,0.5,738153,477736,0,0,0.6070891339587742,0.5,0.6070891339587742,1.0,0.7555139551759891,0.37775697758799454,0.0,1.0,0.0,0.0,0.5,0.6070891339587742,0.3929108660412258,0.3929108660412258
stratified,117,source_heldout,197029,102971,0.9394454623431069,0.5,92776,3946,261,5988,0.9035262355420458,0.5007050394600582,0.9592026633030748,0.9393706208740027,0.9491830617026283,0.49955327530425986,0.0011691254517127306,0.9379605419538863,0.06062937912599733,0.06203945804611362,0.5007050394600582,0.9591990966774518,0.040912651508691535,0.09647376445795418
stratified,117,target,197029,1215889,0.9394454623431069,0.5,693486,448729,29007,44667,0.5942096688102285,0.5001028948695331,0.6071413875671393,0.9394881548947169,0.7376066812453732,0.42140848017401866,0.000421269329119814,0.9392823651556508,0.06051184510528305,0.06071763484434918,0.5001028948695331,0.6071382256048837,0.3929600546728808,0.4057903311897714
logreg,117,source_heldout,197029,102971,0.9394454623431069,0.5,93177,882,3325,5587,0.9371764865836012,0.86689011119197,0.9906229068988613,0.9434308047466688,0.9664510976387671,0.7366747446422359,0.5166112102129409,0.2096505823627288,0.05656919525333117,0.7903494176372712,0.947004388311313,0.9972521553007493,0.679464670604841,0.07433944925419764
logreg,117,target,197029,1215889,0.9394454623431069,0.5,216363,11222,466514,521790,0.5616277472696932,0.6348120341113463,0.9506909506338291,0.29311402920532736,0.4480780501543897,0.5422527163816613,0.3376049008812424,0.02348996098263476,0.7068859707946726,0.9765100390173652,0.7203683058863898,0.8039374272491142,0.5646657546449255,0.38864158060923454
tree,117,source_heldout,197029,102971,0.9394454623431069,0.5,92910,129,4078,5854,0.9418962620543648,0.9550321050667833,0.99861348466772,0.9407273905471629,0.9688065358727445,0.772825362851147,0.610248547432605,0.030663180413596388,0.05927260945283706,0.9693368195864036,0.9808853593958287,0.9985179018829443,0.8727647092848707,0.04169463856843119
