model,split_seed,domain,bin,mean_score,attack_freq,n
tree,101,source_heldout,10,1.0,1.0,9938
tree,101,source_heldout,11,1.0,1.0,9938
tree,101,source_heldout,12,1.0,1.0,9938
tree,101,source_heldout,13,1.0,1.0,9938
tree,101,source_heldout,14,1.0,0.8877037633326625,9938
tree,101,target,0,0.0,0.67426597582038,81060
tree,101,target,1,0.0009955361606758537,0.7248211201579077,81060
tree,101,target,2,0.019401390369500785,0.18744140143103874,81060
tree,101,target,3,0.19191461672629984,0.30226992351344684,81060
tree,101,target,4,0.9997796879510396,0.9476430747973699,81059
tree,101,target,5,1.0,0.9999013064557914,81059
tree,101,target,6,1.0,0.43396785057797405,81059
tree,101,target,7,1.0,0.00012336693026067432,81059
tree,101,target,8,1.0,0.00011103023723460689,81059
tree,101,target,9,1.0,0.044658828754364104,81059
tree,101,target,10,1.0,0.8606817256566205,81059
tree,101,target,11,1.0,0.9999136431488175,81059
tree,101,target,12,1.0,0.9998889697627654,81059
tree,101,target,13,1.0,0.9998766330697393,81059
tree,101,target,14,1.0,0.9307788154307356,81059
rf,101,source_heldout,0,0.022566821364298724,0.5983499346010666,9939
rf,101,source_heldout,1,0.29832243804394715,0.8302646141462924,9939
rf,101,source_heldout,2,0.7115693133976704,0.9077371969010967,9939
rf,101,source_heldout,3,0.9232455498878215,0.9868195995572995,9939
rf,101,source_heldout,4,0.9809871657879876,0.9993963175369756,9939
rf,101,source_heldout,5,0.9948750061824402,0.9995975450246504,9939
rf,101,source_heldout,6,0.9997382223114692,0.9995975450246504,9939
rf,101,source_heldout,7,0.9998693796150092,1.0,9939
rf,101,source_heldout,8,0.9998693796150092,1.0,9939
rf,101,source_heldout,9,0.9998840044332802,1.0,9939
rf,101,source_heldout,10,1.0,1.0,9938
rf,101,source_heldout,11,1.0,1.0,9938
rf,101,source_heldout,12,1.0,1.0,9938
rf,101,source_heldout,13,1.0,1.0,9938
rf,101,source_heldout,14,1.0,0.9986918897162407,9938
rf,101,target,0,0.03897985782841426,0.6071551936836911,81060
rf,101,target,1,0.09095606560825974,0.0,81060
rf,101,target,2,0.1108329053198632,0.6841845546508759,81060
rf,101,target,3,0.3957281696663014,0.625228226005428,81060
rf,101,target,4,0.5581253907231728,0.7170332720610914,81059
rf,101,target,5,0.5733516867898912,0.8709335175612826,81059
rf,101,target,6,0.5775806416824302,0.0,81059
rf,101,target,7,0.5775806416824302,0.5363130559222294,81059
rf,101,target,8,0.5775806416824302,1.0,81059
rf,101,target,9,0.6360553583684985,0.9158267434831419,81059
rf,101,target,10,0.65257381439484,0.4980076240762901,81059
rf,101,target,11,0.65257381439484,0.00023439716749528122,81059
rf,101,target,12,0.65257381439484,0.7550426232744051,81059
rf,101,target,13,0.65257381439484,1.0,81059
rf,101,target,14,0.7875343383798811,0.8963841152740596,81059
xgboost,101,source_heldout,0,0.007129095960408449,0.595532749773619,9939
xgboost,101,source_heldout,1,0.06551927328109741,0.838313713653285,9939
xgboost,101,source_heldout,2,0.550531804561615,0.8907334741925748,9939
xgboost,101,source_heldout,3,0.9670228362083435,0.9975852701479022,9939
xgboost,101,source_heldout,4,0.9980118870735168,0.9998993862561626,9939
xgboost,101,source_heldout,5,0.9993617534637451,0.9988932488177885,9939
xgboost,101,source_heldout,6,0.9996480345726013,0.9996981587684878,9939
xgboost,101,source_heldout,7,0.9997361898422241,0.9997987725123252,9939
xgboost,101,source_heldout,8,0.9998624324798584,1.0,9939
xgboost,101,source_heldout,9,0.9999108910560608,1.0,9939
xgboost,101,source_heldout,10,0.9999215602874756,1.0,9938
xgboost,101,source_heldout,11,0.9999366998672485,1.0,9938
xgboost,101,source_heldout,12,0.9999448657035828,1.0,9938
xgboost,101,source_heldout,13,0.9999468326568604,1.0,9938
xgboost,101,source_heldout,14,0.9999629259109497,1.0,9938
xgboost,101,target,0,0.0024961845483630896,0.8941648161855416,81060
xgboost,101,target,1,0.009677325375378132,0.5932642487046632,81060
xgboost,101,target,2,0.04427075386047363,0.5683444362200839,81060
xgboost,101,target,3,0.13068369030952454,0.0,81060
xgboost,101,target,4,0.2682948708534241,0.478046854760113,81059
xgboost,101,target,5,0.47372034192085266,0.4865591729480995,81059
xgboost,101,target,6,0.47372034192085266,0.0,81059
xgboost,101,target,7,0.47372034192085266,0.902503115014989,81059
xgboost,101,target,8,0.4975338578224182,0.9963730122503361,81059
xgboost,101,target,9,0.649589478969574,0.9893781073045559,81059
xgboost,101,target,10,0.8379027843475342,0.980804105651439,81059
xgboost,101,target,11,0.8452658653259277,0.13215065569523435,81059
xgboost,101,target,12,0.8452658653259277,0.12113398882295612,81059
xgboost,101,target,13,0.8452658653259277,1.0,81059
xgboost,101,target,14,0.8660009503364563,0.9636190922661272,81059
hgb,101,source_heldout,0,0.00740100705046137,0.587383036522789,9939
hgb,101,source_heldout,1,0.05470268318736436,0.8061173156253144,9939
hgb,101,source_heldout,2,0.5642853306532254,0.9324881778850991,9939
hgb,101,source_heldout,3,0.9730035849199024,0.9964785189656907,9939
hgb,101,source_heldout,4,0.9987466244721522,0.9991950900493007,9939
hgb,101,source_heldout,5,0.9992750262880369,0.9991950900493007,9939
hgb,101,source_heldout,6,0.9997302358555681,1.0,9939
hgb,101,source_heldout,7,0.9997816339667346,0.9997987725123252,9939
hgb,101,source_heldout,8,0.999861080234,0.9997987725123252,9939
hgb,101,source_heldout,9,0.9999035031843163,1.0,9939
hgb,101,source_heldout,10,0.9999067602306309,1.0,9938
hgb,101,source_heldout,11,0.9999174917292912,1.0,9938
hgb,101,source_heldout,12,0.9999295219655183,1.0,9938
hgb,101,source_heldout,13,0.9999762698861769,1.0,9938
hgb,101,source_heldout,14,0.9999968990830069,1.0,9938
hgb,101,target,0,0.0014993025088567765,0.9385516901060943,81060
hgb,101,target,1,0.01422421701247301,0.3913150752528991,81060
hgb,101,target,2,0.06817297062714073,0.09034048852701702,81060
hgb,101,target,3,0.08885796201066044,0.47892918825561315,81060
hgb,101,target,4,0.37705152451925955,0.8223392837316029,81059
hgb,101,target,5,0.8348259078095188,0.3434288604596652,81059
hgb,101,target,6,0.8882306676868521,0.0,81059
hgb,101,target,7,0.8882306676868521,0.8946076314783059,81059
hgb,101,target,8,0.8898413074768744,0.999087084716071,81059
hgb,101,target,9,0.9406806422499101,0.9466191292762062,81059
hgb,101,target,10,0.97116916254209,0.44772326330203926,81059
hgb,101,target,11,0.97116916254209,0.00023439716749528122,81059
hgb,101,target,12,0.97116916254209,0.8053269840486559,81059
hgb,101,target,13,0.97116916254209,1.0,81059
hgb,101,target,14,0.9893637429445027,0.9478404618857869,81059
mlp,101,source_heldout,0,0.00499265780672431,0.6126370862259785,9939
mlp,101,source_heldout,1,0.04645910859107971,0.837810644934098,9939
mlp,101,source_heldout,2,0.6987013220787048,0.9475802394607103,9939
mlp,101,source_heldout,3,0.9915744066238403,0.9242378508904316,9939
mlp,101,source_heldout,4,0.999274492263794,0.9991950900493007,9939
mlp,101,source_heldout,5,0.9995806217193604,1.0,9939
mlp,101,source_heldout,6,0.9997329115867615,1.0,9939
mlp,101,source_heldout,7,0.9998223781585693,1.0,9939
mlp,101,source_heldout,8,0.999904215335846,1.0,9939
mlp,101,source_heldout,9,0.9999417066574097,1.0,9939
mlp,101,source_heldout,10,0.9999430775642395,1.0,9938
mlp,101,source_heldout,11,0.9999430775642395,1.0,9938
mlp,101,source_heldout,12,0.9999430775642395,1.0,9938
mlp,101,source_heldout,13,0.9999565482139587,1.0,9938
mlp,101,source_heldout,14,0.9999794363975525,0.9989937613201851,9938
mlp,101,target,0,0.00014494145580101758,0.7546262028127313,81060
mlp,101,target,1,0.0028575363103300333,0.7876634591660499,81060
mlp,101,target,2,0.09686189889907837,0.3670244263508512,81060
mlp,101,target,3,0.33519527316093445,0.0,81060
mlp,101,target,4,0.6931219100952148,0.7686870057612356,81059
mlp,101,target,5,0.9324519038200378,0.9218470496798629,81059
mlp,101,target,6,0.9668028354644775,0.5029052912076388,81059
mlp,101,target,7,0.9677422642707825,0.500178882048878,81059
mlp,101,target,8,0.9678057432174683,0.49993214818835663,81059
mlp,101,target,9,0.9708277583122253,0.793631799059944,81059
mlp,101,target,10,0.9755452871322632,0.8577949394885207,81059
mlp,101,target,11,0.9755452871322632,0.00024673386052134863,81059
mlp,101,target,12,0.9755452871322632,0.3952429711691484,81059
mlp,101,target,13,0.9755452871322632,1.0,81059
mlp,101,target,14,0.9845409393310547,0.9565625038552166,81059
majority,102,source_heldout,0,1.0,1.0,10479
majority,102,source_heldout,1,1.0,1.0,10479
majority,102,source_heldout,2,1.0,1.0,10479
majority,102,source_heldout,3,1.0,1.0,10479
majority,102,source_heldout,4,1.0,1.0,10479
majority,102,source_heldout,5,1.0,1.0,10479
majority,102,source_heldout,6,1.0,1.0,10478
majority,102,source_heldout,7,1.0,1.0,10478
majority,102,source_heldout,8,1.0,1.0,10478
majority,102,source_heldout,9,1.0,1.0,10478
majority,102,source_heldout,10,1.0,1.0,10478
majority,102,source_heldout,11,1.0,1.0,10478
majority,102,source_heldout,12,1.0,1.0,10478
majority,102,source_heldout,13,1.0,1.0,10478
majority,102,source_heldout,14,1.0,0.309314754724184,10478
majority,102,target,0,1.0,0.6740562546262028,81060
majority,102,target,1,1.0,0.9991241056007896,81060
majority,102,target,2,1.0,0.8441894892672095,81060
majority,102,target,3,1.0,0.00011102886750555144,81060
majority,102,target,4,1.0,0.00011103023723460689,81059
majority,102,target,5,1.0,0.00011103023723460689,81059
majority,102,target,6,1.0,0.09024290948568327,81059
majority,102,target,7,1.0,0.9112498303704709,81059
majority,102,target,8,1.0,0.45825879914630085,81059
majority,102,target,9,1.0,0.7346130596232374,81059
majority,102,target,10,1.0,0.9997285927534265,81059
majority,102,target,11,1.0,0.9997285927534265,81059
majority,102,target,12,1.0,0.999642235902244,81059
majority,102,target,13,1.0,0.6620362945508826,81059
majority,102,target,14,1.0,0.7331326564601093,81059
stratified,102,source_heldout,0,0.08044660750071572,0.9539078156312625,10479
stratified,102,source_heldout,1,1.0,1.0,10479
stratified,102,source_heldout,2,1.0,1.0,10479
stratified,102,source_heldout,3,1.0,1.0,10479
stratified,102,source_heldout,4,1.0,1.0,10479
stratified,102,source_heldout,5,1.0,1.0,10479
stratified,102,source_heldout,6,1.0,1.0,10478
stratified,102,source_heldout,7,1.0,1.0,10478
stratified,102,source_heldout,8,1.0,1.0,10478
stratified,102,source_heldout,9,1.0,1.0,10478
stratified,102,source_heldout,10,1.0,1.0,10478
stratified,102,source_heldout,11,1.0,1.0,10478
stratified,102,source_heldout,12,1.0,1.0,10478
stratified,102,source_heldout,13,1.0,1.0,10478
stratified,102,source_heldout,14,1.0,0.355411338041611,10478
stratified,102,target,0,0.0809647174932149,0.6308783617073772,81060
stratified,102,target,1,1.0,0.7015297310634098,81060
stratified,102,target,2,1.0,0.9990870959782877,81060
stratified,102,target,3,1.0,0.5910436713545522,81060
stratified,102,target,4,1.0,0.00012336693026067432,81059
stratified,102,target,5,1.0,0.00012336693026067432,81059
stratified,102,target,6,1.0,0.02445132557766565,81059
stratified,102,target,7,1.0,0.5614058895372507,81059
stratified,102,target,8,1.0,0.5087282103159427,81059
stratified,102,target,9,1.0,0.6572743310428206,81059
stratified,102,target,10,1.0,0.9997656028325047,81059
stratified,102,target,11,1.0,0.9997285927534265,81059
stratified,102,target,12,1.0,0.9996915826743483,81059
stratified,102,target,13,1.0,0.6923598860089565,81059
stratified,102,target,14,1.0,0.7401398980989156,81059
logreg,102,source_heldout,0,0.07732509015624797,0.6396602729268059,10479
logreg,102,source_heldout,1,0.3533066816530859,0.8067563698826223,10479
logreg,102,source_heldout,2,0.5169047163417787,0.9943696917644813,10479
logreg,102,source_heldout,3,0.5408239438194926,0.9998091420937112,10479
logreg,102,source_heldout,4,0.5465219934575526,0.9997137131405669,10479
logreg,102,source_heldout,5,0.6642933591409792,0.9610649871170913,10479
logreg,102,source_heldout,6,0.7756211130718874,0.9890246230196602,10478
logreg,102,source_heldout,7,0.9074523753525084,0.9207864096201566,10478
logreg,102,source_heldout,8,0.9603801075777171,1.0,10478
logreg,102,source_heldout,9,0.9617175542815967,1.0,10478
logreg,102,source_heldout,10,0.9622359446425067,1.0,10478
logreg,102,source_heldout,11,0.9622709915630353,1.0,10478
logreg,102,source_heldout,12,0.9666812639296255,0.999045619393014,10478
logreg,102,source_heldout,13,0.9868949892195531,1.0,10478
logreg,102,source_heldout,14,0.9977796233520287,0.9991410574537125,10478
logreg,102,target,0,0.01372044984304248,0.6285220824080928,81060
logreg,102,target,1,0.017492649547834107,0.49981495188749075,81060
logreg,102,target,2,0.017527031755913216,0.5,81060
logreg,102,target,3,0.01754202290392404,0.5000246730816679,81060
logreg,102,target,4,0.0251143542384351,0.9122491025055823,81059
logreg,102,target,5,0.04310977825154618,0.08015149459036011,81059
logreg,102,target,6,0.050865238480886976,0.21412798085345242,81059
logreg,102,target,7,0.08656059327335441,0.9798171702093537,81059
logreg,102,target,8,0.08830461040219603,0.0698503559135938,81059
logreg,102,target,9,0.08830461040219603,0.18343428860459665,81059
logreg,102,target,10,0.08830461040219603,1.0,81059
