layer,model,stage,n,mean,max,note,p50,p50_lo,p50_hi,p95,p95_lo,p95_hi,p99,p99_lo,p99_hi,p99_9,p99_9_lo,p99_9_hi
radio,rf,sk_dataframe,20000,6.569348850000001,31.6663,"EXP-005 path, 1 thread",6.245699999999999,6.2351,6.2575,8.18052,8.1219,8.2596,12.985215999999966,12.6317,13.7124,18.85574030000092,18.1899,20.6853
radio,rf,sk_array,20000,5.968235615,36.8892,1 thread,5.5668500000000005,5.5485,5.5815,7.653764999999992,7.5285,7.8385,21.497913,20.8093,21.9199,28.039742900000164,27.2217,29.2869
radio,rf,onnx,20000,0.012589725000000001,0.3038,"agreement 1.0000, max|diff| 8.4e-07",0.012,0.012,0.012,0.0162,0.0158,0.0172,0.0243,0.0235,0.0247,0.042600600000002306,0.0363,0.052
radio,rf,e2e_aggregate_plus_onnx,20000,0.05941614,0.7446,,0.0567,0.0567,0.0567,0.0703,0.0699,0.0707,0.09580199999999968,0.0927,0.1026,0.265501300000005,0.2384,0.3102
radio,rf,e2e_aggregate_plus_sk_array,20000,11.803832725,103.5211,,5.10445,5.0897,5.1191,28.908749999999998,28.6759,29.0963,34.84665699999999,34.2048,35.5755,50.330423200001626,46.4082,55.287
network,-,shared_space_mapping,20000,18.876188195,4290.3558,"one Zeek record -> 18 columns, pandas path",8.5424,8.504,8.5799,41.336274999999986,40.9019,41.7678,54.49614299999996,52.9176,56.1981,83.05898330002375,75.1446,121.4784
network,tree,sk_dataframe,20000,0.285201575,4.3033,"EXP-005 path, 1 thread",0.2763,0.2761,0.2765,0.321,0.3188,0.3233,0.4364319999999949,0.417,0.4572,0.7619040000000153,0.6821,0.8194
network,tree,sk_array,20000,0.032463495,0.4444,1 thread,0.031,0.031,0.031,0.0407,0.0402,0.0412,0.0612,0.059,0.063,0.11690060000000231,0.102,0.1546
network,tree,onnx,20000,0.010046655,0.0853,"agreement 1.0000, max|diff| 2.6e-08",0.0094,0.0094,0.0094,0.0155,0.0154,0.0157,0.0239,0.0236,0.024,0.03530050000000192,0.0313,0.0464
network,logreg,sk_dataframe,20000,0.414034865,3.5437,"EXP-005 path, 1 thread",0.3991,0.3988,0.3994,0.5008,0.4926,0.507,0.6826199999999968,0.6697,0.6945,1.0768078000000298,0.9886,1.294
network,logreg,sk_array,20000,0.11104259499999998,0.7228,1 thread,0.1084,0.1083,0.1084,0.1203,0.1201,0.1207,0.15700299999999953,0.1526,0.1641,0.33970230000000884,0.3061,0.3894
network,logreg,onnx,20000,0.010765535,0.2977,"agreement 1.0000, max|diff| 5.5e-07",0.0102,0.0102,0.0102,0.0137,0.0136,0.0138,0.0248,0.0242,0.0249,0.032800500000001925,0.0303,0.0405
network,xgboost,sk_array_all_threads,2000,0.2549066,0.6849,"n_jobs=-1, as in EXP-005; fewer calls",0.2158,0.2139,0.2189,0.41245499999999996,0.4055,0.4292,0.474917,0.4642,0.5142,0.630014600000003,0.5695,0.6849
network,xgboost,sk_dataframe,20000,0.6395701699999999,1.9001,"EXP-005 path, 1 thread",0.6241,0.6236,0.6245,0.744705,0.741,0.7497,0.9067039999999993,0.8943,0.9288,1.3469051000000196,1.246,1.4499
network,xgboost,sk_array,20000,0.22880879,4.8872,1 thread,0.2178,0.2175,0.218,0.3054,0.3025,0.3083,0.3985099999999984,0.3853,0.4078,0.6183021000000081,0.5561,0.6856
network,xgboost,onnx,20000,0.013199200000000001,0.6576,"agreement 1.0000, max|diff| 7.3e-08",0.0124,0.0124,0.0124,0.0166,0.0164,0.0171,0.0244,0.0236,0.025,0.08650040000000153,0.0647,0.1258
network,mlp,sk_dataframe,20000,0.41004652499999994,1.4947,"EXP-005 path, 1 thread",0.403,0.4028,0.4033,0.4411,0.4395,0.4429,0.573905999999999,0.5552,0.5968,0.9217015000000057,0.8755,0.9784
network,mlp,sk_array,20000,0.12134270000000001,1.052,1 thread,0.119,0.119,0.1191,0.1308,0.1305,0.1312,0.15480099999999983,0.1516,0.161,0.31900180000000694,0.2798,0.3404
network,mlp,onnx,20000,0.02188557,0.3363,"agreement 1.0000, max|diff| 4.8e-07",0.0209,0.0209,0.0209,0.02960499999999993,0.0276,0.0301,0.036700999999999845,0.0347,0.0395,0.05140020000000077,0.0481,0.0634
network,hgb,sk_dataframe,20000,1.18455757,7.086,"EXP-005 path, 1 thread",1.1702,1.1698,1.1706,1.2611,1.2556,1.2666,1.4460019999999996,1.4315,1.4625,1.7120131000000502,1.6768,1.8697
network,hgb,sk_array,20000,0.9205180199999999,19.8249,1 thread,0.9015,0.9012,0.9018,1.013915,1.0083,1.0204,1.2213059999999991,1.1999,1.2458,1.8411195000000748,1.673,2.2505
network,hgb,onnx,20000,0.014020304999999999,0.3237,"agreement 1.0000, max|diff| 2.1e-07",0.0121,0.0121,0.0121,0.0231,0.0227,0.0235,0.0339,0.0338,0.034,0.06800280000001076,0.0559,0.0873
network,rf,sk_array_all_threads,2000,67.28042735,265.0236,"n_jobs=-1, as in EXP-005; fewer calls",67.92615,66.8357,68.578,94.87294999999999,92.0258,99.0686,130.01696299999998,119.1595,160.2099,197.01840690001015,181.2257,265.0236
network,rf,sk_dataframe,20000,5.017731655,54.5737,"EXP-005 path, 1 thread",4.0791,4.0768,4.0812,8.71872,6.9202,13.0628,24.31588799999997,23.9062,24.8781,34.36463850000053,32.9025,38.4136
network,rf,sk_array,20000,3.7266144650000004,36.6234,1 thread,3.6728,3.6711,3.6743,4.0592049999999995,4.0468,4.0744,4.450604999999999,4.419,4.4849,6.524027200000105,5.8653,7.4702
network,rf,onnx,20000,0.01389903,0.4501,"agreement 1.0000, max|diff| 8.5e-07",0.0131,0.013,0.0131,0.0187,0.0181,0.019,0.02850199999999968,0.0273,0.0293,0.07910100000000385,0.0593,0.1003
