model,split_seed,domain,group,tau,tp,fp,fn,tn
stratified,109,source_heldout,fe80::e8f2:e1ff:fe82:74ce,0.999,1,0,0,0
stratified,109,source_heldout,fe80::ec1b:a989:3e1e:dce,0.05,1,0,0,0
stratified,109,source_heldout,fe80::ec1b:a989:3e1e:dce,0.1,1,0,0,0
stratified,109,source_heldout,fe80::ec1b:a989:3e1e:dce,0.15,1,0,0,0
stratified,109,source_heldout,fe80::ec1b:a989:3e1e:dce,0.2,1,0,0,0
stratified,109,source_heldout,fe80::ec1b:a989:3e1e:dce,0.25,1,0,0,0
stratified,109,source_heldout,fe80::ec1b:a989:3e1e:dce,0.3,1,0,0,0
stratified,109,source_heldout,fe80::ec1b:a989:3e1e:dce,0.35,1,0,0,0
stratified,109,source_heldout,fe80::ec1b:a989:3e1e:dce,0.4,1,0,0,0
stratified,109,source_heldout,fe80::ec1b:a989:3e1e:dce,0.45,1,0,0,0
stratified,109,source_heldout,fe80::ec1b:a989:3e1e:dce,0.5,1,0,0,0
stratified,109,source_heldout,fe80::ec1b:a989:3e1e:dce,0.55,1,0,0,0
stratified,109,source_heldout,fe80::ec1b:a989:3e1e:dce,0.6,1,0,0,0
stratified,109,source_heldout,fe80::ec1b:a989:3e1e:dce,0.65,1,0,0,0
stratified,109,source_heldout,fe80::ec1b:a989:3e1e:dce,0.7,1,0,0,0
stratified,109,source_heldout,fe80::ec1b:a989:3e1e:dce,0.75,1,0,0,0
stratified,109,source_heldout,fe80::ec1b:a989:3e1e:dce,0.8,1,0,0,0
stratified,109,source_heldout,fe80::ec1b:a989:3e1e:dce,0.85,1,0,0,0
stratified,109,source_heldout,fe80::ec1b:a989:3e1e:dce,0.9,1,0,0,0
stratified,109,source_heldout,fe80::ec1b:a989:3e1e:dce,0.95,1,0,0,0
stratified,109,source_heldout,fe80::ec1b:a989:3e1e:dce,0.975,1,0,0,0
stratified,109,source_heldout,fe80::ec1b:a989:3e1e:dce,0.99,1,0,0,0
stratified,109,source_heldout,fe80::ec1b:a989:3e1e:dce,0.995,1,0,0,0
stratified,109,source_heldout,fe80::ec1b:a989:3e1e:dce,0.999,1,0,0,0
stratified,109,source_heldout,fe80::f062:22ff:fe5e:f7bf,0.05,0,1,0,0
stratified,109,source_heldout,fe80::f062:22ff:fe5e:f7bf,0.1,0,1,0,0
stratified,109,source_heldout,fe80::f062:22ff:fe5e:f7bf,0.15,0,1,0,0
stratified,109,source_heldout,fe80::f062:22ff:fe5e:f7bf,0.2,0,1,0,0
stratified,109,source_heldout,fe80::f062:22ff:fe5e:f7bf,0.25,0,1,0,0
stratified,109,source_heldout,fe80::f062:22ff:fe5e:f7bf,0.3,0,1,0,0
stratified,109,source_heldout,fe80::f062:22ff:fe5e:f7bf,0.35,0,1,0,0
stratified,109,source_heldout,fe80::f062:22ff:fe5e:f7bf,0.4,0,1,0,0
stratified,109,source_heldout,fe80::f062:22ff:fe5e:f7bf,0.45,0,1,0,0
stratified,109,source_heldout,fe80::f062:22ff:fe5e:f7bf,0.5,0,1,0,0
stratified,109,source_heldout,fe80::f062:22ff:fe5e:f7bf,0.55,0,1,0,0
stratified,109,source_heldout,fe80::f062:22ff:fe5e:f7bf,0.6,0,1,0,0
stratified,109,source_heldout,fe80::f062:22ff:fe5e:f7bf,0.65,0,1,0,0
stratified,109,source_heldout,fe80::f062:22ff:fe5e:f7bf,0.7,0,1,0,0
stratified,109,source_heldout,fe80::f062:22ff:fe5e:f7bf,0.75,0,1,0,0
stratified,109,source_heldout,fe80::f062:22ff:fe5e:f7bf,0.8,0,1,0,0
stratified,109,source_heldout,fe80::f062:22ff:fe5e:f7bf,0.85,0,1,0,0
stratified,109,source_heldout,fe80::f062:22ff:fe5e:f7bf,0.9,0,1,0,0
stratified,109,source_heldout,fe80::f062:22ff:fe5e:f7bf,0.95,0,1,0,0
stratified,109,source_heldout,fe80::f062:22ff:fe5e:f7bf,0.975,0,1,0,0
stratified,109,source_heldout,fe80::f062:22ff:fe5e:f7bf,0.99,0,1,0,0
stratified,109,source_heldout,fe80::f062:22ff:fe5e:f7bf,0.995,0,1,0,0
stratified,109,source_heldout,fe80::f062:22ff:fe5e:f7bf,0.999,0,1,0,0
stratified,109,source_heldout,fe80::f11d:3c6b:f3de:ca65,0.05,1,0,0,0
stratified,109,source_heldout,fe80::f11d:3c6b:f3de:ca65,0.1,1,0,0,0
stratified,109,source_heldout,fe80::f11d:3c6b:f3de:ca65,0.15,1,0,0,0
stratified,109,source_heldout,fe80::f11d:3c6b:f3de:ca65,0.2,1,0,0,0
stratified,109,source_heldout,fe80::f11d:3c6b:f3de:ca65,0.25,1,0,0,0
stratified,109,source_heldout,fe80::f11d:3c6b:f3de:ca65,0.3,1,0,0,0
stratified,109,source_heldout,fe80::f11d:3c6b:f3de:ca65,0.35,1,0,0,0
stratified,109,source_heldout,fe80::f11d:3c6b:f3de:ca65,0.4,1,0,0,0
stratified,109,source_heldout,fe80::f11d:3c6b:f3de:ca65,0.45,1,0,0,0
stratified,109,source_heldout,fe80::f11d:3c6b:f3de:ca65,0.5,1,0,0,0
stratified,109,source_heldout,fe80::f11d:3c6b:f3de:ca65,0.55,1,0,0,0
stratified,109,source_heldout,fe80::f11d:3c6b:f3de:ca65,0.6,1,0,0,0
