layer,model,stage,n,mean,max,note,p50,p50_lo,p50_hi,p95,p95_lo,p95_hi,p99,p99_lo,p99_hi,p99_9,p99_9_lo,p99_9_hi
platform,FLOOR,no_op,20000,0.00090474,0.0508,,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0013,0.0012,0.0013,0.003300200000000768,0.0021,0.0058
radio,-,window_aggregation,20000,0.04070661,0.3817,16 records x 16 KPM features -> 32,0.039,0.0389,0.039,0.0468,0.0464,0.0472,0.07490299999999951,0.0714,0.0807,0.17211240000004763,0.1503,0.2311
radio,tree,sk_dataframe,20000,0.33530956500000003,7.205,"EXP-005 path, 1 thread",0.3234,0.3233,0.3237,0.3828049999999999,0.3799,0.3865,0.5629099999999984,0.5493,0.5885,0.9102056000000215,0.8414,0.9607
radio,tree,sk_array,20000,0.034900845,0.2868,1 thread,0.0334,0.0333,0.0334,0.0401,0.0395,0.0405,0.062,0.0594,0.068,0.20930300000001154,0.1928,0.2264
radio,tree,onnx,20000,0.01312937,0.4685,"agreement 1.0000, max|diff| 6.0e-09",0.012,0.012,0.012,0.0164,0.0161,0.0168,0.034,0.0337,0.0344,0.11380230000000884,0.0786,0.1614
radio,tree,e2e_aggregate_plus_onnx,20000,0.08978082500000001,6.4732,,0.0841,0.0839,0.0842,0.11110499999999993,0.1097,0.1132,0.18820599999999904,0.1815,0.1962,0.3853063000000242,0.3471,0.4308
radio,tree,e2e_aggregate_plus_sk_array,20000,0.14271223500000002,3.2994,,0.1362,0.1361,0.1363,0.1609,0.1599,0.1619,0.3019099999999984,0.2801,0.3245,0.6711141000000542,0.5792,0.8407
radio,logreg,sk_dataframe,20000,0.685216065,35.1321,"EXP-005 path, 1 thread",0.6581,0.6572,0.6592,0.8518149999999998,0.8455,0.8597,1.0813019999999995,1.0586,1.1034,1.7662212000000814,1.6361,1.9201
radio,logreg,sk_array,20000,0.19707563,7.8165,1 thread,0.1895,0.1893,0.1897,0.24010499999999993,0.2359,0.2438,0.3944,0.382,0.4063,0.7139025000000095,0.6256,0.8344
radio,logreg,onnx,20000,0.0170608,0.2406,"agreement 1.0000, max|diff| 3.0e-07",0.0146,0.0146,0.0146,0.0383,0.0381,0.0384,0.04340099999999984,0.0427,0.0453,0.1172,0.0953,0.1229
radio,logreg,e2e_aggregate_plus_onnx,20000,0.10925775000000001,1.039,,0.1037,0.1035,0.1039,0.1347,0.1335,0.1358,0.21490799999999874,0.1941,0.2407,0.5026190000000731,0.4568,0.5641
radio,logreg,e2e_aggregate_plus_sk_array,20000,0.25761001,13.4174,,0.2484,0.2481,0.2487,0.3085,0.3063,0.3109,0.44300399999999934,0.428,0.4631,0.7313032000000123,0.662,0.8296
radio,xgboost,sk_array_all_threads,2000,1.63885685,7.3421,"n_jobs=-1, as in EXP-005; fewer calls",1.52625,1.5099,1.5422,2.313595,2.2623,2.3845,2.736063,2.6335,3.1263,4.503359900000073,3.3023,7.3421
radio,xgboost,sk_dataframe,20000,1.22391151,12.1978,"EXP-005 path, 1 thread",1.2074,1.2049,1.21,1.493405,1.4874,1.5019,1.968136999999994,1.9036,2.0317,2.8608298000001144,2.7588,3.1311
radio,xgboost,sk_array,20000,0.263763135,8.2425,1 thread,0.2475,0.2471,0.2479,0.3745,0.3697,0.3787,0.5215009999999998,0.511,0.5345,1.029804900000019,0.9172,1.1764
radio,xgboost,onnx,20000,0.021332505,0.4351,"agreement 1.0000, max|diff| 8.2e-08",0.0197,0.0197,0.0197,0.0293,0.0288,0.0298,0.0438,0.0425,0.0475,0.20970110000000422,0.1747,0.245
radio,xgboost,e2e_aggregate_plus_onnx,20000,0.10906649499999999,1.1992,,0.0997,0.0996,0.0998,0.1398,0.1374,0.143,0.3366049999999992,0.3246,0.3608,0.6667050000000192,0.5658,0.8772
radio,xgboost,e2e_aggregate_plus_sk_array,20000,0.39249861,1.7616,,0.3744,0.3738,0.3749,0.5176,0.513,0.5223,0.6610049999999992,0.6516,0.6784,1.1613212000000814,1.0852,1.2871
radio,mlp,sk_dataframe,20000,0.64484251,2.1774,"EXP-005 path, 1 thread",0.6258,0.6249,0.6267,0.747,0.7444,0.7502,0.9431019999999998,0.9189,0.9714,1.7638062000000239,1.5372,1.8724
radio,mlp,sk_array,20000,0.17354047500000003,1.0557,1 thread,0.1673,0.1672,0.1674,0.2067,0.2056,0.2076,0.2592029999999995,0.2495,0.2739,0.4612105000000403,0.4292,0.519
radio,mlp,onnx,20000,0.028256764999999996,0.2721,"agreement 1.0000, max|diff| 2.4e-07",0.027,0.027,0.027,0.0373,0.0363,0.0382,0.04770099999999984,0.0469,0.0483,0.07780210000000806,0.0664,0.0982
radio,mlp,e2e_aggregate_plus_onnx,20000,0.09198289999999999,0.4722,,0.0901,0.09,0.0902,0.1067,0.1061,0.1073,0.12600099999999984,0.1233,0.1307,0.2655004000000015,0.2467,0.3072
radio,mlp,e2e_aggregate_plus_sk_array,20000,0.260189365,1.7733,,0.2538,0.2536,0.254,0.2882,0.2867,0.2896,0.38710599999999906,0.3784,0.4105,0.5971199000000764,0.573,0.6642
radio,hgb,sk_dataframe,20000,1.922863155,17.4926,"EXP-005 path, 1 thread",1.9040499999999998,1.9017,1.9062,2.1872049999999996,2.1812,2.1958,2.3934,2.374,2.4225,3.636433300000128,3.3444,4.9025
radio,hgb,sk_array,20000,1.361826285,7.7291,1 thread,1.3409,1.3398,1.3421,1.495,1.4887,1.5007,1.680701,1.6689,1.6946,2.6811151000000577,2.529,2.977
radio,hgb,onnx,20000,0.01988426,0.5633,"agreement 1.0000, max|diff| 1.9e-07",0.0185,0.0185,0.0185,0.026,0.0258,0.0264,0.0384,0.037,0.04,0.06680080000000307,0.0598,0.0833
radio,hgb,e2e_aggregate_plus_onnx,20000,0.07924329499999999,0.7603,,0.0749,0.0748,0.0749,0.0939,0.093,0.0946,0.17820099999999983,0.1655,0.1898,0.41050100000000384,0.3693,0.4362
radio,hgb,e2e_aggregate_plus_sk_array,20000,1.4609066000000002,19.9844,,1.4077,1.4063,1.4094,1.7303,1.7252,1.7373,2.0041219999999966,1.9796,2.0366,4.312429000000112,3.4526,4.5969
radio,rf,sk_array_all_threads,2000,28.68881765,65.6508,"n_jobs=-1, as in EXP-005; fewer calls",27.64885,27.5913,27.706,34.168499999999995,31.9799,39.0348,53.563382999999995,46.5594,57.6163,62.17879270000016,60.8389,65.6508
radio,rf,sk_dataframe,20000,12.300331805,10885.6715,"EXP-005 path, 1 thread",11.50955,11.4873,11.5277,14.452119999999999,14.3599,14.5384,18.345102999999984,17.9419,18.996,29.97577990000146,28.3653,31.7977
radio,rf,sk_array,20000,10.897510265,40.645,1 thread,10.60395,10.5921,10.6167,12.820854999999998,12.7517,12.89,14.91412099999998,14.7274,15.0779,24.00811950000123,22.099,26.6937
radio,rf,onnx,20000,0.017697610000000003,0.3033,"agreement 1.0000, max|diff| 8.4e-07",0.0167,0.0167,0.0167,0.0235,0.0225,0.0247,0.0381,0.0378,0.0387,0.08760100000000384,0.0696,0.1214
radio,rf,e2e_aggregate_plus_onnx,20000,0.08696638000000001,1.041,,0.0836,0.0835,0.0836,0.1014,0.1008,0.1019,0.13720099999999982,0.1316,0.1465,0.354101300000005,0.3241,0.3868
radio,rf,e2e_aggregate_plus_sk_array,20000,10.931388875,35.0004,,10.75895,10.7454,10.7716,12.355234999999999,12.3088,12.4007,13.740839999999993,13.6609,13.8667,18.5127265000001,16.9971,20.5148
