model,split_seed,domain,n_train,n_eval,train_prevalence,threshold,tp,fp,tn,fn,accuracy,balanced_accuracy,precision,recall,f1,f1_macro,mcc,fpr,fnr,tnr,roc_auc,pr_auc,pr_auc_benign,brier
stratified,108,target,240000,1640182,0.6059,0.5,941082,53411,34635,611054,0.5948833726988834,0.49984402780004067,0.9462932368553625,0.6063141374209476,0.7390805649350572,0.41674397317330114,-0.00014390780052475258,0.6066260818208664,0.39368586257905236,0.39337391817913364,0.49984402780004067,0.9463035258429484,0.053664793538864795,0.4051166273011166
logreg,108,source_heldout,240000,60000,0.6059,0.5,28307,8433,15043,8217,0.7225,0.7079033583213414,0.7704681545998912,0.7750246413317271,0.7727396811530902,0.7082416310592565,0.4165031464672559,0.3592179246890441,0.22497535866827292,0.6407820753109559,0.8150392471089529,0.8613614985937689,0.7543862811341334,0.15661318648438785
logreg,108,target,240000,1640182,0.6059,0.5,1235708,28250,59796,316428,0.7898538089065725,0.7376394181659258,0.9776495737991294,0.7961338439415103,0.8776042276997856,0.5675978577058387,0.2547877874584319,0.32085500760965857,0.20386615605848973,0.6791449923903414,0.8261149111617755,0.9787889063337444,0.4260621843915971,0.14836378081062995
tree,108,source_heldout,240000,60000,0.6059,0.5,29728,7321,16155,6796,0.7647166666666667,0.7510400828970581,0.8023968258252584,0.8139305662030446,0.8081225449553505,0.752026895929546,0.5041795556324704,0.31185040040892825,0.18606943379695542,0.6881495995910717,0.8642833631437108,0.8918354160060882,0.8009806965798771,0.13876780973378472
tree,108,target,240000,1640182,0.6059,0.5,611491,17290,70756,940645,0.4159581070881158,0.5987963938579088,0.9725023497847423,0.39396741007231323,0.5607650359917411,0.3447385078707804,0.0915966088616147,0.19637462235649547,0.6060325899276867,0.8036253776435045,0.6154442161940535,0.9600485976655782,0.06967895320491371,0.5855214286598149
rf,108,source_heldout,240000,60000,0.6059,0.5,31899,10066,13410,4625,0.75515,0.7222963036892125,0.7601334445371143,0.873370934180265,0.8128272751595765,0.7294605408102572,0.473218557606322,0.4287783268018402,0.12662906581973496,0.5712216731981599,0.8438000310562606,0.8876398620209764,0.7837017265766952,0.15257146897624305
rf,108,target,240000,1640182,0.6059,0.5,617778,10852,77194,934358,0.4237163924491306,0.637382101734836,0.9827370631372986,0.3980179571893185,0.5665697282514492,0.3534868834091355,0.12737617257484485,0.12325375371964654,0.6019820428106816,0.8767462462803535,0.8513535972393833,0.9824984450051487,0.5658054823519177,0.3309094051362853
xgboost,108,source_heldout,240000,60000,0.6059,0.5,29685,7254,16222,6839,0.7651166666666667,0.7518784181269886,0.8036221879314546,0.8127532581316395,0.8081619318568531,0.7526638139848119,0.505406165114184,0.3089964218776623,0.18724674186836052,0.6910035781223377,0.8651325125738856,0.894061615952351,0.8069068970703078,0.13838505744934082
xgboost,108,target,240000,1640182,0.6059,0.5,1045274,10857,77189,506862,0.6843527120770744,0.7750658667301525,0.9897200252620176,0.6734422756768736,0.8015084345276001,0.5156022228344246,0.2589417729889542,0.1233105422165686,0.3265577243231263,0.8766894577834314,0.8738702482805987,0.9904074545363583,0.2615323553998494,0.2625978887081146
hgb,108,source_heldout,240000,60000,0.6059,0.5,29688,7251,16225,6836,0.7652166666666667,0.7519833820549451,0.8037034029074961,0.8128353959040631,0.8082436056246002,0.7527691157031182,0.5056167802859733,0.3088686317941728,0.1871646040959369,0.6911313682058272,0.8654612590131125,0.8941924364785626,0.8073089235722176,0.13808646443955078
hgb,108,target,240000,1640182,0.6059,0.5,1025505,10631,77415,526631,0.6724375709524919,0.7699809659433432,0.9897397638919987,0.6607056340423777,0.7924244437987971,0.5080687380851079,0.2523129002366176,0.12074370215569134,0.33929436595762225,0.8792562978443087,0.8537156530672679,0.984183409316304,0.46337417408970805,0.29309111009532285
mlp,108,source_heldout,240000,60000,0.6059,0.5,29677,7287,16189,6847,0.7644333333333333,0.7510660556378981,0.80286224434585,0.8125342240718432,0.8076692793381233,0.7518953551833375,0.5038789284230218,0.310402112796047,0.18746577592815683,0.689597887203953,0.8652185864936075,0.8937896781318975,0.8080149174986825,0.13882587850093842
mlp,108,target,240000,1640182,0.6059,0.5,1041210,9306,78740,510926,0.6828205650348559,0.7825645989727734,0.9911414961790206,0.6708239484168913,0.8001146522854381,0.5162423722980181,0.2654379826654868,0.10569475047134452,0.3291760515831087,0.8943052495286554,0.8337649573177164,0.9847237733974387,0.14186529772554354,0.3140302300453186
majority,109,source_heldout,240000,60000,0.6084375,0.5,36221,23779,0,0,0.6036833333333333,0.5,0.6036833333333333,1.0,0.7528709948971638,0.3764354974485819,0.0,1.0,0.0,0.0,0.5,0.6036833333333333,0.39631666666666665,0.39631666666666665
majority,109,target,240000,1640182,0.6084375,0.5,1552136,88046,0,0,0.9463193718745847,0.5,0.9463193718745847,1.0,0.9724194143565897,0.48620970717829487,0.0,1.0,0.0,0.0,0.5,0.9463193718745847,0.05368062812541535,0.05368062812541535
stratified,109,source_heldout,240000,60000,0.6084375,0.5,21998,14440,9339,14223,0.5222833333333333,0.5000343678496498,0.6037104122070366,0.6073272411032274,0.6055134257284025,0.5000275774424738,6.884557403360987e-05,0.6072585054039278,0.3926727588967726,0.39274149459607216,0.5000343678496497,0.6036997790709917,0.39633311340432553,0.4777166666666667
stratified,109,target,240000,1640182,0.6084375,0.5,945090,53651,34395,607046,0.5971806787295556,0.49977222784758357,0.9462813682426174,0.6088963853682925,0.7409922156183932,0.41764568004283475,-0.00021039989819214545,0.6093519296731255,0.3911036146317075,0.3906480703268746,0.4997722278475835,0.9462962316004491,0.053657512430718375,0.4028193212704444
logreg,109,source_heldout,240000,60000,0.6084375,0.5,27910,8543,15236,8311,0.7191,0.7056404463527405,0.7656434312676598,0.7705474724607272,0.7680876241847153,0.7059810136306242,0.4119847261772953,0.35926657975524623,0.2294525275392728,0.6407334202447538,0.8125932699302683,0.8582340241315023,0.7562580248076458,0.15724389821836315
logreg,109,target,240000,1640182,0.6084375,0.5,1227935,27996,60050,324201,0.7852695615486575,0.7365778772633562,0.9777089664957709,0.7911259064927301,0.8745767105984295,0.5644329274646107,0.2517870759046037,0.31797015196601774,0.20887409350727,0.6820298480339823,0.8237847878616026,0.9781378870840243,0.4244673296582494,0.15599524241770132
