model,background,benign,icmp_flood,pfcp_deletion,syn_flood
hgb,0.7302260367097213,0.32193355481727576,0.9,0.24951456310679615,0.9275862068965518
logreg,0.6783863018354861,0.3699867109634551,0.0,0.0194174757281553,1.0
majority,1.0,0.0,1.0,1.0,1.0
mlp,0.2179979605710401,0.926451827242525,0.8993589743589745,0.0,1.0
rf,0.728025152957172,0.3271428571428571,0.5,0.0194174757281553,1.0
stratified,0.6085740992522094,0.39718936877076405,0.5384615384615384,0.5728155339805825,0.5836206896551724
tree,0.7825373895309313,0.2526976744186046,0.4,0.40388349514563104,0.7068965517241379
xgboost,0.5765848062542488,0.49060465116279073,0.8679487179487179,0.5951456310679613,1.0
