pi,ppv_min,ppv_max,spread,collapse_mean
0.0001,0.000442956859306904,0.0013424749852666636,3.0307127140264596,1458.6941312844258
0.0005,0.002211749853956321,0.006679176766300106,3.019860837495962,292.41827561129315
0.001,0.004415936947107946,0.013276276037419214,3.006446015066863,146.63379365215158
0.002,0.008801777480905335,0.026230220317936218,2.980104913449621,73.7415526725808
0.005,0.021781766256544734,0.06327132512221667,2.9047839544786975,30.006208084838317
0.01,0.04284097252601941,0.1195417875622895,2.790361201293597,15.427759888924152
0.05,0.18911150597520474,0.414329547021229,2.1909272251025995,3.7650013321928255
0.1,0.32991283204850214,0.5989564345749429,1.8154990542680294,2.3071565126014106
0.2,0.5255654072099367,0.7706612983716482,1.466347076499668,1.5782341028057025
0.5,0.815874844381161,0.9307548862279741,1.1408059614020203,1.140880656928278
