model,ppv_max,tau_at_max,tpr_at_max,fpr_at_max,fp_at_max,n_benign,ppv_worst_at_max,tau_for_ppv_0.01,tpr_for_ppv_0.01,tau_for_ppv_0.05,tpr_for_ppv_0.05,tau_for_ppv_0.1,tpr_for_ppv_0.1
hgb,0.05871966720257272,0.95,0.1229726086597223,0.003950419709796287,7751,1962070,0.057503657088860544,0.3,0.6389859554861932,0.95,0.1229726086597223,,
logreg,0.010227676099650772,0.75,0.1145472551083583,0.02221480375317904,43587,1962070,0.010134137469762933,0.6,0.23257834080468412,,,,
majority,0.002,0.05,1.0,1.0,1962070,1962070,0.002,,,,,,
mlp,0.030589398955921002,0.975,0.23153953177728737,0.014704878011487867,28852,1962070,0.030251601001688153,0.35,0.673195529924013,,,,
rf,0.06291876364609421,0.8,0.39199921967397006,0.011699888383187144,22956,1962070,0.06216482942831174,0.55,0.705306352477061,0.8,0.39199921967397006,,
stratified,0.0020006050014046194,0.05,0.9340014874964946,0.9337184707986973,1832021,1962070,0.0019998627386217482,,,,,,
tree,0.007688337757965864,0.9,0.6610935673227637,0.1709928799686046,335500,1962070,0.007664875341650376,,,,,,
xgboost,0.06312404661544622,0.75,0.3535241338855224,0.010514915369991896,20631,1962070,0.062326109976991236,0.2,0.6995630987071786,0.7,0.36850571629458934,,
