model,n_features_full,full_f1_macro,shared_f1_macro,loss_f1_macro_mean,loss_f1_macro_t_lo,loss_f1_macro_t_hi,loss_f1_macro_nb_lo,loss_f1_macro_nb_hi,loss_f1_macro_p_t,loss_f1_macro_p_nb,loss_f1_macro_d_z,loss_f1_macro_n,full_balanced_accuracy,shared_balanced_accuracy,loss_balanced_accuracy_mean,loss_balanced_accuracy_t_lo,loss_balanced_accuracy_t_hi,loss_balanced_accuracy_nb_lo,loss_balanced_accuracy_nb_hi,loss_balanced_accuracy_p_t,loss_balanced_accuracy_p_nb,loss_balanced_accuracy_d_z,loss_balanced_accuracy_n,full_roc_auc,shared_roc_auc,loss_roc_auc_mean,loss_roc_auc_t_lo,loss_roc_auc_t_hi,loss_roc_auc_nb_lo,loss_roc_auc_nb_hi,loss_roc_auc_p_t,loss_roc_auc_p_nb,loss_roc_auc_d_z,loss_roc_auc_n
logreg,46,0.7252691434904496,0.62585111071249,0.09941803277795962,0.07073157261389201,0.12810449294202722,-0.0027438651659144053,0.20157993072183364,6.952046009060358e-07,0.055847087594402246,1.621987213894546,20,0.9182224739269685,0.8365978034071408,0.0816246705198278,0.04747703776306375,0.11577230327659185,-0.03998625507953181,0.2032355961191874,7.895976067355205e-05,0.17621108056284987,1.1187165445602278,20,0.9629681939895267,0.902233500780002,0.060734693209524696,0.0364277046645041,0.0850416817545453,-0.025830469200084943,0.14729985561913433,4.771398778202506e-05,0.15833580078462947,1.1694048951767233,20
tree,46,0.6633845941050087,0.6193467130816102,0.04403788102339857,0.009568769533372525,0.0785069925134246,-0.07871793583653477,0.16679369788333193,0.015004918826081346,0.4619362648877028,0.5979371633388555,20,0.8611581780706198,0.8224221215578963,0.038736056512723445,-0.006470571849541237,0.08394268487498813,-0.12225958138467333,0.1997316944101202,0.08883544857171405,0.6203395034555605,0.40102598120287086,20,0.8809101486115628,0.8402221657392068,0.040687982872356074,-0.008811639474328857,0.09018760521904101,-0.13559641532525257,0.21697238106996475,0.10159906800260592,0.634552834735799,0.384701160325214,20
rf,46,0.7259931104920857,0.7008916059796942,0.02510150451239134,-0.002019512402973784,0.05222252142775646,-0.0714853363315065,0.12168834535628917,0.06773631530149461,0.5928047765943005,0.4331646475969026,20,0.8462800725035878,0.8079691291432631,0.03831094336032458,0.018756246080520612,0.05786564064012856,-0.03132975041635273,0.1079516371370019,0.000608930502007073,0.2638431812166019,0.9169189969863453,20,0.9337284564182772,0.9193261925691718,0.014402263849105267,-0.0004534945250949489,0.029258022223305483,-0.03850396655449616,0.06730849425270669,0.056691815188849526,0.5755105623916567,0.45372755780331897,20
xgboost,46,0.6769746907635809,0.6460834124538932,0.03089127830968763,0.012182838959603062,0.0495997176597722,-0.03573561328450636,0.09751816990388162,0.0026467510912885892,0.3440287769313694,0.7727829676822103,20,0.8849047454438933,0.8644901052606604,0.02041464018323309,-0.00022374264305575348,0.04105302300952193,-0.05308541342975873,0.09391469379622491,0.05229012164166489,0.5678463448734724,0.4629406183638527,20,0.9513819504194376,0.9444646635850577,0.006917286834379921,-0.0014601737133322964,0.015294747382092138,-0.0229175991923124,0.03675217286107224,0.10016783981547363,0.633031398357214,0.3864404819802746,20
hgb,46,0.6801759359805752,0.6473952666135607,0.03278066936701441,0.011859272747632071,0.05370206598639675,-0.041727289232558605,0.10728862796658742,0.003943648164515083,0.3686732013637884,0.7333079045802167,20,0.892943553559749,0.8669991030522268,0.02594445050752227,-0.012728177215801707,0.06461707823084625,-0.11178146701925852,0.16367036803430307,0.17640839129696007,0.6977659074561047,0.31397857655392236,20,0.9600193550914037,0.9364933627539012,0.023525992337502577,-0.009712976005057924,0.05676496068006308,-0.09484888110979081,0.14190086578479597,0.15489246768388854,0.68209226280169,0.3312528603716487,20
mlp,46,0.7075335382108237,0.6549310114588156,0.05260252675200801,0.022762425538690966,0.08244262796532505,-0.053667865529027664,0.15887291903304368,0.0015561624626521577,0.3131990406110396,0.825022011756519,20,0.9171757356761241,0.9120009953953098,0.005174740280814277,-0.020066143367061397,0.030415623928689954,-0.08471632904245743,0.09506580960408598,0.6726767859094006,0.9053610789917378,0.09594961233088091,20,0.9530048528044921,0.9450308776329619,0.007973975171530184,-0.0342738128914354,0.05022176323449576,-0.14248426149335586,0.1584322118364162,0.6972105471681518,0.912838458550979,0.0883344531824683,20
