model,tau,tp,fp,tn,fn,tpr,fpr,corpus_precision,ppv,fpr_lo,fpr_hi,ppv_best_case,ppv_worst_case,collapse,n_benign_pooled,false_alerts_per_benign_ue_hour,fa_lo,fa_hi
hgb,0.5,8725,739,2086,509,0.9448776261641759,0.2615929203539823,0.9219146238377007,0.007186488131737879,0.24571726131553775,0.27811609860111497,0.007647252498963939,0.006762418360519355,128.28444254520156,2825,58.858407079646014,55.286383795995995,62.57612218525087
logreg,0.5,7368,629,2196,1866,0.7979207277452891,0.22265486725663716,0.9213455045642116,0.007130486855011921,0.2076957272993711,0.23836728308622268,0.0076401314698350195,0.006663599779735143,129.21214543949557,2825,50.097345132743364,46.7315386423585,53.6326386944001
majority,0.5,9234,2825,0,0,1.0,1.0,0.7657351355833817,0.002,0.9986419882965519,0.9999999999999998,0.002002714269998486,0.0020000000000000005,382.8675677916908,2825,225.0,224.69444736672418,224.99999999999994
mlp,0.5,8263,628,2197,971,0.894845137535196,0.2223008849557522,0.9293667753908447,0.008002336225307426,0.20735091550985285,0.23800509169818587,0.008574356326494288,0.00747826951344158,116.1369316689941,2825,50.017699115044245,46.65395598971689,53.551145632091824
rf,0.5,8805,753,2072,429,0.9535412605588044,0.26654867256637166,0.921217827997489,0.007118033753425676,0.25056869497405354,0.2831627094283703,0.00756854943942463,0.006703196078323644,129.4202668755451,2825,59.97345132743362,56.37795636916205,63.71160962138332
stratified,0.5,7059,2154,671,2175,0.7644574398960364,0.7624778761061947,0.7661999348746337,0.0020051820373180596,0.7464348012958697,0.777808054861223,0.00204819101350184,0.001965738665055289,382.10991352158214,2825,171.5575221238938,167.94783029157068,175.00681234377515
tree,0.5,8402,930,1895,832,0.9098982022958632,0.3292035398230089,0.9003429061294471,0.005508443070168404,0.3121166618831384,0.34675430494653486,0.0058082521510325145,0.005231094929015941,163.44780088685238,2825,74.070796460177,70.22624892370614,78.01971861297035
xgboost,0.5,8594,710,2115,640,0.9306909248429717,0.2513274336283186,0.923688736027515,0.0073663782978337375,0.23567638227100038,0.26765388549655506,0.00785173166893556,0.0069201506782337685,125.3925197269801,2825,56.548672566371685,53.027186010975086,60.22212423672489
