pi,ppv_min,ppv_max,spread,collapse_mean
0.0001,0.00011173540815739231,0.001182960774805709,10.58716117221652,4560.520400169161
0.0005,0.0005586508141830135,0.0058892898430594675,10.541987398106864,912.3031440176724
0.001,0.0011172360687811658,0.011715410359398395,10.48606528804532,456.27598699873624
0.002,0.002234209945379321,0.02318216564580941,10.376001455795855,228.26240848926815
0.005,0.005583559344717118,0.056167222611679356,10.059393864027244,91.45426138358734
0.01,0.011160573104783286,0.10684025515367367,9.573007958514534,45.85154568169373
0.05,0.05554241689674463,0.3839656089401042,6.913015860543307,9.369373120178848
0.1,0.11044051026697474,0.5681886274106817,5.144748299669784,4.809101549989487
0.2,0.21834805925129708,0.7475135437098155,3.4234952500745663,2.528965764894807
0.5,0.5277153617678618,0.9221331403325429,1.747406285925371,1.1608842938379986
