feature_set,protocol,model,n,ba,ba_min,ba_max,ba_clean,fpr,fpr_clean,auc
native,file_disjoint,hgb,2,0.9999035060233434,0.9998341512981864,0.9999728607485006,0.9999035060233434,6.968339104422135e-05,6.968339104422135e-05,0.9999927570507686
native,file_disjoint,logreg,2,0.9897353879467028,0.9888552802426888,0.9906154956507168,0.9897353879467028,0.012763043846771599,0.012763043846771599,0.9951013286617373
native,file_disjoint,majority,2,0.5,0.5,0.5,0.5,1.0,1.0,0.5
native,file_disjoint,mlp,2,0.9944130596485574,0.9941682616347424,0.9946578576623726,0.9944130596485574,0.0012521043816601,0.0012521043816601,0.9938557443444329
native,file_disjoint,rf,2,0.9991899786502895,0.9990040516747766,0.9993759056258024,0.9991899786502895,4.8411321271832496e-05,4.8411321271832496e-05,0.9999996528468467
native,file_disjoint,stratified,2,0.5026761939281651,0.5010040801630912,0.504348307693239,0.5026761939281651,0.6100685912974033,0.6100685912974033,0.5026761939281651
native,file_disjoint,tree,2,0.9998535212021142,0.9997613209072272,0.9999457214970012,0.9998535212021142,0.00022445506117795,0.00022445506117795,0.9998535212021141
native,file_disjoint,xgboost,2,0.9999620938324453,0.99995132691639,0.9999728607485006,0.9999620938324453,4.8411321271832496e-05,4.8411321271832496e-05,0.9999999872345187
native,random,hgb,2,0.7644831559055887,0.7634265602706221,0.7655397515405553,0.7958441577028197,0.0627732226069593,5.12190124974e-05,0.8746528093486915
native,random,logreg,2,0.7096773363116267,0.7087986850731022,0.7105559875501513,0.8665197527083325,0.3269840090421613,0.0132991762487496,0.8287235681710816
native,random,majority,2,0.5,0.5,0.5,0.5,1.0,1.0,0.5
native,random,mlp,2,0.7643442684228253,0.7633010519682666,0.7653874848773841,0.7955649599284508,0.0628996802472517,0.0004582972360009,0.8748736581304869
native,random,rf,2,0.7354327183465341,0.7354208642081808,0.7354445724848875,0.8240495673224014,0.1772336979517346,0.0,0.8547890270894345
native,random,stratified,2,0.49756213002723493,0.4966210813466963,0.4985031787077735,0.4996871919917755,0.6090698563690595,0.6048197324399782,0.49756213002723493
native,random,tree,2,0.7644714674531139,0.7634187168724396,0.7655242180337882,0.796022881163298,0.0631540464328656,5.12190124974e-05,0.8748971956583698
native,random,xgboost,2,0.7640732517888907,0.762965332235759,0.7651811713420225,0.7966155459027601,0.06513580724023585,5.12190124974e-05,0.8738320715619827
native,site1to2,hgb,1,0.6620545022385367,0.6620545022385367,0.6620545022385367,0.6620545022385367,0.000423860521631,0.000423860521631,0.9298818654799412
native,site1to2,logreg,1,0.69770769119526,0.69770769119526,0.69770769119526,0.69770769119526,0.0135352793240837,0.0135352793240837,0.9885379900099978
native,site1to2,majority,1,0.5,0.5,0.5,0.5,0.0,0.0,0.5
native,site1to2,mlp,1,0.6616227768321606,0.6616227768321606,0.6616227768321606,0.6616227768321606,0.0012009381446212,0.0012009381446212,0.9955631436474128
native,site1to2,rf,1,0.6621685979148209,0.6621685979148209,0.6621685979148209,0.6621685979148209,0.0001836728927067,0.0001836728927067,0.7379470265350033
native,site1to2,stratified,1,0.4987595954993891,0.4987595954993891,0.4987595954993891,0.4987595954993891,0.4439797677244341,0.4439797677244341,0.4987595954993891
native,site1to2,tree,1,0.6607416008253298,0.6607416008253298,0.6607416008253298,0.6607416008253298,0.0030376670716889,0.0030376670716889,0.830078521998582
native,site1to2,xgboost,1,0.6621027530050914,0.6621027530050914,0.6621027530050914,0.6621027530050914,0.0003249597332504,0.0003249597332504,0.9089358934540026
native,site2to1,hgb,1,0.6496132297904338,0.6496132297904338,0.6496132297904338,0.9954654315315938,0.691823992097484,0.0001195886151638,0.4986954641947977
native,site2to1,logreg,1,0.6478686363634942,0.6478686363634942,0.6478686363634942,0.9887294695669876,0.6962716145852531,0.0145499481782667,0.6401519988486605
native,site2to1,majority,1,0.5,0.5,0.5,0.5,1.0,1.0,0.5
native,site2to1,mlp,1,0.6536428443225426,0.6536428443225426,0.6536428443225426,0.9994178315227884,0.6918927950972948,0.0003428206968029,0.732191342009646
native,site2to1,rf,1,0.6494759026541281,0.6494759026541281,0.6494759026541281,0.9953446503683412,0.6918092485975246,7.175316909830184e-05,0.5656695820261919
native,site2to1,stratified,1,0.5005111476150093,0.5005111476150093,0.5005111476150093,0.500296575091574,0.855570217147182,0.8559993621940525,0.5005111476150093
native,site2to1,tree,1,0.6482208157046278,0.6482208157046278,0.6482208157046278,0.9936262761733556,0.6922220665963893,0.0014111456589332,0.6482208157046278
native,site2to1,xgboost,1,0.6495489335305737,0.6495489335305737,0.6495489335305737,0.9952742828116604,0.6919370255971732,0.0004863270349996,0.3932312629956774
shared18,file_disjoint,hgb,3,0.9562402627045127,0.8887174136575334,0.9904611073034718,0.9562402627045127,0.033528705679775166,0.033528705679775166,0.9943103261534828
shared18,file_disjoint,logreg,3,0.9545610488578896,0.9234794048267102,0.973994516383412,0.9545610488578896,0.07118553932530414,0.07118553932530414,0.9858440613118987
shared18,file_disjoint,majority,3,0.5,0.5,0.5,0.5,1.0,1.0,0.5
shared18,file_disjoint,mlp,3,0.931087324889171,0.8183148853807536,0.98827009286006,0.931087324889171,0.03601446007280257,0.03601446007280257,0.9678456956610214
shared18,file_disjoint,rf,3,0.9395893688416548,0.8385277928990504,0.9905115814747814,0.9395893688416548,0.03350523695286697,0.03350523695286697,0.9919263924851895
shared18,file_disjoint,stratified,3,0.5019623586852296,0.5005346881993589,0.504348307693239,0.5019623586852296,0.5947258622117368,0.5947258622117368,0.5019623586852296
shared18,file_disjoint,tree,3,0.981737741295429,0.966883505715841,0.9897443443441868,0.981737741295429,0.03468744112873807,0.03468744112873807,0.9964578261151497
shared18,file_disjoint,xgboost,3,0.9432490008564566,0.85071977257606,0.9903789042619592,0.9432490008564566,0.03364930812729703,0.03364930812729703,0.9924619007088333
shared18,random,hgb,3,0.7521619861257745,0.7507251070001802,0.7535204118526129,0.8948832853564707,0.3049618823892611,0.0195192839278685,0.8658836842763735
shared18,random,logreg,3,0.7084657981631434,0.7076014091012097,0.7089732738226989,0.8600929943207744,0.35403813636626796,0.05078374405100577,0.8162230302106522
shared18,random,majority,3,0.5,0.5,0.5,0.5,1.0,1.0,0.5
shared18,random,mlp,3,0.7498773713980674,0.7465742878751708,0.7526634312700342,0.8421056213382974,0.20708345349658783,0.02262695361612793,0.8652021717222179
shared18,random,rf,3,0.7231660301303472,0.722211358018481,0.7243528227681844,0.924510776119923,0.4220390908937914,0.019349598914639735,0.8442836483228664
shared18,random,stratified,3,0.49908118277096186,0.4966210813466963,0.5021192882584158,0.5003331010994027,0.6075167433752452,0.6050129067183637,0.49908118277096186
shared18,random,tree,3,0.7518145332385854,0.7503185552215949,0.7531682489962666,0.8945582573673895,0.3060329572706737,0.0205455090130657,0.865421571776873
shared18,random,xgboost,3,0.7522485152759474,0.750873398141278,0.753759724122778,0.8948207699667025,0.3047343847667981,0.019589875385287767,0.8656847971902036
shared18,site1to2,hgb,1,0.6404217055268041,0.6404217055268041,0.6404217055268041,0.6404217055268041,0.0241883071010766,0.0241883071010766,0.7150938005346573
