pi,ppv_min,ppv_max,spread,collapse_mean
0.0001,0.00027634506320368436,0.0004024160745447216,1.4562086613000742,2627.1641121479774
0.0005,0.0013807512639375833,0.0020096491287962437,1.4554751324762065,525.9584187101115
0.001,0.00275907125674293,0.004013236647578811,1.4545607105183709,263.30770703037814
0.002,0.005508443070168404,0.008002336225307426,1.4527401161037647,131.98235119051148
0.005,0.013698870639702078,0.01982697060748389,1.447343443774215,53.18713768659146
0.01,0.027160290173119998,0.03907171491484081,1.4385602902545316,26.922066518618134
0.05,0.12699623002472493,0.17482354340538162,1.3766041981824593,5.910009584239467
0.1,0.23495007088893424,0.3090411765803175,1.3153483010711993,3.2835024674421347
0.2,0.4086285314583705,0.5015811221363481,1.2274745484517084,1.9702489090434678
0.5,0.734320815932299,0.8010100018437354,1.090817507095679,1.1822967740042678
