model,n_ratio_nb,group_disjoint,random,stratified_group,rg_mean,rg_t_lo,rg_t_hi,rg_nb_lo,rg_nb_hi,rg_p_t,rg_p_nb,rg_d_z,rg_n
cnn1d,0.279699801778363,0.7552752528921224,0.9441199398209201,0.7629501574711648,0.1888446869287977,0.13583691605427933,0.24185245780331605,0.052727212590019196,0.32496216126757616,4.6877994980682527e-07,0.00910256887735035,1.66734108226806,20
gru,0.279699801778363,0.7587930857925376,0.9233384207797704,0.7685903572465033,0.1645453349872328,0.11435582517222491,0.2147348448022407,0.03566481046013378,0.29342585951433187,1.5120120822925144e-06,0.015064250509834223,1.5343761588241063,20
