model,dBA_upper,gen_pass,best_ppv_at_rmin,min_false_alerts_at_rmin,alert_pass,radio_min_budget_ms,ric_e2e_p99_hi_ms,ric_min_budget_ms,verdict
logreg,0.2804494590662358,False,0.06534498941041396,4755.714507852589,False,1.0,4.5508310000000005,5.0,0
tree,0.46528859100473746,False,0.0034815446146358817,133882.75540351422,False,1.0,4.587985,5.0,0
rf,0.5070453178960272,False,0.08263756443915346,2931.7368993935625,False,1.0,4.948783,5.0,0
xgboost,0.5068235828484274,False,0.08000756104345276,2783.7039340693514,False,1.0,4.858668999999999,5.0,0
hgb,0.5280834394098626,False,0.09204880897734243,2877.00202145856,False,1.0,5.008001999999999,10.0,0
mlp,0.5309171073621234,False,0.025013665000898154,11277.250816358264,False,1.0,4.702578,5.0,0
