model,ppv_max,tau_at_max,tpr_at_max,fpr_at_max,fp_at_max,n_benign,ppv_worst_at_max,tau_for_ppv_0.01,tpr_for_ppv_0.01,tau_for_ppv_0.05,tpr_for_ppv_0.05,tau_for_ppv_0.1,tpr_for_ppv_0.1
hgb,0.0034277908982669313,0.975,0.533849821215733,0.3110376820608511,120017,385860,0.003411803330982338,,,,,,
logreg,0.030873354863148787,0.995,0.6912991656734208,0.04348727517752553,16780,385860,0.030433805823650625,0.995,0.6912991656734208,,,,
majority,0.002,0.05,1.0,1.0,385860,385860,0.002,,,,,,
mlp,0.011409740961874557,0.8,0.8528009535160905,0.14807702275436688,57137,385860,0.011324745078835812,0.1,0.8586412395709178,,,,
rf,0.009902429549880331,0.6,0.7101311084624553,0.14228994972269735,54904,385860,0.009826813152153476,,,,,,
stratified,0.0018932348942881543,0.05,0.5738974970202623,0.6063261286476961,233957,385860,0.001888445974931819,,,,,,
tree,0.0017269712104336717,0.05,0.66507747318236,0.7704348727517752,297280,385860,0.0017240129751782914,,,,,,
xgboost,0.008920759296392668,0.85,0.6960667461263409,0.15497330638055254,59798,385860,0.008855896864068664,,,,,,
