model,dBA_upper,gen_pass,best_ppv_at_rmin,min_false_alerts_at_rmin,alert_pass,radio_min_budget_ms,verdict
logreg,0.3150655162947066,False,0.007683425554068679,35152.87426034749,False,1.0,0
tree,0.5002549000536883,False,0.007688337757965864,40280.6423827896,False,1.0,0
rf,0.4674974708086522,False,0.03311284651934367,7130.387804716447,False,1.0,0
xgboost,0.46632181636519854,False,0.04185526595665799,5603.34748505405,False,1.0,0
hgb,0.4704629928063063,False,0.028094031029889707,8615.717074314372,False,1.0,0
mlp,0.49702655086152886,False,0.029280502582769704,8474.926990372413,False,1.0,0
