model,dBA_upper,gen_pass,best_ppv_at_rmin,min_false_alerts_at_rmin,alert_pass,radio_min_budget_ms,verdict
logreg,0.366129498824006,False,0.030873354863148787,10436.946042606127,False,1.0,0
tree,0.4987174116231438,False,0.0017269712104336717,184473.95428393717,False,1.0,0
rf,0.34808868178146224,False,0.009902429549880331,33222.826932047894,False,1.0,0
xgboost,0.267835374519975,False,0.008920759296392668,31189.550614212407,False,1.0,0
hgb,0.3135654361427104,False,0.0034277908982669313,74649.04369460426,False,1.0,0
mlp,-0.05690473868356133,True,0.011409740961874557,31583.268542994865,False,1.0,0
