model,direction,n_control,test_sessions,test_prevalence,control_test_prevalence,balanced_accuracy_temporal,balanced_accuracy_temporal_min,balanced_accuracy_temporal_max,balanced_accuracy_control_mean,balanced_accuracy_control_sd,balanced_accuracy_delta,balanced_accuracy_pct_control_le,balanced_accuracy_p_low,roc_auc_temporal,roc_auc_temporal_min,roc_auc_temporal_max,roc_auc_control_mean,roc_auc_control_sd,roc_auc_delta,roc_auc_pct_control_le,roc_auc_p_low,f1_macro_temporal,f1_macro_temporal_min,f1_macro_temporal_max,f1_macro_control_mean,f1_macro_control_sd,f1_macro_delta,f1_macro_pct_control_le,f1_macro_p_low,fpr_temporal,fpr_temporal_min,fpr_temporal_max,fpr_control_mean,fpr_control_sd,fpr_delta,fpr_pct_control_le,fpr_p_low,recall_temporal,recall_temporal_min,recall_temporal_max,recall_control_mean,recall_control_sd,recall_delta,recall_pct_control_le,recall_p_low,false_alerts_per_benign_ue_hour_temporal,false_alerts_per_benign_ue_hour_temporal_min,false_alerts_per_benign_ue_hour_temporal_max,false_alerts_per_benign_ue_hour_control_mean,false_alerts_per_benign_ue_hour_control_sd,false_alerts_per_benign_ue_hour_delta,false_alerts_per_benign_ue_hour_pct_control_le,false_alerts_per_benign_ue_hour_p_low
logreg,forward,50,"11,14,21,22,28,29",0.7074148296593187,0.8907219169905514,0.5732275214404905,0.5732275214404905,0.5732275214404905,0.7486284247320784,0.1661849369731292,-0.1754009032915878,0.2,0.2156862745098039,0.5602856144980403,0.5602856144980403,0.5602856144980403,0.8638756436969425,0.179260096200147,-0.3035900291989022,0.08,0.0980392156862745,0.5644476289734236,0.5644476289734236,0.5644476289734236,0.6015803676171358,0.1521275893219621,-0.0371327386437122,0.58,0.5882352941176471,0.8082191780821917,0.8082191780821918,0.8082191780821918,0.2476731466482728,0.3622800664738938,0.5605460314339189,0.84,0.8431372549019608,0.9546742209631728,0.9546742209631728,0.9546742209631728,0.7449299961124294,0.169779764120039,0.2097442248507433,0.94,0.9411764705882352,181.84931506849315,181.84931506849315,181.84931506849315,55.72645799586138,81.51301495662611,126.12285707263176,0.84,0.8431372549019608
logreg,reverse,50,"0,9,12,15,17,23",0.8730512249443207,0.8907219169905514,0.9502551020408164,0.9502551020408164,0.9502551020408164,0.7486284247320784,0.1661849369731292,0.2016266773087379,0.96,0.9607843137254902,0.998657357679914,0.998657357679914,0.998657357679914,0.8638756436969425,0.179260096200147,0.1347817139829715,0.9,0.9019607843137256,0.8463745229635478,0.8463745229635479,0.8463745229635479,0.6015803676171358,0.1521275893219621,0.2447941553464119,0.92,0.9215686274509804,0.0,0.0,0.0,0.2476731466482728,0.3622800664738938,-0.2476731466482728,0.46,0.4705882352941176,0.9005102040816325,0.9005102040816326,0.9005102040816326,0.7449299961124294,0.169779764120039,0.1555802079692031,0.86,0.8627450980392157,0.0,0.0,0.0,55.72645799586138,81.51301495662611,-55.72645799586138,0.46,0.4705882352941176
tree,forward,50,"11,14,21,22,28,29",0.7074148296593187,0.8907219169905514,0.5211630253405255,0.5180934456129458,0.525767394931895,0.7744600491783841,0.1905567109383273,-0.2532970238378585,0.12,0.1372549019607843,0.5211630253405255,0.5180934456129458,0.525767394931895,0.7690299678843501,0.1929316123397129,-0.2478669425438245,0.16,0.1764705882352941,0.5031434832150327,0.4996647494848214,0.5083743842364532,0.6993160652263231,0.1679891426512266,-0.1961725820112904,0.14,0.1568627450980392,0.8534246575342465,0.8493150684931506,0.8561643835616438,0.3399052527888145,0.3951432257497214,0.5135194047454319,0.84,0.8431372549019608,0.8957507082152976,0.8923512747875354,0.9008498583569404,0.8888253511455825,0.099306206154206,0.006925357069715,0.4,0.4117647058823529,192.0205479452055,191.0958904109589,192.63698630136983,76.47868187748324,88.9072257936873,115.54186606772224,0.84,0.8431372549019608
tree,reverse,50,"0,9,12,15,17,23",0.8730512249443207,0.8907219169905514,0.9617346938775512,0.9591836734693876,0.9642857142857144,0.7744600491783841,0.1905567109383273,0.187274644699167,0.84,0.8431372549019608,0.9642857142857142,0.9617346938775512,0.9668367346938777,0.7690299678843501,0.1929316123397129,0.1952557464013641,0.88,0.8823529411764706,0.8759757897977941,0.8691343631594288,0.8828899321857069,0.6993160652263231,0.1679891426512266,0.176659724571471,0.76,0.7647058823529411,0.0,0.0,0.0,0.3399052527888145,0.3951432257497214,-0.3399052527888145,0.3,0.3137254901960784,0.923469387755102,0.9183673469387756,0.9285714285714286,0.8888253511455825,0.099306206154206,0.0346440366095195,0.44,0.4509803921568627,0.0,0.0,0.0,76.47868187748324,88.9072257936873,-76.47868187748324,0.3,0.3137254901960784
rf,forward,50,"11,14,21,22,28,29",0.7074148296593187,0.8907219169905514,0.5616011486670031,0.5585781365206255,0.5668438821840196,0.8110970151413562,0.2130336326645596,-0.2494958664743531,0.32,0.3333333333333333,0.6606678567270753,0.6443498001474641,0.6723582599247158,0.9168850881583944,0.1403940058138431,-0.2562172314313192,0.1,0.1176470588235294,0.5397480347342718,0.5350008758101243,0.5475532864635644,0.7383447311034083,0.1956939011930409,-0.1985966963691364,0.22,0.2352941176470588,0.8575342465753424,0.8493150684931506,0.863013698630137,0.3023107753817919,0.440005021701136,0.5552234711935504,0.68,0.6862745098039216,0.9807365439093484,0.980169971671388,0.9830028328611898,0.9245048056645044,0.078314672195821,0.0562317382448438,0.58,0.5882352941176471,192.94520547945208,191.0958904109589,194.1780821917808,68.0199244609032,99.00112988275562,124.92528101854889,0.68,0.6862745098039216
rf,reverse,50,"0,9,12,15,17,23",0.8730512249443207,0.8907219169905514,0.9698979591836736,0.9681122448979592,0.9744897959183674,0.8110970151413562,0.2130336326645596,0.1588009440423173,0.66,0.6666666666666666,1.0,1.0,1.0,0.9168850881583944,0.1403940058138431,0.0831149118416054,1.0,1.0,0.8987995893443645,0.8936029042378746,0.912284129092756,0.7383447311034083,0.1956939011930409,0.1604548582409563,0.7,0.7058823529411765,0.0,0.0,0.0,0.3023107753817919,0.440005021701136,-0.3023107753817919,0.56,0.5686274509803921,0.939795918367347,0.9362244897959184,0.9489795918367347,0.9245048056645044,0.078314672195821,0.0152911127028424,0.4,0.4117647058823529,0.0,0.0,0.0,68.0199244609032,99.00112988275562,-68.0199244609032,0.56,0.5686274509803921
xgboost,forward,50,"11,14,21,22,28,29",0.7074148296593187,0.8907219169905514,0.5668943303969887,0.5637781830882067,0.5694439054678102,0.8122782134079597,0.2011488848433807,-0.245383883010971,0.26,0.2745098039215686,0.4759032170437347,0.444167410454422,0.4980014746400714,0.8967694328002273,0.1845585706375008,-0.4208662157564925,0.1,0.1176470588235294,0.5514958993313205,0.548325455094036,0.5541026323149228,0.7350177362119779,0.1812764487066904,-0.1835218368806573,0.18,0.196078431372549,0.8356164383561644,0.8356164383561644,0.8356164383561644,0.2895920951194924,0.4225248725169131,0.546024343236672,0.74,0.7450980392156863,0.9694050991501416,0.963172804532578,0.9745042492917848,0.914148521935412,0.0896354135142146,0.0552565772147296,0.5,0.5098039215686274,188.013698630137,188.013698630137,188.013698630137,65.15822140188578,95.06809631630546,122.8554772282512,0.74,0.7450980392156863
xgboost,reverse,50,"0,9,12,15,17,23",0.8730512249443207,0.8907219169905514,0.978061224489796,0.9693877551020408,0.9834183673469388,0.8122782134079597,0.2011488848433807,0.1657830110818362,0.72,0.7254901960784313,1.0,1.0,1.0,0.8967694328002273,0.1845585706375008,0.1032305671997727,1.0,1.0,0.923552880364457,0.897254004576659,0.9403882880398704,0.7350177362119779,0.1812764487066904,0.1885351441524791,0.7,0.7058823529411765,0.0,0.0,0.0,0.2895920951194924,0.4225248725169131,-0.2895920951194924,0.58,0.5882352941176471,0.956122448979592,0.9387755102040816,0.9668367346938777,0.914148521935412,0.0896354135142146,0.0419739270441797,0.46,0.4705882352941176,0.0,0.0,0.0,65.15822140188578,95.06809631630546,-65.15822140188578,0.58,0.5882352941176471
hgb,forward,50,"11,14,21,22,28,29",0.7074148296593187,0.8907219169905514,0.5496138771391983,0.5496138771391983,0.5496138771391983,0.8170259755295024,0.2137794723797125,-0.2674120983903041,0.32,0.3333333333333333,0.4810625169777641,0.481062516977764,0.481062516977764,0.9040734431682602,0.1815458345835442,-0.4230109261904961,0.1,0.1176470588235294,0.5342902198049754,0.5342902198049754,0.5342902198049754,0.7517928659285925,0.1950314519226163,-0.2175026461236171,0.16,0.1764705882352941,0.8356164383561644,0.8356164383561644,0.8356164383561644,0.3009440787522979,0.4398705259702801,0.5346723596038665,0.68,0.6862745098039216,0.934844192634561,0.9348441926345608,0.9348441926345608,0.9349960298113028,0.0735058421016781,-0.0001518371767419,0.38,0.392156862745098,188.013698630137,188.013698630137,188.013698630137,67.71241771926704,98.97086834331304,120.30128091086996,0.68,0.6862745098039216
hgb,reverse,50,"0,9,12,15,17,23",0.8730512249443207,0.8907219169905514,0.9948979591836736,0.9948979591836736,0.9948979591836736,0.8170259755295024,0.2137794723797125,0.1778719836541711,0.94,0.9411764705882352,1.0,1.0,1.0,0.9040734431682602,0.1815458345835442,0.0959265568317397,1.0,1.0,0.9804867448935246,0.9804867448935246,0.9804867448935246,0.7517928659285925,0.1950314519226163,0.2286938789649321,0.9,0.9019607843137256,0.0,0.0,0.0,0.3009440787522979,0.4398705259702801,-0.3009440787522979,0.58,0.5882352941176471,0.9897959183673468,0.9897959183673468,0.9897959183673468,0.9349960298113028,0.0735058421016781,0.054799888556044,0.8,0.803921568627451,0.0,0.0,0.0,67.71241771926704,98.97086834331304,-67.71241771926704,0.58,0.5882352941176471
mlp,forward,50,"11,14,21,22,28,29",0.7074148296593187,0.8907219169905514,0.573908572315573,0.570035701812255,0.5768850168807482,0.8267238275994154,0.1734766861762425,-0.2528152552838424,0.18,0.196078431372549,0.588070937948698,0.5371279444293531,0.6130525049478055,0.8950864877425018,0.1750938957309448,-0.3070155497938037,0.1,0.1176470588235294,0.5618033667378284,0.5555631679912305,0.5668865505822027,0.7289545194744048,0.1558564175204912,-0.1671511527365764,0.2,0.2156862745098039,0.8232876712328767,0.815068493150685,0.8356164383561644,0.2357094295861418,0.3572434047924246,0.5875782416467348,0.84,0.8431372549019608,0.9711048158640228,0.9688385269121812,0.9773371104815864,0.8891570847849728,0.0995717971254562,0.0819477310790499,0.88,0.8823529411764706,185.23972602739727,183.3904109589041,188.013698630137,53.03462165688192,80.37976607829553,132.20510437051536,0.84,0.8431372549019608
mlp,reverse,50,"0,9,12,15,17,23",0.8730512249443207,0.8907219169905514,0.982908163265306,0.9744897959183674,0.9923469387755102,0.8267238275994154,0.1734766861762425,0.1561843356658906,0.94,0.9411764705882352,0.9999910490511994,0.9999552452559972,1.0,0.8950864877425018,0.1750938957309448,0.1049045613086976,0.96,0.9607843137254902,0.9393158829662404,0.912284129092756,0.9711439588688946,0.7289545194744048,0.1558564175204912,0.2103613634918356,0.92,0.9215686274509804,0.0,0.0,0.0,0.2357094295861418,0.3572434047924246,-0.2357094295861418,0.54,0.5490196078431373,0.9658163265306124,0.9489795918367347,0.9846938775510204,0.8891570847849728,0.0995717971254562,0.0766592417456395,0.84,0.8431372549019608,0.0,0.0,0.0,53.03462165688192,80.37976607829553,-53.03462165688192,0.54,0.5490196078431373
