model,group,tp,fp,tn,fn,fpr,tpr
rf,13,55239,9172,13688,24951,0.40122484689413823,0.6888514777403666
rf,14,4824,28561,110539,596,0.2053271028037383,0.8900369003690037
rf,15,2390529,19606,27074,424761,0.4200085689802913,0.8491235361188367
rf,16,49290,7643,84147,0,0.08326615099684062,1.0
rf,17,250538,26328,263262,396372,0.09091474153113022,0.3872841662673324
rf,18,47582,13194,42896,22888,0.2352290960955607,0.675209308925784
rf,19,268459,9139,7701,31391,0.5426959619952494,0.8953109888277472
rf,2,881,6769,9461,99339,0.4170671595810228,0.008790660546797047
rf,20,0,6187,7393,0,0.4555964653902798,
rf,3,54325,8538,13022,24545,0.39601113172541746,0.6887916825155319
rf,4,5467,25863,150797,663,0.14639986414581682,0.8918433931484503
rf,5,1550138,42255,61515,207972,0.4071986123156982,0.8817070604228404
rf,5|c,0,2390529,424761,0,0.8491235361188367,
rf,6,34540,22817,375623,13380,0.05726583676337717,0.7207846410684474
rf,7,290420,26773,150047,470790,0.15141386720959168,0.3815241523364118
rf,8,41759,20750,227330,20311,0.08364237342792648,0.6727726760109554
rf,9,264506,23828,58522,34344,0.28935033394049786,0.8850794713066756
stratified,1,93757,13306,1004,6433,0.9298392732354996,0.9357919952091027
stratified,10,0,15047,1033,0,0.9357587064676617,
stratified,11,93449,13957,1053,6791,0.9298467688207861,0.9322525937749402
stratified,12,93031,15268,962,7269,0.9407270486752927,0.9275274177467597
stratified,13,74488,21452,1408,5702,0.9384076990376203,0.9288938770420252
stratified,14,5098,129875,9225,322,0.9336808051761323,0.9405904059040591
stratified,15,2629226,43499,3181,186064,0.9318551842330762,0.9339094729139804
stratified,16,46044,85534,6256,3246,0.9318444274975487,0.9341448569689592
stratified,17,604080,270354,19236,42830,0.9335750543872371,0.9337929541976473
stratified,18,65944,52418,3672,4526,0.9345337849884114,0.9357740882645097
stratified,19,280256,15712,1128,19594,0.9330166270783848,0.9346539936634984
stratified,2,93771,15199,1031,6449,0.9364756623536661,0.9356515665535822
stratified,20,0,12582,998,0,0.9265095729013255,
stratified,3,73588,20132,1428,5282,0.9337662337662338,0.9330290351210854
stratified,4,5648,164826,11834,482,0.9330125665119439,0.9213703099510604
stratified,5,1643300,97208,6562,114810,0.936763997301725,0.9346969188503563
stratified,5|c,0,2629613,185677,0,0.9340469365500534,
stratified,6,44907,372618,25822,3013,0.9351922497741191,0.9371243739565943
stratified,7,710801,164815,12005,50409,0.9321060965954078,0.9337778011324076
stratified,8,57838,231007,17073,4232,0.9311794582392776,0.9318189141292089
stratified,9,279134,77212,5138,19716,0.9376077717061324,0.9340271038982767
tree,1,254,4139,10171,99936,0.28923829489867225,0.0025351831520111787
tree,10,0,5715,10365,0,0.355410447761194,
tree,11,278,4566,10444,99962,0.30419720186542304,0.002773343974461293
tree,12,20285,5070,11160,80015,0.3123844731977819,0.2022432701894317
tree,13,55242,7412,15448,24948,0.3242344706911636,0.6888888888888889
tree,14,3914,30357,108743,1506,0.21823867721063983,0.722140221402214
tree,15,2390529,13891,32789,424761,0.29757926306769494,0.8491235361188367
tree,16,29583,13173,78617,19707,0.14351236518139232,0.6001825928180158
tree,17,235328,42880,246710,411582,0.148071411305639,0.36377239492355967
tree,18,26182,12199,43891,44288,0.21748974861829204,0.37153398609337307
tree,19,98195,6416,10424,201655,0.3809976247030879,0.3274804068701017
tree,2,20232,4934,11296,79988,0.3040049291435613,0.2018758730792257
tree,20,0,4821,8759,0,0.3550073637702504,
tree,3,54354,5594,15966,24516,0.25946196660482373,0.6891593761886649
tree,4,4432,29016,147644,1698,0.1642477074606589,0.7230016313213703
tree,5,1520126,30898,72872,237984,0.29775464970608073,0.8646364561944361
tree,5|c,0,2390529,424761,0,0.8491235361188367,
tree,6,26550,54169,344271,21370,0.13595271559080413,0.5540484140233722
tree,7,277243,29937,146883,483967,0.16930777061418392,0.3642135547352242
tree,8,23938,35850,212230,38132,0.14450983553692356,0.38566135008860963
tree,9,97120,18697,63653,201730,0.22704310868245295,0.32497908649824325
xgboost,1,188,925,13385,100002,0.06464011180992313,0.001876434773929534
xgboost,10,0,1808,14272,0,0.11243781094527364,
xgboost,11,185,1016,13994,100055,0.06768820786142572,0.0018455706304868315
xgboost,12,170,1017,15213,100130,0.06266173752310536,0.001694915254237288
xgboost,13,54941,2133,20727,25249,0.09330708661417322,0.6851353036538221
xgboost,14,3549,5766,133334,1871,0.04145219266714594,0.6547970479704797
xgboost,15,1970703,2805,43875,844587,0.06008997429305912,0.7
xgboost,16,44354,852,90938,4936,0.009282056868939972,0.8998579833637654
xgboost,17,156785,3539,286051,490125,0.012220725853793295,0.2423598336708352
xgboost,18,19017,1647,54443,51453,0.029363522909609557,0.2698595146871009
xgboost,19,114829,956,15884,185021,0.056769596199524944,0.3829548107387027
xgboost,2,166,995,15235,100054,0.06130622304374615,0.0016563560167631212
xgboost,20,0,1389,12191,0,0.10228276877761414,
xgboost,3,54095,927,20633,24775,0.042996289424860855,0.6858754913148218
xgboost,4,4051,3171,173489,2079,0.01794973395222461,0.6608482871125612
xgboost,5,1154194,6890,96880,603916,0.06639683916353474,0.6564970337464664
xgboost,5|c,0,1970703,844587,0,0.7,
xgboost,6,28344,5592,392848,19576,0.014034735468326473,0.5914858096828046
xgboost,7,180764,2858,173962,580446,0.01616332994005203,0.23746929231092603
xgboost,8,15981,3228,244852,46089,0.013011931634956465,0.25746737554374094
xgboost,9,114816,2830,79520,184034,0.03436551305403764,0.3841927388321901
