model,folds,folds_fpr_zero,pooled,mean_of_folds,median_of_folds
hgb,20,2,0.007186488131737879,0.1291491289727109,0.009087086531247325
logreg,20,1,0.007130486855011921,0.08145559437407829,0.011778865175247732
majority,20,0,0.002,0.0020000000000000005,0.002
mlp,20,0,0.008002336225307426,0.04757912151317139,0.013186367047076951
rf,20,1,0.007118033753425676,0.08140376051772986,0.009188767846491596
stratified,20,0,0.0020051820373180596,0.0020086198686694997,0.001999252794340204
tree,20,0,0.005508443070168404,0.013672502543054202,0.006979821447356963
xgboost,20,4,0.0073663782978337375,0.21845223977034336,0.009524631397626548
