model,folds,folds_fpr_zero,pooled,mean_of_folds,median_of_folds
hgb,20,0,0.002572436005225753,0.0031088937081330506,0.0025587079838128865
logreg,20,0,0.02318216564580941,0.023969371290606483,0.024335669954150024
majority,20,0,0.002,0.0020000000000000005,0.002
mlp,20,0,0.002395848943877782,0.0025652210001678713,0.0025213189417925518
rf,20,0,0.0025964690072234464,0.0026370821689841325,0.002569333512031846
stratified,20,0,0.0020001958317859407,0.0020001948664816766,0.0020002180978388254
tree,20,0,0.002234209945379321,0.0026701079882897765,0.002318215597279399
xgboost,20,0,0.0025746675748325996,0.004876427364543407,0.00254419835261845
