direction,mean_delta,mean_z,n_outside,n,false_alerts_temporal,false_alerts_control
forward,-0.26386233075878046,-2.944892532690888,20,24,205068.49315068495,65754.5095166971
reverse,-0.30311278724687635,-3.3403573745092685,20,24,161844.66019417476,65754.5095166971
