model,n_clusters,n_seeds,n_boot,tpr_lo,tpr_hi,fpr_lo,fpr_hi,ppv_lo,ppv_hi,best_ppv_lo,best_ppv_hi,fa_lo,fa_hi
hgb,30,20,2000,0.8613032907746025,0.9952072299062235,0.018356543055338233,0.6150262536098713,0.003076255685396042,0.09536849259105716,0.0033204028952368908,0.40923055641335904,4.1302221874511025,138.38090706222104
logreg,30,20,2000,0.678931855537116,0.8931361680822176,0.01662075435619189,0.5469329286820948,0.002924250105328987,0.08763215491871779,0.003878873539960795,1.0,3.7396697301431754,123.05990895347132
majority,30,20,2000,1.0,1.0,1.0,1.0,0.002,0.002,0.002,0.002,225.0,225.0
mlp,30,20,2000,0.8143880955975579,0.960956089168174,0.01889794526421034,0.5596518470088258,0.003187617653465554,0.08616465140199478,0.003974319399129021,1.0,4.252037684447327,125.92166557698579
rf,30,20,2000,0.8871954191073791,0.9987554620679199,0.023921560510033572,0.6504349755611214,0.0029185389193241177,0.07458673791471523,0.007064316746240916,1.0,5.382351114757554,146.34786950125232
stratified,30,20,2000,0.7500975650809061,0.7775965631533,0.7401300332438189,0.7811553689950735,0.0019462344690044041,0.0020725746255037592,0.0019462344690044041,0.0020725746255037592,166.52925747985924,175.75995802389156
tree,30,20,2000,0.8351800127617635,0.9667190599934555,0.08598255125699596,0.6389388258950822,0.002802650492437759,0.021036888437494503,0.0028110153182108835,0.02116554273165811,19.34607403282409,143.7612358263935
xgboost,30,20,2000,0.8397908934538073,0.9921470532437542,0.013003575711096374,0.6063909306430036,0.003024497990987834,0.1255355013935475,0.004096428147540864,1.0,2.925804534996684,136.43795939467583
