feature_space,n_features,n_flows,n_distinct,share_in_conflicting,attack_share_in_conflicting,ba_ceiling
shared18,18,39425,4680,0.0315028535193405,0.733015494636472,0.9918752915565232
native,48,39425,5494,0.0153202282815472,0.6936829558998808,0.9997149225107552
