pi,ppv_min,ppv_max,spread,collapse_mean
0.0001,0.00036076955548641337,0.0020641186891709224,5.721432581493583,1486.1643489843445
0.0005,0.001801967995880765,0.01024013404528273,5.682750231242349,297.8824561198377
0.001,0.003599247542427371,0.020282613885430092,5.635237267329293,149.34721951177428
0.002,0.007179814289412458,0.03979706811300705,5.54291051395199,75.07960120774257
0.005,0.017810872877084803,0.09414440027786722,5.285782506425722,30.51903022532355
0.01,0.03516893692981774,0.17280664504187676,4.913615824860599,15.665506564517209
0.05,0.15961319224951345,0.5211912256929124,3.265339276456337,3.7826876358721377
0.1,0.2862035575739264,0.6967840153486194,2.4345749621530826,2.2973352697915037
0.2,0.4742816390545706,0.8379373475172994,1.7667505518190358,1.5546590867511874
0.5,0.7830160910336522,0.9538783945981917,1.2182104627492212,1.1090533769269968
