model,ppv_max,tau_at_max,tpr_at_max,fpr_at_max,fp_at_max,n_benign,ppv_worst_at_max,tau_for_ppv_0.01,tpr_for_ppv_0.01,tau_for_ppv_0.05,tpr_for_ppv_0.05,tau_for_ppv_0.1,tpr_for_ppv_0.1
hgb,0.09204880897734243,0.999,0.6064362336114422,0.011987508422744,9251,771720,0.09037010494550712,0.99,0.8297377830750894,0.999,0.6064362336114422,,
logreg,0.07005496498200849,0.95,0.3456495828367104,0.009195044834914217,7096,771720,0.06856127378713026,0.65,0.6912991656734208,0.9,0.6912991656734208,,
majority,0.002,0.05,1.0,1.0,771720,771720,0.002,,,,,,
mlp,0.07058720961585593,0.999,0.4158522050059595,0.010972891722386358,8468,771720,0.06921032759298758,0.975,0.6806912991656734,0.999,0.4158522050059595,,
rf,0.08339928460683567,0.999,0.3361144219308701,0.007402944072979837,5713,771720,0.08144572848772796,0.9,0.83373063170441,0.9,0.83373063170441,,
stratified,0.0019955184482840964,0.05,0.933015494636472,0.9351150676411134,721647,771720,0.0019943532831653375,,,,,,
tree,0.0034815446146358817,0.99,0.9737783075089392,0.5585639869382678,431055,771720,0.0034746785446454326,,,,,,
xgboost,0.08000756104345276,0.999,0.5033373063170441,0.011598766391955631,8951,771720,0.07850481280520397,0.995,0.6833134684147795,0.999,0.5033373063170441,,
