model,ppv_max,tau_at_max,tpr_at_max,fpr_at_max,fp_at_max,n_benign,ppv_worst_at_max,tau_for_ppv_0.01,tpr_for_ppv_0.01,tau_for_ppv_0.05,tpr_for_ppv_0.05,tau_for_ppv_0.1,tpr_for_ppv_0.1
hgb,0.27269126303453955,0.999,0.4974680986228042,0.0026589628607565827,185,69576,0.2451279979739784,0.2,0.9295467137496217,0.75,0.8472891685674863,0.9,0.8113484489988909
logreg,0.029741929829627194,0.9,0.5832573488957197,0.03813096470047143,2653,69576,0.028684503451896912,0.6,0.8462221633470411,,,,
majority,0.002,0.05,1.0,1.0,69576,69576,0.0020000000000000005,,,,,,
mlp,0.21893318397113293,0.999,0.47845539028604633,0.003420719788432793,238,69576,0.1980367202327778,0.15,0.9676436831067015,0.995,0.6345567552985245,0.999,0.47845539028604633
rf,0.41718781445812586,0.999,0.5595908153428292,0.001566632172013338,109,69576,0.3724755659870531,0.6,0.8997730619617231,0.95,0.7105118627580852,0.975,0.6783871251582136
stratified,0.001995601371372149,0.05,0.9347671588653291,0.9368316660917558,65181,69576,0.0019918167662134507,,,,,,
tree,0.011961263860320643,0.975,0.8316955181913028,0.13767678509830977,9579,69576,0.011743796125602671,0.25,0.8593733532004838,,,,
xgboost,0.27353793207341526,0.999,0.5076957811957614,0.0027020811774175002,188,69576,0.24613189193498577,0.15,0.9635047471337832,0.75,0.8592887469868101,0.9,0.83136434529778
