model,background,benign,icmp_flood,pfcp_deletion,syn_flood
hgb,0.608338290278722,0.46400664451827234,1.0,0.7975728155339806,1.0
logreg,0.27115907545887147,0.846797342192691,0.1,0.00194174757281553,1.0
majority,1.0,0.0,1.0,1.0,1.0
mlp,0.4362402277362339,0.6007840531561462,0.2,0.6106796116504855,1.0
rf,0.8142611318830728,0.2048073089700996,1.0,0.991747572815534,1.0
stratified,0.9356262746431,0.06568438538205976,0.9378205128205129,0.9383495145631068,0.9307758620689655
tree,0.6657567131203262,0.35553488372093023,1.0,0.7864077669902912,1.0
xgboost,0.702525917743032,0.33408637873754155,1.0,0.7432038834951457,1.0
