model,folds,folds_fpr_zero,pooled,mean_of_folds,median_of_folds
hgb,20,0,0.026230220317936218,0.03467282613229437,0.02640876362964683
logreg,20,0,0.008801777480905335,0.008824806568483954,0.009351408632267591
majority,20,0,0.002,0.0020000000000000005,0.002
mlp,20,2,0.024970527864952203,0.140798433974913,0.030222697222465685
rf,20,0,0.009218465004880824,0.010575515736035043,0.009720773162004325
stratified,20,0,0.001995601371372149,0.0020071373262505856,0.002003598460384586
tree,20,0,0.010763486396047304,0.021614208320067625,0.010064077942012861
xgboost,20,0,0.019280480101110428,0.03878880772654053,0.030095091250079205
