model,dBA_upper,gen_pass,best_ppv_at_rmin,min_false_alerts_at_rmin,alert_pass,radio_min_budget_ms,verdict
logreg,0.3150655162947066,False,0.00235410402047762,166328.44081249894,False,1.0,0
tree,0.5002549000536883,False,0.002239685162392313,118341.90431535408,False,1.0,0
rf,0.4674974708086522,False,0.0026838576660652763,98409.91677411793,False,1.0,0
xgboost,0.46632181636519854,False,0.002629587209539114,95507.37645896479,False,1.0,0
hgb,0.4704629928063063,False,0.00261805641201592,99276.62977041714,False,1.0,0
mlp,0.49702655086152886,False,0.0025721407320844956,105743.83341427064,False,1.0,0
