model,tau,tp,fp,tn,fn,tpr,fpr,corpus_precision,ppv,fpr_lo,fpr_hi,ppv_best_case,ppv_worst_case,collapse,n_benign_pooled,false_alerts_per_1e6_benign_flows,false_alerts_per_hour_at_240k
hgb,0.5,8795468,4423202,5131518,5967592,0.5957754015766379,0.46293371234321884,0.66538222075292,0.002572436005225753,0.46261755746945726,0.46324989702293873,0.0025741894938461148,0.0025706847388897915,258.6584153701919,9554720,462933.71234321885,111104.09096237252
logreg,0.5,4094101,223748,9330972,10668959,0.27732062323122714,0.02341753604501231,0.9481806797782878,0.02318216564580941,0.023321837747316415,0.023513617574965645,0.023275076770542653,0.02308962571175103,40.901298621757036,9554720,23417.536045012308,5620.208650802954
majority,0.5,14763060,9554720,0,0,1.0,1.0,0.6070891339587742,0.002,0.9999995979370975,1.0,0.0020000008025178755,0.002,303.54456697938707,9554720,1000000.0,240000.0
mlp,0.5,9533029,5148382,4406338,5230031,0.6457353014889867,0.5388312792002278,0.6493264850360773,0.002395848943877782,0.5385151789977034,0.5391473481775185,0.00239725189937291,0.0023944477678839193,271.0214626407603,9554720,538831.2792002278,129319.50700805467
rf,0.5,10375212,5169229,4385491,4387848,0.7027819435808024,0.5410131327762614,0.6674548155189369,0.0025964690072234464,0.5406971425135934,0.541329090059211,0.002597982474414882,0.002594957460044447,257.0625005197673,9554720,541013.1327762614,129843.15186630274
stratified,0.5,13799708,8930358,624362,963352,0.9347457776368856,0.9346540767285697,0.6071125354409441,0.0020001958317859407,0.934497197287969,0.9348106066526111,0.0020005309444628755,0.001999861577593991,303.52654764751895,9554720,934654.0767285697,224316.97841485674
tree,0.5,9209411,5334301,4220419,5553649,0.6238145072904939,0.5582896202086508,0.6332228663493886,0.002234209945379321,0.5579747164061419,0.5586044771389719,0.0022354680461465506,0.0022329534468580295,283.4213801881009,9554720,558289.6202086508,133989.5088500762
xgboost,0.5,8152274,4096180,5458540,6610786,0.5522076046564872,0.4287074869802569,0.6655757534787655,0.0025746675748325996,0.42839371285193106,0.4290213184367321,0.0025765485141388236,0.0025727890368748433,258.50939359503144,9554720,428707.4869802569,102889.79687526166
