direction,model,n_seeds,n_ratio_nb,target_prevalence,fair_coin_macro_f1_target,src_f1,tgt_f1,src_ba,tgt_ba,src_auc,tgt_auc,tgt_pr_auc,tgt_fpr,tgt_fnr,src_fpr,src_fnr,dF1_mean,dF1_t_lo,dF1_t_hi,dF1_nb_lo,dF1_nb_hi,dF1_p_t,dF1_p_nb,dF1_d_z,dF1_n,dBA_mean,dBA_t_lo,dBA_t_hi,dBA_nb_lo,dBA_nb_hi,dBA_p_t,dBA_p_nb,dBA_d_z,dBA_n,dAUC_mean,dAUC_t_lo,dAUC_t_hi,dAUC_nb_lo,dAUC_nb_hi,dAUC_p_t,dAUC_p_nb,dAUC_d_z,dAUC_n,did_mean,did_t_lo,did_t_hi,did_nb_lo,did_nb_hi,did_p_t,did_p_nb,did_d_z,did_n,vsfloor_mean,vsfloor_t_lo,vsfloor_t_hi,vsfloor_nb_lo,vsfloor_nb_hi,vsfloor_p_t,vsfloor_p_nb,vsfloor_d_z,vsfloor_n,ba_vs_chance_mean,ba_vs_chance_t_lo,ba_vs_chance_t_hi,ba_vs_chance_nb_lo,ba_vs_chance_nb_hi,ba_vs_chance_p_t,ba_vs_chance_p_nb,ba_vs_chance_d_z,ba_vs_chance_n,tgt_fpr_mean,tgt_fpr_t_lo,tgt_fpr_t_hi,tgt_fpr_nb_lo,tgt_fpr_nb_hi,tgt_fnr_mean,tgt_fnr_t_lo,tgt_fnr_t_hi,tgt_fnr_nb_lo,tgt_fnr_nb_hi,dF1_p_nb_holm,dBA_p_nb_holm,did_p_nb_holm,vsfloor_p_nb_holm,ba_vs_chance_p_nb_holm,dF1_p_t_holm
a_to_b,logreg,20,0.5841529075845491,0.6070891339587743,0.4941994373624562,0.62585111071249,0.529686892829439,0.8365978034071408,0.6269515435931075,0.902233500780002,0.7014174514967257,0.7895674763904734,0.023417536045012247,0.7226793767687729,0.22953628854344918,0.09726810464226923,0.09616421788305099,0.04326882331388398,0.149059612452218,-0.09221363950226197,0.28454207526836395,0.001195680997341015,0.29870113462876363,0.8508536464837393,20,0.20964625981403331,0.18004515252822456,0.23924736709984207,0.10422700333336003,0.3150655162947066,6.776074517241729e-12,0.0005288203418083297,3.314655391018435,20,0.20081604928327637,0.17516661838953215,0.2264654801770206,0.10947000915499909,0.29216208941155364,1.1506418194800589e-12,0.00019487818377402527,3.6642062155004136,20,-0.018250548924223554,-0.07310245000322502,0.0366013521547779,-0.21359616800760065,0.17709507015915352,0.49461081644642396,0.8470424561908382,-0.15571966793468306,20,0.10568866250552233,0.09258629298162123,0.11879103202942344,0.05902682516246869,0.152350499848576,6.757945715481603e-13,0.00014225264243209273,3.7751810126867698,20,0.1269515435931074,0.11899824552071561,0.13490484166549918,0.09862723932754801,0.15527584785866677,2.428008571463637e-18,1.4580269656547076e-08,7.470504786569991,20,0.023417536045012247,0.020868493220648637,0.025966578869375857,0.014339558093470043,0.032495513996554454,0.7226793767687729,0.7052344360497587,0.7401243174877872,0.6605522184097486,0.7848065351277972,1.0,0.0026441017090416486,1.0,0.0007112632121604636,8.748161793928246e-08,0.0037301397911643575
a_to_b,tree,20,0.5841529075845491,0.6070891339587743,0.4941994373624562,0.6193467130816102,0.5182320479490825,0.8224221215578963,0.5327624435409216,0.8402221657392068,0.5260664477997763,0.628515042797176,0.5582896202086507,0.376185492709506,0.21015514224126747,0.14500061464293992,0.10111466513252779,0.03124429785672027,0.1709850324083353,-0.14771664030240167,0.34994597056745724,0.006903851945701875,0.4056285244376504,0.6772988582634012,20,0.2896596780169746,0.23052577810628475,0.34879357792766447,0.0790644559802609,0.5002549000536883,3.517212601841782e-09,0.00961567199970792,2.2925073853685207,20,0.31415571793943053,0.2508015466426287,0.37750988923623235,0.0885307246385901,0.5397807112402709,2.8823257297605487e-09,0.00889490017480132,2.320753296038591,20,-0.013300101674746758,-0.08486942366816555,0.05826922031867204,-0.26818194236146997,0.24158173901197644,0.701632172114379,0.9141756226271166,-0.08697356656813897,20,0.09423381762516578,0.0701701387501927,0.11829749650013885,0.008535160791287216,0.17993247445904434,1.1669869209270744e-07,0.03285285652939328,1.8327531899701792,20,0.032762443540921574,0.012231803197822695,0.05329308388402045,-0.040353903734344415,0.10587879081618756,0.0034405404730081406,0.36008837717899417,0.7468493583457391,20,0.5582896202086507,0.47562181810403276,0.6409574223132686,0.26388244994248083,0.8526967904748206,0.376185492709506,0.28735868999868114,0.4650122954203309,0.0598441002434244,0.6925268851755877,1.0,0.01923134399941584,1.0,0.13141142611757312,0.36008837717899417,0.006903851945701875
a_to_b,rf,20,0.5841529075845491,0.6070891339587743,0.4941994373624562,0.7008916059796942,0.5715713158997412,0.8079691291432631,0.5808844054022704,0.9193261925691718,0.578172137871959,0.65370518052189,0.5410131327762613,0.29721805641919763,0.2997125614570396,0.08434918025643377,0.12932029007995322,0.051712064688478984,0.20692851547142743,-0.1470680672392346,0.40570864739914103,0.0024634050255607663,0.3397316862977724,0.7798626820098641,20,0.22708472374099276,0.15957823814810235,0.29459120933388316,-0.013328023326666688,0.4674974708086522,1.0579588288571933e-06,0.062737832757115,1.5743512827731199,20,0.3411540546972129,0.3041194797933224,0.3781886296011034,0.20926178077820115,0.47304632861622464,6.192838370871077e-14,3.181411784598091e-05,4.3112419359805285,20,0.01490552327267868,-0.06482863928432696,0.09463968582968431,-0.2690539939072213,0.29886504045257867,0.6999505903485621,0.913667448754688,0.08749072421565282,20,0.1475730855758244,0.13624469613565068,0.15890147501599813,0.10722897343245343,0.1879171977191954,1.0695239849999258e-16,3.199308880710953e-07,6.096747504494896,20,0.0808844054022705,0.07244353815075216,0.08932527265378884,0.05082370729677343,0.11094510350776757,3.025939222011873e-14,1.9787003107435118e-05,4.484736681075331,20,0.5410131327762613,0.47051060875815015,0.6115156567943725,0.2899305097433296,0.792095755809193,0.29721805641919763,0.22036837448584357,0.3740677383525517,0.02353112126612067,0.5709049915722746,1.0,0.062737832757115,1.0,1.919585328426572e-06,9.893501553717559e-05,0.004926810051121533
a_to_b,xgboost,20,0.5841529075845491,0.6070891339587743,0.4941994373624562,0.6460834124538932,0.5324471379374055,0.8644901052606604,0.561750058838115,0.9444646635850577,0.5721176982676004,0.656178173600732,0.4287074869802569,0.4477923953435128,0.15269854395486399,0.1183212455238152,0.1136362745164877,0.054348467470430775,0.17292408156254463,-0.09750706133302395,0.32477961036599934,0.0007460279582328715,0.2739999124524192,0.8970379613516524,20,0.3027400464225451,0.256807247390115,0.3486728454549752,0.13915827647989168,0.46632181636519854,2.3784497600928416e-11,0.0010227631338048018,3.0846520593258604,20,0.37234696531745703,0.3419096144365121,0.402784316198402,0.26394957098589844,0.48074435964901563,3.425752003007334e-16,7.884305403852391e-07,5.725325592129778,20,-0.000778492290786828,-0.06188355822714114,0.060326573645567476,-0.21839368337187243,0.21683669879029877,0.9790045380146384,0.9941039203026778,-0.005962608857252117,20,0.10844890761348884,0.07272721103587546,0.14417060419110223,-0.018767775772053893,0.23566559099903156,4.266703115319764e-06,0.0903621694747927,1.4208633963769797,20,0.061750058838115164,0.047534238820856306,0.07596587885537402,0.011122858915733752,0.11237725876049658,2.385038044220219e-08,0.01944055891675666,2.032940561883124,20,0.4287074869802569,0.3351090647419701,0.5223059092185437,0.09537279159692752,0.7620421823635863,0.4477923953435128,0.3400935717859961,0.5554912189010295,0.0642415438954761,0.8313432467915495,1.0,0.004091052535219207,1.0,0.26942945340232893,0.05832167675026998,0.0037301397911643575
a_to_b,hgb,20,0.5841529075845491,0.6070891339587743,0.4941994373624562,0.6473952666135607,0.5366296183370594,0.8669991030522268,0.5664208446167096,0.9364933627539012,0.5809631808922624,0.6702603798823892,0.4629337123432188,0.4042245984233621,0.14452400032996193,0.12147779356558444,0.11076564827650137,0.052755290186924174,0.16877600636607856,-0.09582827265133714,0.3173595692043399,0.0007724407852007646,0.2757684799146389,0.8936321173848871,20,0.3005782584355173,0.25287562405720726,0.3482808928138273,0.13069352406472826,0.4704629928063063,5.1755298300986465e-11,0.0015086906763529028,2.948997619058026,20,0.35553018186163887,0.31895451358068977,0.392105850142588,0.22527222501453398,0.48578813870874377,2.333108669030235e-14,1.6605351951439527e-05,4.5492879514934,20,-0.0036491185307731544,-0.06361210439025511,0.05631386732870881,-0.2171969876909996,0.2098987506294533,0.8999832329020924,0.9718422606463324,-0.02848157106682282,20,0.11263138801314265,0.07560074580908896,0.14966203021719635,-0.0192468802712569,0.2445096562975422,4.163512665660579e-06,0.08980981780077632,1.4234998117167998,20,0.06642084461670954,0.05559211849205212,0.07724957074136696,0.0278561975015826,0.10498549173183647,8.216353452625176e-11,0.001887429266101478,2.8706896646333346,20,0.4629337123432188,0.358940449386249,0.5669269753001885,0.09257957815247914,0.8332878465339584,0.4042245984233621,0.28847761240165204,0.5199715844450722,-0.007988400518653127,0.8164375973653774,1.0,0.0045260720290587085,1.0,0.26942945340232893,0.007549717064405912,0.0037301397911643575
a_to_b,mlp,20,0.5841529075845491,0.6070891339587743,0.4941994373624562,0.6549310114588156,0.5309434894423914,0.9120009953953098,0.5534520111443795,0.9450308776329619,0.5567583526223786,0.6513618038495796,0.5388312792002277,0.3542646985110133,0.08711951337785481,0.08887849583152582,0.12398752201642423,0.07040634324211437,0.17756870079073409,-0.06683263795960999,0.31480768199245845,0.00011292695856895293,0.18976067517323383,1.0829912265352346,20,0.3585489842509302,0.3196652978850568,0.39743267061680354,0.2200714176403315,0.49702655086152886,6.080717336711243e-14,3.143560902369673e-05,4.315591079963575,20,0.38827252501058324,0.3234092695097631,0.45313578051140335,0.1572731876617886,0.6192718623593778,1.246287063757394e-10,0.002299266866984198,2.801542012020872,20,0.009572755209149696,-0.045349072880972716,0.0644945832992721,-0.18602189690698223,0.2051674073252816,0.7192825934359668,0.9194837187032093,0.08157389334640779,20,0.10694525911847472,0.07122925977472076,0.14266125846222866,-0.02025113454777952,0.23414165278472895,5.1154757764049815e-06,0.09453489268980302,1.4013865742359684,20,0.053452011144379474,0.032985994571591945,0.073918027717167,-0.019434189678883135,0.12633821196764208,2.8353801331630816e-05,0.14128190057831128,1.2223341644778312,20,0.5388312792002277,0.43841472893312716,0.6392478294673282,0.18121499257614881,0.8964475658243065,0.3542646985110133,0.24975352821647295,0.4587758688055536,-0.01793387365717819,0.7264632706792047,1.0,0.00018861365414218038,1.0,0.26942945340232893,0.28256380115662255,0.0006775617514137176
a_to_b,stratified,20,0.5841529075845491,0.6070891339587743,0.4941994373624562,0.49431365430848356,0.42399823032391665,0.5015422187876881,0.5000458504541581,0.5015422187876881,0.5000458504541581,0.6071110088370961,0.9346540767285697,0.06525422236311439,0.931504499240685,0.06541106318393874,0.07031542398456692,0.0644503787684916,0.07618046920064223,0.04942807338871248,0.09120277458042135,4.973637324170722e-16,1.0469532365625596e-06,5.610976591979871,20,0.001496368333530107,-0.0018349246792731943,0.004827661346333409,-0.010367459230020144,0.01336019589708036,0.35893758444262225,0.7946295449342439,0.21022525929453822,20,0.0014963683335301014,-0.0018349246792731904,0.004827661346333393,-0.010367459230020117,0.013360195897080318,0.35893758444262264,0.794629544934244,0.210225259294538,20,-0.044099342822707624,-0.05224756711963267,-0.03595111852578258,-0.07311784333776786,-0.015080842307647387,6.81642344527387e-10,0.004921817833305749,-2.5329601889416327,20,0.0,0.0,0.0,0.0,0.0,,,,20,4.5850454157911334e-05,2.9794715953351932e-05,6.190619236247073e-05,-1.1329298188192426e-05,0.0001030302065040151,9.427627124706108e-06,0.10965645483678123,1.3365111471925297,20,0.9346540767285697,0.9310464185965637,0.9382617348605757,0.921806022287888,0.9475021311692514,0.06525422236311439,0.06161931909177286,0.06888912563445591,0.05230913904092063,0.07819930568530814,,,,,,
a_to_b,majority,20,0.5841529075845491,0.6070891339587743,0.4941994373624562,0.492171744395269,0.3777569775879944,0.5,0.5,0.5,0.5,0.6070891339587743,1.0,0.0,1.0,0.0,0.11441476680727455,0.11211805797431144,0.11671147564023766,0.10623543300108143,0.12259410061346768,1.1305578295095929e-27,2.8486137915282574e-17,23.314996835665657,20,0.0,0.0,0.0,0.0,0.0,,,,20,0.0,0.0,0.0,0.0,0.0,,,,20,0.0,0.0,0.0,0.0,0.0,,,,20,-0.04624125273592217,-0.048305896000123486,-0.04417660947172085,-0.053594124900750925,-0.03888838057109341,4.197247268455225e-21,5.351306242336017e-11,-10.481991163586269,20,0.0,0.0,0.0,0.0,0.0,,,,20,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,
b_to_a,logreg,20,0.25,0.9463193718745846,0.3756236101937155,0.7080649478587061,0.5630823084788892,0.7078881169305614,0.7448826767154036,0.8148878814810679,0.8272173562338008,0.9794179397778648,0.2936998841514663,0.21653476241772623,0.3561922422091076,0.2280315239297695,0.14498263937981687,0.14258355579359674,0.147381722966037,0.13910610874329116,0.15085917001634258,2.893976860632957e-29,6.77167356522801e-22,28.283284625962217,20,-0.036994559784842285,-0.04203265252464668,-0.03195646704503789,-0.04933531627418354,-0.024653803295501025,3.5866555068663283e-12,5.039339473930879e-06,-3.4366153686844236,20,-0.012329474752732782,-0.014022927795816386,-0.010636021709649179,-0.016477570611651025,-0.00818137889381454,4.168396648453576e-12,5.632703675533351e-06,-3.4074589971283573,20,0.2537448562761623,0.25128590243343707,0.2562038101188875,0.24772167406042964,0.25976803849189495,1.1204949475750799e-33,2.7155393148341416e-26,48.29543614392588,20,0.14598799092805254,0.14394181254869304,0.14803416930741203,0.14097589797590676,0.1510000838801983,1.2383826158708905e-30,2.941721881245753e-23,33.391264225954956,20,0.24488267671540376,0.23958545142917426,0.25017990200163326,0.23190717771157288,0.25785817571923464,4.667144746486224e-27,1.0517082465171978e-19,21.63559493748803,20,0.2936998841514663,0.2791717455470136,0.30822802275591904,0.25811335765812693,0.3292864106448057,0.21653476241772623,0.21151737731642256,0.2215521475190299,0.20424472907648974,0.22882479575896272,4.063004139136806e-21,3.023603684358527e-05,1.629323588900485e-25,1.7650331287474515e-22,6.310249479103187e-19,1.736386116379774e-28
b_to_a,tree,20,0.25,0.9463193718745846,0.3756236101937155,0.7521915225894515,0.3430379464394667,0.7514928212122143,0.6067407643170565,0.8645286093147491,0.6219856590286441,0.9601046670395601,0.1823876155645912,0.6041308558012958,0.3076860491799116,0.18932830839565964,0.40915357614998477,0.36375155621817784,0.4545555960817917,0.29794179402538634,0.5203653582745832,9.213638338010519e-14,2.9408398601041194e-07,4.217648650082903,20,0.14475205689515785,0.10776176845257505,0.18174234533774064,0.05414472477246013,0.23535938901785558,1.1794600589622213e-07,0.0034115303472311074,1.8314549801634217,20,0.242542950286105,0.20612617798531635,0.27895972258689367,0.15334044007005265,0.33174546050215736,1.9834436990458413e-11,1.740572274555612e-05,3.117069079376627,20,0.5179157930463301,0.4724639963891862,0.563367589703474,0.40658208334358936,0.6292495027490708,1.2697838670985796e-15,8.076557264722704e-09,5.332947656316291,20,-0.07405637111136984,-0.11936283855904756,-0.02874990366369213,-0.18503409840619633,0.036921356183456655,0.0028638490398156455,0.17860868460834423,-0.7650000214059415,20,0.10674076431705651,0.0698502789545902,0.14363124967952282,0.01637789881540233,0.19710362981871068,7.973404256454885e-06,0.023041615573052975,1.3541761503491352,20,0.1823876155645912,0.1665199923932866,0.19825523873589582,0.14352003536413188,0.22125519576505054,0.6041308558012958,0.5295015563641945,0.6787601552383971,0.42132715231902185,0.7869345592835697,5.183594102308538e-07,0.01364612138892443,8.076557264722704e-09,0.32133411183630395,0.023041615573052975,1.5762447540933217e-13
