model,n_clusters,n_seeds,n_boot,tpr_lo,tpr_hi,fpr_lo,fpr_hi,ppv_lo,ppv_hi,best_ppv_lo,best_ppv_hi,fa_lo,fa_hi
hgb,20,10,2000,0.24139844578347824,0.781270857257249,0.031107980878622026,0.6990687837545864,0.0017838424863139905,0.033058256742076304,0.0020254557753475928,0.12032207596030625,7465.9154108692865,167776.5081011007
logreg,20,10,2000,0.09639353019602531,0.7743144031626507,0.009418453641631333,0.07924139986157608,0.005495497116678119,0.04793615441503195,0.005488985065544487,0.062002611463089025,2260.42887399152,19017.93596677826
majority,20,10,2000,1.0,1.0,1.0,1.0,0.002,0.002,0.002,0.002,240000.0,240000.0
mlp,20,10,2000,0.265043589687528,0.8248856769806668,0.030232126140463483,0.7449316383814931,0.0016296990301135734,0.03567750338865306,0.001844009740713411,0.06198158870163084,7255.7102737112355,178783.59321155836
rf,20,10,2000,0.41913705925760963,0.8807541243600874,0.12086063773260135,0.7963995464398104,0.0019324561948804895,0.01102343315242283,0.00203451280173832,0.11066580864293851,29006.553055824323,191135.8911455545
stratified,20,10,2000,0.9289195176398546,0.9388197951304142,0.9287384655328095,0.9386327512362899,0.001998543384436556,0.002002136594432081,0.001998543384436556,0.002002136594432081,222897.23172787428,225271.86029670958
tree,20,10,2000,0.31379291421159294,0.837910776631349,0.11101014998874476,0.7829268628984011,0.0017018443795163403,0.011367167798167925,0.001919679597228794,0.012935354710469539,26642.43599729874,187902.44709561625
xgboost,20,10,2000,0.2379642520424356,0.7429739143431326,0.013447932606778786,0.6870485206227224,0.0016397854852761736,0.06026564637129093,0.002021518232499545,0.5499692769679834,3227.5038256269086,164891.64494945336
