model,n_ratio_nb,random,group_disjoint,stratified_group,rg_mean,rg_t_lo,rg_t_hi,rg_nb_lo,rg_nb_hi,rg_p_t,rg_p_nb,rg_d_z,rg_n,rs_mean,rs_t_lo,rs_t_hi,rs_nb_lo,rs_nb_hi,rs_p_t,rs_p_nb,rs_d_z,rs_n,sg_mean,sg_t_lo,sg_t_hi,sg_nb_lo,sg_nb_hi,sg_p_t,sg_p_nb,sg_d_z,sg_n,rg_p_nb_holm,rg_p_t_holm,rs_p_nb_holm,rs_p_t_holm,sg_p_nb_holm,sg_p_t_holm
logreg,0.279699801778363,0.8361967011234872,0.743517978319484,0.6969382468123169,0.09267872280400327,0.03681103369914771,0.14854641190885884,-0.05078267186771007,0.23614011747571662,0.0025517807748745747,0.19220955912458518,0.7763875351898538,20,0.13925845431117026,0.06346515635118095,0.21505175227115958,-0.05536946759376074,0.3338863762161013,0.0010901494525775342,0.15067133557359438,0.8599040362091541,20,-0.046579731507167,-0.14165402780285352,0.04849456478851953,-0.29071889964801406,0.19755943663368003,0.31803710255639334,0.6941019161377255,-0.22929420718221027,20,0.27544422654611034,0.0025517807748745747,0.3487438813051122,0.0010901494525775342,1.0,1.0
tree,0.279699801778363,0.9500972391577965,0.7819979325266574,0.7578448707237372,0.16809930663113928,0.10976737051469773,0.22643124274758084,0.01831002693747319,0.3178885863248054,8.396902174407716e-06,0.029800979448370634,1.348710542635286,20,0.1922523684340595,0.1270248926322856,0.25747984423583337,0.024756185946987058,0.3597485509211319,6.283703624221538e-06,0.026672891194282237,1.379432163969207,20,-0.02415306180292022,-0.10630349250121733,0.05799736889537689,-0.23510532329238543,0.18679919968654501,0.5456112207741297,0.8131743636581801,-0.13760099352895613,20,0.1788058766902238,5.0381413046446293e-05,0.16003734716569343,3.770222174532923e-05,1.0,1.0
rf,0.279699801778363,0.9704012605946545,0.8530539404663905,0.8164496530008194,0.11734732012826403,0.05749357379937926,0.17720106645714878,-0.03634978211902519,0.27104442237555326,0.0006048718240776609,0.1265366587142664,0.9175739154742579,20,0.153951607593835,0.08736898841571325,0.22053422677195675,-0.017024417390143265,0.32492763257781326,0.00011389924552119444,0.07487316381967475,1.0821378181694656,20,-0.03660428746557093,-0.11964858653756351,0.04644001160642165,-0.24985189364528473,0.17664331871414288,0.3678023769298683,0.7233542924484994,-0.20629151021880293,20,0.27544422654611034,0.0012097436481553218,0.3487438813051122,0.0004595328775067477,1.0,1.0
xgboost,0.279699801778363,0.976985810192535,0.8374744661724429,0.8077249908304678,0.13951134402009213,0.08387316969117047,0.19514951834901378,-0.003360684769824235,0.28238337281000847,4.580561755006558e-05,0.05508884530922207,1.1735345317840176,20,0.16926081936206722,0.09747618719254739,0.24104545153158705,-0.015073338933021624,0.3535949776571561,9.190657550134954e-05,0.06974877626102244,1.103530094252164,20,-0.029749475341975046,-0.11077204729304121,0.05127309660909113,-0.2378055334719858,0.17830658278803568,0.4516336077426805,0.7679778681290074,-0.1718432617997789,20,0.27544422654611034,0.0002290280877503279,0.3487438813051122,0.0004595328775067477,1.0,1.0
hgb,0.279699801778363,0.982308006550835,0.8439483796239365,0.8306853960383966,0.1383596269268984,0.08244800509868078,0.19427124875511603,-0.00521458160674898,0.2819338354605458,5.3335273186860635e-05,0.05804919178405674,1.1581545401709936,20,0.1516226105124383,0.08109172499841964,0.22215349602645695,-0.02949207966708889,0.3327373006919655,0.00024549404272429206,0.09586276770318776,1.006106268787923,20,-0.013262983585539933,-0.09638843102642587,0.06986246385534602,-0.22671896885455037,0.2001930016834705,0.7420749909161011,0.8978946120795444,-0.07467349146671196,20,0.27544422654611034,0.0002290280877503279,0.3487438813051122,0.0004909880854485841,1.0,1.0
mlp,0.279699801778363,0.9542150064774916,0.8280032112001429,0.8085881536062158,0.12621179527734844,0.07375073633564852,0.17867285421904835,-0.008501789664490805,0.26092538021918765,7.34557965386648e-05,0.06471254930971762,1.1259577988230107,20,0.1456268528712755,0.08131849531757436,0.20993521042497665,-0.01950914633545292,0.3107628520780039,0.00014257679272504947,0.08056963645185648,1.0598228239375773,20,-0.01941505759392706,-0.08275928632525571,0.04392917113740159,-0.18207529186895846,0.14324517668110434,0.5288528364907747,0.8054057682973106,-0.14344679598153084,20,0.27544422654611034,0.0002290280877503279,0.3487438813051122,0.0004595328775067477,1.0,1.0
stratified,0.279699801778363,0.49780291307713354,0.5071164867966855,0.49959342094429815,-0.009313573719551873,-0.011181341683845585,-0.007445805755258161,-0.014109773479628124,-0.004517373959475623,2.6317372150534958e-09,0.0006614310473601794,-2.333740999596022,20,-0.001790507867164473,-0.006439535475857664,0.0028585197415287172,-0.013728642329082984,0.01014762659475404,0.4301601801688681,0.7570050630461524,-0.18024919341718612,20,-0.007523065852387401,-0.011938687142364929,-0.003107444562409874,-0.018861841426464798,0.0038157097216899947,0.002062031466538294,0.18099500479648759,-0.7973743598335119,20,,,,,,
majority,0.279699801778363,0.4312017522404947,0.43352331509110076,0.4467931466121934,-0.002321562850606085,-0.007972848596016147,0.003329722894803977,-0.016833373661381816,0.012190247960169648,0.40060762410057577,0.7414165460798295,-0.19226153276277208,20,-0.015591394371698764,-0.02511633795374227,-0.006066450789655255,-0.04005028487430567,0.008867496130908141,0.0028323209926979353,0.19790866659543424,-0.766093480688518,20,0.013269831521092679,0.004337829894720402,0.022201833147464954,-0.009666456538439932,0.03620611958062529,0.005771545052660769,0.24077265097584427,0.6953057760647662,20,,,,,,
