model,tau,tp,fp,tn,fn,tpr,fpr,corpus_precision,ppv,fpr_lo,fpr_hi,ppv_best_case,ppv_worst_case,collapse,n_benign_pooled,false_alerts_per_1e6_benign_flows,false_alerts_per_hour_at_240k
hgb,0.5,7041,273915,111945,1349,0.8392133492252681,0.7098818224226403,0.025060863622773672,0.0023635136043890295,0.7084478088001774,0.711311656943969,0.002368286410240194,0.002358773822619158,10.603223766614168,385860,709881.8224226403,170371.63738143368
logreg,0.5,5820,254482,131378,2570,0.6936829558998808,0.6595189965272379,0.022358644958548148,0.002103384738275667,0.658022208092338,0.6610126086698243,0.002108159174074272,0.002098641942503,10.629840823546877,385860,659518.9965272379,158284.5591665371
majority,0.5,8390,385860,0,0,1.0,1.0,0.021280913126188968,0.002,0.9999900441565499,1.0,0.002000019872060974,0.002,10.640456563094483,385860,1000000.0,240000.0
mlp,0.5,7203,62377,323483,1187,0.8585220500595948,0.1616570776965739,0.10352112676056338,0.010530730420523667,0.1604988663388259,0.16282202603265566,0.010605917575893771,0.010456173658268822,9.830384277885212,385860,161657.0776965739,38797.698647177735
rf,0.5,6600,272613,113247,1790,0.7866507747318237,0.7065075415953973,0.023637867864318637,0.0022263664581690097,0.7050686855431907,0.7079422857340931,0.0022308997389791758,0.0022218644400467252,10.617240381782747,385860,706507.5415953973,169561.80998289536
stratified,0.5,4815,233957,151903,3575,0.5738974970202623,0.6063261286476961,0.020165681068131942,0.0018932348942881543,0.6047835095969007,0.6078666305659085,0.001898054795664335,0.001888445974931819,10.65144168268361,385860,606326.1286476961,145518.27087544705
tree,0.5,5140,296647,89213,3250,0.6126340882002383,0.7687943813818483,0.017031880100865843,0.0015944004927482042,0.7674614218190398,0.7701219887950943,0.0015971652922726353,0.0015916562927053752,10.682309857737609,385860,768794.3813818482,184510.65153164358
xgboost,0.5,7767,212369,173491,623,0.9257449344457688,0.550378375576634,0.03528273430969946,0.0033594485206519514,0.5488082583398394,0.5519474896949876,0.003369027380381852,0.003349930043766302,10.502537572104934,385860,550378.3755766341,132090.81013839217
