model,tgt_ba_clean,dBA_clean_mean,dBA_clean_t_lo,dBA_clean_t_hi,dBA_clean_nb_lo,dBA_clean_nb_hi,dBA_clean_p_t,dBA_clean_p_nb,dBA_clean_d_z,dBA_clean_n,dBA_clean_p_nb_holm
logreg,0.6059918008742374,0.250515298021476,0.23579987418240733,0.26523072186054464,0.21202516927031262,0.28900542677263935,2.6660189280207262e-11,1.3258961931658642e-07,12.178232203898531,10,7.955377158995185e-07
tree,0.7391390991161697,0.05399705832409801,-0.04112418188221566,0.1491182985304117,-0.1948050708263372,0.3027991874745332,0.2311600827902172,0.6352093059759293,0.40608352551400395,10,1.0
rf,0.7772731895259678,0.0011207088266667387,-0.1082922823166254,0.11053369996995886,-0.2850633768110426,0.2873047944643761,0.9820193953728098,0.9931251287509553,0.007327345595445619,10,1.0
xgboost,0.7525040309294035,0.10154037974737037,-0.013630151558904763,0.2167109110536455,-0.1997033103289724,0.4027840698237132,0.07724244953231549,0.4652717063322901,0.6306961604092861,10,1.0
hgb,0.7502498434906802,0.10404721873696927,-0.012311524370596433,0.22040596184453498,-0.20030439576720427,0.4083988332411428,0.07378691565934502,0.4591431151767274,0.6396674154663654,10,1.0
mlp,0.7791909818224271,0.11355336635383209,0.020156920133831066,0.2069498125738331,-0.13073733700768694,0.3578440697153511,0.022462907159396733,0.320434386204906,0.8697459925411476,10,1.0
stratified,0.5001415083488986,0.0018448814804091884,-0.005378782924311451,0.009068545885129828,-0.017049563969045882,0.020739326929864257,0.5776046648336645,0.8301151843089914,0.18269795408070802,10,
majority,0.5,0.0,0.0,0.0,0.0,0.0,,,,10,
