model,tau,tp,fp,tn,fn,tpr,fpr,corpus_precision,ppv,fpr_lo,fpr_hi,ppv_best_case,ppv_worst_case,collapse,n_benign_pooled,false_alerts_per_1e6_benign_flows,false_alerts_per_hour_at_240k
hgb,0.5,16363,447691,324029,417,0.9751489868891537,0.5801210283522521,0.03526098255806436,0.0033573089352071945,0.5790194794520283,0.5812217795760899,0.0033636745246571733,0.0033509719768821176,10.50275182849333,771720,580121.0283522521,139229.0468045405
logreg,0.5,11916,173754,597966,4864,0.7101311084624553,0.22515160939200746,0.06417838099854581,0.0062809674770803,0.2242210729282357,0.22608488221694995,0.006306869626339848,0.006255201980914914,10.217913280515672,771720,225151.60939200746,54036.386254081786
majority,0.5,16780,771720,0,0,1.0,1.0,0.021280913126188968,0.002,0.9999950220534951,1.0,0.002000009936030586,0.002,10.640456563094483,771720,1000000.0,240000.0
mlp,0.5,13482,325511,446209,3298,0.8034564958283671,0.4217993572798424,0.0397707327289944,0.0038027802733640328,0.420697909483491,0.422901583633426,0.0038126985404302077,0.0037929065184889466,10.458330450371312,771720,421799.3572798424,101231.84574716218
rf,0.5,16763,622642,149078,17,0.9989868891537544,0.8068237184471052,0.026216560708783948,0.002475165840091399,0.8059413613035697,0.8077030208865269,0.0024778689755155263,0.0024724779236713766,10.591840063458482,771720,806823.7184471053,193637.69242730524
stratified,0.5,15656,721647,50073,1124,0.933015494636472,0.9351150676411134,0.021234146612722313,0.0019955184482840964,0.934563319103727,0.9356624842194393,0.001996694212358814,0.0019943532831653375,10.640917216766951,771720,935115.0676411134,224427.61623386721
tree,0.5,16340,507369,264351,440,0.9737783075089392,0.657452184730213,0.031200533120492487,0.002959430920742494,0.6563925912228942,0.6585102106604266,0.0029641940742719773,0.002954690063257306,10.54274756062377,771720,657452.184730213,157788.52433525113
xgboost,0.5,16251,531133,240587,529,0.9684743742550656,0.688245736795729,0.02968848194320623,0.002812037355621496,0.6872113169102665,0.6892782825267764,0.002816258233943695,0.002807836723560327,10.557641378360957,771720,688245.736795729,165178.97683097495
