model,tau,tp,fp,tn,fn,tpr,fpr,corpus_precision,ppv,fpr_lo,fpr_hi,ppv_best_case,ppv_worst_case,collapse,n_benign_pooled,false_alerts_per_1e6_benign_flows,false_alerts_per_hour_at_240k
hgb,0.5,4042464,92504,1869566,3339066,0.5476458132663553,0.04714612628499493,0.9776288474300164,0.022748847652734893,0.04685043660281061,0.04744358927805509,0.022889137347954475,0.02260944117710404,42.97487338056373,1962070,47146.12628499493,11315.070308398783
logreg,0.5,1983938,111420,1850650,5397592,0.268770566535664,0.05678696478718904,0.9468253157694294,0.009395776547720643,0.05646399354244593,0.057111671590665936,0.009449012102112719,0.009342856214256836,100.77137434682004,1962070,56786.96478718904,13628.87154892537
majority,0.5,7381530,1962070,0,0,1.0,1.0,0.7900092041611371,0.002,0.9999980420716496,1.0,0.0020000039080326237,0.002,395.00460208056853,1962070,1000000.0,240000.0
mlp,0.5,4515219,104597,1857473,2866311,0.6116914785959009,0.0533095149510466,0.9773590549926664,0.022477799004531136,0.052996044616341054,0.05362473446168118,0.022607748819546664,0.02234862184337959,43.48108348133408,1962070,53309.5149510466,12794.283588251183
rf,0.5,5310151,323422,1638648,2071379,0.7193835153416703,0.16483713628973481,0.9425902531129001,0.008670079693516719,0.16431861979710194,0.16535696523211338,0.008697200663517831,0.008643059335211024,108.717599656869,1962070,164837.1362897348,39560.91270953636
stratified,0.5,6894360,1832021,130049,487170,0.9340014874964946,0.9337184707986973,0.7900594759729148,0.0020006050014046194,0.9333695216881124,0.934065721529902,0.0020013514497914065,0.0019998627386217482,394.91027735020964,1962070,933718.4707986973,224092.43299168735
tree,0.5,4883785,359734,1602336,2497745,0.6616223194920294,0.18334412125969002,0.9313945462961039,0.007179814289412458,0.18280329952105712,0.1838861829773675,0.007200902741067103,0.007158801067819468,129.72404420955047,1962070,183344.12125969003,44002.589102325604
xgboost,0.5,3917132,50344,1911726,3464398,0.5306666775045282,0.0256586156457211,0.9873108243124848,0.03979706811300705,0.025438298891067433,0.025880789853263135,0.040127912599075354,0.039468913422183234,24.80863217131811,1962070,25658.6156457211,6158.067754973064
