surface,model,tpr,fpr,corpus_precision,ppv_lo,ppv_hi,pi,lambda_b,ppv,npv,fdr,alerts_per_hour,true_alerts_per_hour,false_alerts_per_hour,alerts_per_day,alerts_per_100k_benign,missed_attacks_per_hour
d_a_radio_heldout,hgb,0.9448776261641759,0.2615929203539823,0.9281301010019394,0.00034451674384662563,0.0003786748063214981,0.0001,24000.0,0.0003611072065155855,0.9999925342705164,0.9996388927934844,6280.4980215916785,2.2679330961036324,6278.230088495575,150731.95251820027,26168.741756631996,0.13230692789876766
d_a_radio_heldout,hgb,0.9448776261641759,0.2615929203539823,0.9281301010019394,0.00034451674384662563,0.0003786748063214981,0.0001,240000.0,0.0003611072065155855,0.9999925342705163,0.9996388927934844,62804.98021591679,22.679330961036325,62782.30088495575,1507319.525182003,26168.741756631996,1.3230692789876766
d_a_radio_heldout,hgb,0.9448776261641759,0.2615929203539823,0.9281301010019394,0.00034451674384662563,0.0003786748063214981,0.0001,2400000.0,0.00036110720651558555,0.9999925342705164,0.9996388927934844,628049.8021591678,226.79330961036325,627823.0088495575,15073195.251820028,26168.741756631996,13.230692789876766
d_a_radio_heldout,hgb,0.9448776261641759,0.2615929203539823,0.9281301010019394,0.00034451674384662563,0.0003786748063214981,0.0001,24000000.0,0.00036110720651558555,0.9999925342705165,0.9996388927934844,6280498.021591678,2267.9330961036326,6278230.088495575,150731952.51820028,26168.741756631996,132.30692789876767
d_a_radio_heldout,hgb,0.9448776261641759,0.2615929203539823,0.9281301010019394,0.0017209003950563759,0.0018912656284363453,0.0005,24000.0,0.0018036520579789279,0.9999626575293663,0.9981963479420211,6289.574292111352,11.344203615778,6278.230088495575,150949.78301067246,26206.55955046397,0.6617993857227503
d_a_radio_heldout,hgb,0.9448776261641759,0.2615929203539823,0.9281301010019394,0.0017209003950563759,0.0018912656284363453,0.0005,240000.0,0.0018036520579789276,0.9999626575293663,0.9981963479420211,62895.74292111353,113.44203615778,62782.30088495575,1509497.8301067248,26206.55955046397,6.6179938572275026
d_a_radio_heldout,hgb,0.9448776261641759,0.2615929203539823,0.9281301010019394,0.0017209003950563759,0.0018912656284363453,0.0005,2400000.0,0.0018036520579789279,0.9999626575293663,0.9981963479420211,628957.4292111353,1134.4203615778,627823.0088495575,15094978.301067246,26206.55955046397,66.17993857227502
d_a_radio_heldout,hgb,0.9448776261641759,0.2615929203539823,0.9281301010019394,0.0017209003950563759,0.0018912656284363453,0.0005,24000000.0,0.0018036520579789279,0.9999626575293662,0.9981963479420211,6289574.292111353,11344.203615778,6278230.088495575,150949783.01067248,26206.55955046397,661.7993857227503
d_a_radio_heldout,hgb,0.9448776261641759,0.2615929203539823,0.9281301010019394,0.0034376017212787795,0.0037772734372604182,0.001,24000.0,0.0036026052227984885,0.9999252804718867,0.9963973947772015,6300.929851286306,22.69976279073095,6278.230088495575,151222.31643087135,26253.874380359608,1.324261233293071
d_a_radio_heldout,hgb,0.9448776261641759,0.2615929203539823,0.9281301010019394,0.0034376017212787795,0.0037772734372604182,0.001,240000.0,0.003602605222798489,0.9999252804718869,0.9963973947772015,63009.29851286306,226.99762790730952,62782.30088495575,1512223.1643087135,26253.874380359608,13.24261233293071
